,imbalanceRatio,Subset,Indicator,Sorted_Features
0,shap_list_ir_1,shap_list_ir_1_subset_1000,orderMean,"['ARTHRITIS', 'CIRRHOSIS', 'OBESITY', 'DEPRESSION', 'OSTEOPOROSIS', 'ASTHMA', 'COPD', 'ARTHROSIS', 'ISCHEMIC_HEART_DISEASE', 'STROKE', 'SEX_FEMALE', 'DEMENTIA', 'HEART_FAILURE', 'CHRONIC_KIDNEY_DISEASE', 'DIABETES', 'HYPERTENSION', 'AGE']"
1,shap_list_ir_1,shap_list_ir_1_subset_1000,orderStd,"['ARTHRITIS', 'OBESITY', 'DEPRESSION', 'ARTHROSIS', 'SEX_FEMALE', 'OSTEOPOROSIS', 'ISCHEMIC_HEART_DISEASE', 'STROKE', 'COPD', 'CIRRHOSIS', 'DEMENTIA', 'HEART_FAILURE', 'ASTHMA', 'CHRONIC_KIDNEY_DISEASE', 'HYPERTENSION', 'DIABETES', 'AGE']"
2,shap_list_ir_1,shap_list_ir_1_subset_1000,orderSum,"['AGE', 'HYPERTENSION', 'DIABETES', 'CHRONIC_KIDNEY_DISEASE', 'HEART_FAILURE', 'DEMENTIA', 'SEX_FEMALE', 'STROKE', 'ISCHEMIC_HEART_DISEASE', 'ARTHROSIS', 'COPD', 'ASTHMA', 'OSTEOPOROSIS', 'DEPRESSION', 'OBESITY', 'CIRRHOSIS', 'ARTHRITIS']"
3,shap_list_ir_1,shap_list_ir_1_subset_100,orderMean,"['ARTHRITIS', 'OSTEOPOROSIS', 'CIRRHOSIS', 'ASTHMA', 'COPD', 'OBESITY', 'ISCHEMIC_HEART_DISEASE', 'DEPRESSION', 'SEX_FEMALE', 'HEART_FAILURE', 'DEMENTIA', 'STROKE', 'ARTHROSIS', 'CHRONIC_KIDNEY_DISEASE', 'DIABETES', 'HYPERTENSION', 'AGE']"
4,shap_list_ir_1,shap_list_ir_1_subset_100,orderStd,"['ARTHRITIS', 'SEX_FEMALE', 'OBESITY', 'COPD', 'CIRRHOSIS', 'DEPRESSION', 'ISCHEMIC_HEART_DISEASE', 'HEART_FAILURE', 'DEMENTIA', 'OSTEOPOROSIS', 'ASTHMA', 'CHRONIC_KIDNEY_DISEASE', 'STROKE', 'ARTHROSIS', 'HYPERTENSION', 'DIABETES', 'AGE']"
5,shap_list_ir_1,shap_list_ir_1_subset_100,orderSum,"['AGE', 'HYPERTENSION', 'DIABETES', 'CHRONIC_KIDNEY_DISEASE', 'ARTHROSIS', 'STROKE', 'DEMENTIA', 'HEART_FAILURE', 'SEX_FEMALE', 'DEPRESSION', 'ISCHEMIC_HEART_DISEASE', 'OBESITY', 'COPD', 'ASTHMA', 'CIRRHOSIS', 'OSTEOPOROSIS', 'ARTHRITIS']"
6,shap_list_ir_1,shap_list_ir_1_subset_101,orderMean,"['DEPRESSION', 'OSTEOPOROSIS', 'ARTHRITIS', 'CIRRHOSIS', 'COPD', 'STROKE', 'ISCHEMIC_HEART_DISEASE', 'ASTHMA', 'OBESITY', 'DEMENTIA', 'ARTHROSIS', 'CHRONIC_KIDNEY_DISEASE', 'HEART_FAILURE', 'SEX_FEMALE', 'DIABETES', 'HYPERTENSION', 'AGE']"
7,shap_list_ir_1,shap_list_ir_1_subset_101,orderStd,"['ARTHRITIS', 'COPD', 'STROKE', 'OSTEOPOROSIS', 'DEPRESSION', 'OBESITY', 'ISCHEMIC_HEART_DISEASE', 'CIRRHOSIS', 'SEX_FEMALE', 'DEMENTIA', 'ARTHROSIS', 'HEART_FAILURE', 'CHRONIC_KIDNEY_DISEASE', 'ASTHMA', 'HYPERTENSION', 'DIABETES', 'AGE']"
8,shap_list_ir_1,shap_list_ir_1_subset_101,orderSum,"['AGE', 'HYPERTENSION', 'DIABETES', 'SEX_FEMALE', 'HEART_FAILURE', 'CHRONIC_KIDNEY_DISEASE', 'ARTHROSIS', 'DEMENTIA', 'OBESITY', 'ASTHMA', 'ISCHEMIC_HEART_DISEASE', 'STROKE', 'COPD', 'CIRRHOSIS', 'ARTHRITIS', 'OSTEOPOROSIS', 'DEPRESSION']"
9,shap_list_ir_1,shap_list_ir_1_subset_102,orderMean,"['ASTHMA', 'ARTHRITIS', 'OBESITY', 'CIRRHOSIS', 'OSTEOPOROSIS', 'STROKE', 'SEX_FEMALE', 'COPD', 'ISCHEMIC_HEART_DISEASE', 'CHRONIC_KIDNEY_DISEASE', 'DEMENTIA', 'HEART_FAILURE', 'DEPRESSION', 'ARTHROSIS', 'DIABETES', 'HYPERTENSION', 'AGE']"
