,imbalanceRatio,Subset,feature,Indicator,freq1,freq2,freq3
0,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,Pregnancies,localMax_Pregnancies,0.26910868,0.15828988,0.37992746
1,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,Glucose,localMax_Glucose,0.44538236,0.774194,1.1030055
2,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,BloodPressure,localMax_BloodPressure,0.23868608,0.34505165,0.1323205
3,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,SkinThickness,localMax_SkinThickness,0.22270852,0.13280708,0.31260997
4,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,Insulin,localMax_Insulin,0.09304193,0.20349431,-0.017410457
5,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,BMI,localMax_BMI,0.64346313,-0.24760467,0.86623013
6,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,DiabetesPedigreeFunction,localMax_DiabetesPedigreeFunction,0.3525529,0.5004987,0.20460701
7,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,Age,localMax_Age,0.14251441,0.28270608,0.42289776
8,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,Pregnancies,localMax_Pregnancies,0.4959936,0.6525022,0.33948517
9,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,Glucose,localMax_Glucose,2.0718386,1.7069132,0.6121371
10,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,BloodPressure,localMax_BloodPressure,0.07366118,-0.023547888,0.17087021
11,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,SkinThickness,localMax_SkinThickness,0.029504716,0.19763875,-0.026539981
12,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,Insulin,localMax_Insulin,0.098302945,0.14557153,0.051034346
13,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,BMI,localMax_BMI,0.14073879,-0.10975224,-0.3602433
14,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,DiabetesPedigreeFunction,localMax_DiabetesPedigreeFunction,0.5422817,0.38933343,0.23638517
15,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,Age,localMax_Age,0.8082362,0.5392324,0.67373425
16,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_143,Pregnancies,localMax_Pregnancies,0.5138811,0.40653723,0.29919344
17,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_143,Glucose,localMax_Glucose,1.5172904,1.8056228,2.0939553
18,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_143,BloodPressure,localMax_BloodPressure,0.5916084,0.43218482,0.35247302
19,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_143,SkinThickness,localMax_SkinThickness,0.70895374,0.8679348,0.5499726
20,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_143,Insulin,localMax_Insulin,-0.08261055,-0.03587079,-0.1293503
21,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_143,BMI,localMax_BMI,-0.18131416,-0.13990839,0.19133775
22,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_143,DiabetesPedigreeFunction,localMax_DiabetesPedigreeFunction,0.08760059,0.23859513,0.38958967
23,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_143,Age,localMax_Age,0.8693088,1.0093703,0.7292474
24,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_50,Pregnancies,localMax_Pregnancies,0.7180047,0.47988856,0.95612085
25,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_50,Glucose,localMax_Glucose,0.52216434,0.89945436,0.14487457
26,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_50,BloodPressure,localMax_BloodPressure,0.41185647,0.26567113,0.119485795
27,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_50,SkinThickness,localMax_SkinThickness,0.48136598,0.3996214,0.31787682
28,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_50,Insulin,localMax_Insulin,-0.12534022,-0.20297718,-0.04770328
29,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_50,BMI,localMax_BMI,-0.25992906,0.005983293,-0.52584136
30,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_50,DiabetesPedigreeFunction,localMax_DiabetesPedigreeFunction,0.19130683,0.076339096,0.42124236
31,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_50,Age,localMax_Age,0.17351413,0.33713627,-0.15373018
32,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_65,Pregnancies,localMax_Pregnancies,0.90145576,0.688678,0.4759003
33,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_65,Glucose,localMax_Glucose,1.3999448,1.6016889,0.39122462
34,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_65,BloodPressure,localMax_BloodPressure,-0.5280047,0.025542378,-0.34348905
35,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_65,SkinThickness,localMax_SkinThickness,0.0036178827,0.13783953,0.07072869
36,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_65,Insulin,localMax_Insulin,0.015039057,-0.028963655,0.059041753
37,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_65,BMI,localMax_BMI,0.15978128,-0.016294956,-0.19237119
38,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_65,DiabetesPedigreeFunction,localMax_DiabetesPedigreeFunction,0.1278562,0.37845945,0.25315785
39,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_65,Age,localMax_Age,0.21881115,0.35761273,0.63521576
40,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_19,Pregnancies,localMax_Pregnancies,0.2287122,0.36787856,0.08954579
41,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_19,Glucose,localMax_Glucose,0.89285696,1.2527683,1.6126797
42,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_19,BloodPressure,localMax_BloodPressure,0.44353676,0.5608237,0.7953975
43,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_19,SkinThickness,localMax_SkinThickness,0.05622214,-0.017995879,0.13044018
44,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_19,Insulin,localMax_Insulin,0.35774577,0.24372244,0.015675783
45,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_19,BMI,localMax_BMI,-0.11924255,-0.37090048,0.13241535
46,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_19,DiabetesPedigreeFunction,localMax_DiabetesPedigreeFunction,0.8547219,0.6804335,0.5061451
47,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_19,Age,localMax_Age,0.43247592,0.29083335,0.57411844
48,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_133,Pregnancies,localMax_Pregnancies,-0.26132834,-0.19577552,-0.13022274
49,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_133,Glucose,localMax_Glucose,1.2255399,1.48742,0.9636599
50,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_133,BloodPressure,localMax_BloodPressure,-0.019303583,0.03217265,0.00643453
51,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_133,SkinThickness,localMax_SkinThickness,-0.17680809,-0.3836281,-0.24574809
52,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_133,Insulin,localMax_Insulin,0.8451022,1.053439,0.63676536
53,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_133,BMI,localMax_BMI,0.71475327,0.4616568,0.20856023
54,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_133,DiabetesPedigreeFunction,localMax_DiabetesPedigreeFunction,0.5381735,0.7407798,-0.5761615
55,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_133,Age,localMax_Age,1.0823344,0.9364271,-0.37673885
56,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_15,Pregnancies,localMax_Pregnancies,0.19588968,0.25865248,0.32141528
57,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_15,Glucose,localMax_Glucose,1.0824978,1.3546854,0.81031024
58,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_15,BloodPressure,localMax_BloodPressure,-0.09294531,-0.18038456,-0.0055060387
59,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_15,SkinThickness,localMax_SkinThickness,0.7364311,0.85099554,0.96555996
60,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_15,Insulin,localMax_Insulin,0.30444175,0.38202894,-0.0059069097
61,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_15,BMI,localMax_BMI,1.0204656,1.1572689,-0.6211738
62,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_15,DiabetesPedigreeFunction,localMax_DiabetesPedigreeFunction,0.10350579,0.011641562,0.2872342
63,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_15,Age,localMax_Age,-0.019135386,0.9438451,0.8234725
64,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_67,Pregnancies,localMax_Pregnancies,0.28052664,0.16924304,0.39181024
65,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_67,Glucose,localMax_Glucose,0.52706575,0.96382475,1.4005835
66,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_67,BloodPressure,localMax_BloodPressure,0.48404056,0.30455965,-0.054402173
67,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_67,SkinThickness,localMax_SkinThickness,0.60668993,0.7411579,0.47222203
68,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_67,Insulin,localMax_Insulin,-0.0023078918,0.30964065,-0.1062907
69,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_67,BMI,localMax_BMI,-0.0041030645,0.24105275,-0.24925888
70,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_67,DiabetesPedigreeFunction,localMax_DiabetesPedigreeFunction,-0.1280641,0.081382215,-0.3375104
71,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_67,Age,localMax_Age,0.38110125,0.14304245,-0.33307528
72,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_150,Pregnancies,localMax_Pregnancies,0.1612249,0.3401357,0.5190465
73,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_150,Glucose,localMax_Glucose,2.6711962,-0.2225734,0.8625902
74,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_150,BloodPressure,localMax_BloodPressure,0.30692452,0.43878037,0.17506862
75,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_150,SkinThickness,localMax_SkinThickness,0.07155976,0.27872378,0.38230574
76,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_150,Insulin,localMax_Insulin,-0.11098352,-0.21122438,0.39022082
77,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_150,BMI,localMax_BMI,0.5640763,0.7535238,0.18518102
78,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_150,DiabetesPedigreeFunction,localMax_DiabetesPedigreeFunction,0.37459272,0.61570907,0.13347638
79,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_150,Age,localMax_Age,0.49057794,0.64770246,0.804827
80,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_81,Pregnancies,localMax_Pregnancies,0.30877143,0.4838618,0.133681
81,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_81,Glucose,localMax_Glucose,1.0077076,2.3945055,2.047806
82,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_81,BloodPressure,localMax_BloodPressure,0.34817177,0.16292948,0.53341407
83,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_81,SkinThickness,localMax_SkinThickness,0.21077752,0.11680508,0.3047499
84,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_81,Insulin,localMax_Insulin,-0.029422268,0.036954388,-0.095798925
85,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_81,BMI,localMax_BMI,-0.15050197,0.07350427,0.2975105
86,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_81,DiabetesPedigreeFunction,localMax_DiabetesPedigreeFunction,0.38933384,0.16958249,1.0485877
87,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_81,Age,localMax_Age,0.5815991,0.39879847,1.130001
88,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_59,Pregnancies,localMax_Pregnancies,0.24589375,0.32258353,0.16920394
89,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_59,Glucose,localMax_Glucose,1.409941,1.0101516,1.80973
90,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_59,BloodPressure,localMax_BloodPressure,0.28161156,0.5158354,0.04738766
91,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_59,SkinThickness,localMax_SkinThickness,0.013887882,0.22817424,0.29960304
92,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_59,Insulin,localMax_Insulin,0.013831675,-0.08103365,0.108697
93,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_59,BMI,localMax_BMI,-0.36611593,0.88239706,0.13328928
94,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_59,DiabetesPedigreeFunction,localMax_DiabetesPedigreeFunction,0.44763982,0.67308915,0.8985385
95,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_59,Age,localMax_Age,0.67304325,0.51090574,-0.13764429
96,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_5,Pregnancies,localMax_Pregnancies,-0.060632825,-0.1230557,-0.08144045
97,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_5,Glucose,localMax_Glucose,0.7537087,0.578959,0.92845845
98,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_5,BloodPressure,localMax_BloodPressure,0.27092445,0.48058057,1.1095493
99,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_5,SkinThickness,localMax_SkinThickness,-0.4072852,0.733999,0.6302459
100,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_5,Insulin,localMax_Insulin,0.41235107,0.29270345,0.17305577
101,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_5,BMI,localMax_BMI,1.3429077,0.14099538,0.31269705
102,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_5,DiabetesPedigreeFunction,localMax_DiabetesPedigreeFunction,0.6728604,0.35450512,0.19532752
103,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_5,Age,localMax_Age,0.7665225,0.9358971,0.59714794
104,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_102,Pregnancies,localMax_Pregnancies,0.3460456,0.19985491,0.49223626
105,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_102,Glucose,localMax_Glucose,2.676445,0.7766681,2.9930744
106,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_102,BloodPressure,localMax_BloodPressure,-0.5214545,0.42458266,-0.33224708
107,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_102,SkinThickness,localMax_SkinThickness,-0.10221292,-0.0062230825,0.18575662
108,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_102,Insulin,localMax_Insulin,-0.044635057,0.211862,0.04086399
109,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_102,BMI,localMax_BMI,-0.10952425,1.3436117,1.5858011
110,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_102,DiabetesPedigreeFunction,localMax_DiabetesPedigreeFunction,0.21970582,1.1423552,0.91169286
111,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_102,Age,localMax_Age,0.2747656,1.2688636,0.07594597
112,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_149,Pregnancies,localMax_Pregnancies,0.5074322,0.73332477,0.2815398
113,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_149,Glucose,localMax_Glucose,1.0812212,1.3011231,1.521025
114,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_149,BloodPressure,localMax_BloodPressure,0.63118434,0.9244107,0.33795798
115,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_149,SkinThickness,localMax_SkinThickness,0.45505553,0.2277084,0.37927312
116,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_149,Insulin,localMax_Insulin,-0.1916847,-0.12773825,-0.06379181
117,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_149,BMI,localMax_BMI,0.826416,1.649185,1.9234412
118,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_149,DiabetesPedigreeFunction,localMax_DiabetesPedigreeFunction,0.560746,0.341819,0.77967304
119,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_149,Age,localMax_Age,0.12466255,0.052111953,0.2697638
120,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_117,Pregnancies,localMax_Pregnancies,-0.015511811,0.20572448,0.09510633
121,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_117,Glucose,localMax_Glucose,2.2405903,1.8969674,1.5533445
122,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_117,BloodPressure,localMax_BloodPressure,0.16823876,0.32642162,0.0100559
123,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_117,SkinThickness,localMax_SkinThickness,0.323021,0.20145833,0.44458365
124,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_117,Insulin,localMax_Insulin,0.10103285,-0.0029207468,0.20498642
125,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_117,BMI,localMax_BMI,0.25232464,-0.14944673,0.4532103
126,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_117,DiabetesPedigreeFunction,localMax_DiabetesPedigreeFunction,0.62242985,0.44059926,0.8042605
127,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_117,Age,localMax_Age,0.18563902,-0.02872771,0.4000057
128,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_124,Pregnancies,localMax_Pregnancies,0.56570506,0.74197996,0.91825485
129,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_124,Glucose,localMax_Glucose,1.92449,0.8501425,1.2082582
130,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_124,BloodPressure,localMax_BloodPressure,-0.049427867,-0.18189916,-0.44684172
131,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_124,SkinThickness,localMax_SkinThickness,0.004939705,-0.085091144,0.45509404
132,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_124,Insulin,localMax_Insulin,-0.08013165,-0.17655279,-0.27297395
133,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_124,BMI,localMax_BMI,0.99794006,0.23280716,0.74289584
134,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_124,DiabetesPedigreeFunction,localMax_DiabetesPedigreeFunction,0.15394437,0.42059863,-0.11270988
135,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_124,Age,localMax_Age,0.46388912,0.64915526,0.27862287
136,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_98,Pregnancies,localMax_Pregnancies,0.67504346,0.48657155,-0.07884383
137,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_98,Glucose,localMax_Glucose,2.5488844,2.906896,1.116838
138,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_98,BloodPressure,localMax_BloodPressure,0.5954362,0.23671114,0.71501124
139,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_98,SkinThickness,localMax_SkinThickness,0.37867242,0.49811935,0.2592255
140,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_98,Insulin,localMax_Insulin,-0.1482213,-0.057823747,0.30376652
141,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_98,BMI,localMax_BMI,0.2519421,0.0368315,0.4670527
142,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_98,DiabetesPedigreeFunction,localMax_DiabetesPedigreeFunction,0.57489586,0.40305656,0.2312172
143,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_98,Age,localMax_Age,0.12576121,0.1996364,0.2735116
144,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_100,Pregnancies,localMax_Pregnancies,-0.034517594,-0.06744536,-0.100373134
145,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_100,Glucose,localMax_Glucose,1.4700288,1.2602731,1.6797844
146,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_100,BloodPressure,localMax_BloodPressure,0.5346973,0.42665118,0.6427434
147,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_100,SkinThickness,localMax_SkinThickness,0.09105724,0.04581058,0.00056390464
148,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_100,Insulin,localMax_Insulin,-0.085401565,0.50833166,0.5931507
149,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_100,BMI,localMax_BMI,0.9210568,0.7747904,-0.10280821
150,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_100,DiabetesPedigreeFunction,localMax_DiabetesPedigreeFunction,0.16460347,0.36153388,0.75539494
151,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_100,Age,localMax_Age,0.7453189,0.8580004,0.06922984
152,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_22,Pregnancies,localMax_Pregnancies,-0.06965616,0.09700608,-0.15298732
153,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_22,Glucose,localMax_Glucose,0.88772786,1.1639562,1.4401845
154,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_22,BloodPressure,localMax_BloodPressure,0.61445916,0.33576727,0.0570755
155,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_22,SkinThickness,localMax_SkinThickness,0.5978928,0.7046109,0.49117476
156,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_22,Insulin,localMax_Insulin,0.115875185,0.19538334,0.03636703
157,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_22,BMI,localMax_BMI,1.8526,-0.6079948,2.0762904
158,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_22,DiabetesPedigreeFunction,localMax_DiabetesPedigreeFunction,0.3173256,0.4272058,0.20744538
159,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_22,Age,localMax_Age,0.76541716,0.9027666,1.040116
160,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_17,Pregnancies,localMax_Pregnancies,0.6254783,0.48325318,-0.085647285
161,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_17,Glucose,localMax_Glucose,0.83137906,0.49027562,1.1724824
162,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_17,BloodPressure,localMax_BloodPressure,0.2553472,0.39257604,0.118118286
