,imbalanceRatio,Subset,Indicator,Sorted_Features
0,shap_list_ir_1,shap_list_ir_1_subset_100,orderMean,"['Glucose', 'BMI', 'Age', 'BloodPressure', 'SkinThickness', 'DiabetesPedigreeFunction', 'Pregnancies', 'Insulin']"
1,shap_list_ir_1,shap_list_ir_1_subset_100,orderStd,"['BMI', 'Glucose', 'Age', 'BloodPressure', 'SkinThickness', 'Pregnancies', 'Insulin', 'DiabetesPedigreeFunction']"
2,shap_list_ir_1,shap_list_ir_1_subset_100,orderSum,"['Glucose', 'BMI', 'Age', 'BloodPressure', 'SkinThickness', 'DiabetesPedigreeFunction', 'Pregnancies', 'Insulin']"
3,shap_list_ir_1,shap_list_ir_1_subset_101,orderMean,"['Glucose', 'DiabetesPedigreeFunction', 'BMI', 'Insulin', 'BloodPressure', 'SkinThickness', 'Age', 'Pregnancies']"
4,shap_list_ir_1,shap_list_ir_1_subset_101,orderStd,"['DiabetesPedigreeFunction', 'Glucose', 'BMI', 'Insulin', 'BloodPressure', 'SkinThickness', 'Pregnancies', 'Age']"
5,shap_list_ir_1,shap_list_ir_1_subset_101,orderSum,"['Glucose', 'DiabetesPedigreeFunction', 'BMI', 'Insulin', 'BloodPressure', 'SkinThickness', 'Age', 'Pregnancies']"
6,shap_list_ir_1,shap_list_ir_1_subset_102,orderMean,"['Glucose', 'Age', 'BMI', 'DiabetesPedigreeFunction', 'BloodPressure', 'Pregnancies', 'Insulin', 'SkinThickness']"
7,shap_list_ir_1,shap_list_ir_1_subset_102,orderStd,"['Glucose', 'Age', 'Insulin', 'BMI', 'DiabetesPedigreeFunction', 'Pregnancies', 'BloodPressure', 'SkinThickness']"
8,shap_list_ir_1,shap_list_ir_1_subset_102,orderSum,"['Glucose', 'Age', 'BMI', 'DiabetesPedigreeFunction', 'BloodPressure', 'Pregnancies', 'Insulin', 'SkinThickness']"
9,shap_list_ir_1,shap_list_ir_1_subset_103,orderMean,"['DiabetesPedigreeFunction', 'Age', 'Glucose', 'BMI', 'Insulin', 'Pregnancies', 'BloodPressure', 'SkinThickness']"
10,shap_list_ir_1,shap_list_ir_1_subset_103,orderStd,"['DiabetesPedigreeFunction', 'Glucose', 'Age', 'Insulin', 'BloodPressure', 'BMI', 'SkinThickness', 'Pregnancies']"
11,shap_list_ir_1,shap_list_ir_1_subset_103,orderSum,"['DiabetesPedigreeFunction', 'Age', 'Glucose', 'BMI', 'Insulin', 'Pregnancies', 'BloodPressure', 'SkinThickness']"
12,shap_list_ir_1,shap_list_ir_1_subset_104,orderMean,"['Glucose', 'Age', 'BMI', 'BloodPressure', 'DiabetesPedigreeFunction', 'Pregnancies', 'SkinThickness', 'Insulin']"
13,shap_list_ir_1,shap_list_ir_1_subset_104,orderStd,"['Glucose', 'Age', 'BMI', 'BloodPressure', 'DiabetesPedigreeFunction', 'Insulin', 'Pregnancies', 'SkinThickness']"
14,shap_list_ir_1,shap_list_ir_1_subset_104,orderSum,"['Glucose', 'Age', 'BMI', 'BloodPressure', 'DiabetesPedigreeFunction', 'Pregnancies', 'SkinThickness', 'Insulin']"
15,shap_list_ir_1,shap_list_ir_1_subset_105,orderMean,"['Glucose', 'BMI', 'BloodPressure', 'DiabetesPedigreeFunction', 'Age', 'Pregnancies', 'SkinThickness', 'Insulin']"
16,shap_list_ir_1,shap_list_ir_1_subset_105,orderStd,"['BMI', 'Glucose', 'BloodPressure', 'DiabetesPedigreeFunction', 'Age', 'SkinThickness', 'Insulin', 'Pregnancies']"
17,shap_list_ir_1,shap_list_ir_1_subset_105,orderSum,"['Glucose', 'BMI', 'BloodPressure', 'DiabetesPedigreeFunction', 'Age', 'Pregnancies', 'SkinThickness', 'Insulin']"
18,shap_list_ir_1,shap_list_ir_1_subset_106,orderMean,"['BMI', 'Glucose', 'Pregnancies', 'DiabetesPedigreeFunction', 'SkinThickness', 'Insulin', 'BloodPressure', 'Age']"
19,shap_list_ir_1,shap_list_ir_1_subset_106,orderStd,"['BMI', 'Glucose', 'DiabetesPedigreeFunction', 'Pregnancies', 'Insulin', 'BloodPressure', 'Age', 'SkinThickness']"
20,shap_list_ir_1,shap_list_ir_1_subset_106,orderSum,"['BMI', 'Glucose', 'Pregnancies', 'DiabetesPedigreeFunction', 'SkinThickness', 'Insulin', 'BloodPressure', 'Age']"
21,shap_list_ir_1,shap_list_ir_1_subset_107,orderMean,"['BMI', 'Age', 'Pregnancies', 'Glucose', 'BloodPressure', 'Insulin', 'SkinThickness', 'DiabetesPedigreeFunction']"
22,shap_list_ir_1,shap_list_ir_1_subset_107,orderStd,"['BMI', 'Glucose', 'Age', 'BloodPressure', 'Pregnancies', 'Insulin', 'DiabetesPedigreeFunction', 'SkinThickness']"
23,shap_list_ir_1,shap_list_ir_1_subset_107,orderSum,"['BMI', 'Age', 'Pregnancies', 'Glucose', 'BloodPressure', 'Insulin', 'SkinThickness', 'DiabetesPedigreeFunction']"
24,shap_list_ir_1,shap_list_ir_1_subset_108,orderMean,"['Glucose', 'Age', 'DiabetesPedigreeFunction', 'BloodPressure', 'BMI', 'SkinThickness', 'Pregnancies', 'Insulin']"
25,shap_list_ir_1,shap_list_ir_1_subset_108,orderStd,"['Glucose', 'Age', 'BMI', 'DiabetesPedigreeFunction', 'BloodPressure', 'Insulin', 'SkinThickness', 'Pregnancies']"
26,shap_list_ir_1,shap_list_ir_1_subset_108,orderSum,"['Glucose', 'Age', 'DiabetesPedigreeFunction', 'BloodPressure', 'BMI', 'SkinThickness', 'Pregnancies', 'Insulin']"
27,shap_list_ir_1,shap_list_ir_1_subset_109,orderMean,"['Glucose', 'Age', 'BMI', 'Pregnancies', 'DiabetesPedigreeFunction', 'BloodPressure', 'SkinThickness', 'Insulin']"
28,shap_list_ir_1,shap_list_ir_1_subset_109,orderStd,"['BMI', 'Age', 'DiabetesPedigreeFunction', 'Pregnancies', 'Glucose', 'BloodPressure', 'SkinThickness', 'Insulin']"
29,shap_list_ir_1,shap_list_ir_1_subset_109,orderSum,"['Glucose', 'Age', 'BMI', 'Pregnancies', 'DiabetesPedigreeFunction', 'BloodPressure', 'SkinThickness', 'Insulin']"
30,shap_list_ir_1,shap_list_ir_1_subset_10,orderMean,"['Glucose', 'BMI', 'BloodPressure', 'SkinThickness', 'DiabetesPedigreeFunction', 'Age', 'Insulin', 'Pregnancies']"
31,shap_list_ir_1,shap_list_ir_1_subset_10,orderStd,"['Glucose', 'BMI', 'DiabetesPedigreeFunction', 'Age', 'SkinThickness', 'Pregnancies', 'BloodPressure', 'Insulin']"
32,shap_list_ir_1,shap_list_ir_1_subset_10,orderSum,"['Glucose', 'BMI', 'BloodPressure', 'SkinThickness', 'DiabetesPedigreeFunction', 'Age', 'Insulin', 'Pregnancies']"
33,shap_list_ir_1,shap_list_ir_1_subset_110,orderMean,"['Glucose', 'DiabetesPedigreeFunction', 'BMI', 'Age', 'SkinThickness', 'BloodPressure', 'Insulin', 'Pregnancies']"
34,shap_list_ir_1,shap_list_ir_1_subset_110,orderStd,"['Glucose', 'Age', 'DiabetesPedigreeFunction', 'BMI', 'BloodPressure', 'SkinThickness', 'Insulin', 'Pregnancies']"
35,shap_list_ir_1,shap_list_ir_1_subset_110,orderSum,"['Glucose', 'DiabetesPedigreeFunction', 'BMI', 'Age', 'SkinThickness', 'BloodPressure', 'Insulin', 'Pregnancies']"
36,shap_list_ir_1,shap_list_ir_1_subset_111,orderMean,"['Glucose', 'Age', 'BMI', 'DiabetesPedigreeFunction', 'BloodPressure', 'Pregnancies', 'SkinThickness', 'Insulin']"
37,shap_list_ir_1,shap_list_ir_1_subset_111,orderStd,"['Age', 'Glucose', 'BMI', 'BloodPressure', 'DiabetesPedigreeFunction', 'Pregnancies', 'SkinThickness', 'Insulin']"
38,shap_list_ir_1,shap_list_ir_1_subset_111,orderSum,"['Glucose', 'Age', 'BMI', 'DiabetesPedigreeFunction', 'BloodPressure', 'Pregnancies', 'SkinThickness', 'Insulin']"
39,shap_list_ir_1,shap_list_ir_1_subset_112,orderMean,"['Glucose', 'Age', 'BloodPressure', 'BMI', 'Pregnancies', 'DiabetesPedigreeFunction', 'Insulin', 'SkinThickness']"
40,shap_list_ir_1,shap_list_ir_1_subset_112,orderStd,"['Glucose', 'Age', 'BMI', 'BloodPressure', 'Insulin', 'Pregnancies', 'DiabetesPedigreeFunction', 'SkinThickness']"
41,shap_list_ir_1,shap_list_ir_1_subset_112,orderSum,"['Glucose', 'Age', 'BloodPressure', 'BMI', 'Pregnancies', 'DiabetesPedigreeFunction', 'Insulin', 'SkinThickness']"
42,shap_list_ir_1,shap_list_ir_1_subset_113,orderMean,"['BMI', 'Glucose', 'Pregnancies', 'Age', 'DiabetesPedigreeFunction', 'BloodPressure', 'Insulin', 'SkinThickness']"
43,shap_list_ir_1,shap_list_ir_1_subset_113,orderStd,"['BMI', 'Glucose', 'Age', 'Pregnancies', 'DiabetesPedigreeFunction', 'BloodPressure', 'Insulin', 'SkinThickness']"
