,imbalanceRatio,Subset,Indicator,Sorted_Features
0,lr_shap_list_ir_1,lr_shap_list_ir_1_subset_152,orderMean,"['BMI', 'Glucose', 'SkinThickness', 'Pregnancies', 'BloodPressure', 'Age', 'Insulin', 'DiabetesPedigreeFunction']"
1,lr_shap_list_ir_1,lr_shap_list_ir_1_subset_152,orderStd,"['BMI', 'Glucose', 'BloodPressure', 'SkinThickness', 'Age', 'Pregnancies', 'Insulin', 'DiabetesPedigreeFunction']"
2,lr_shap_list_ir_1,lr_shap_list_ir_1_subset_152,orderSum,"['BMI', 'Glucose', 'SkinThickness', 'Pregnancies', 'BloodPressure', 'Age', 'Insulin', 'DiabetesPedigreeFunction']"
3,lr_shap_list_ir_2,lr_shap_list_ir_2_subset_147,orderMean,"['Glucose', 'BMI', 'Pregnancies', 'SkinThickness', 'Age', 'BloodPressure', 'DiabetesPedigreeFunction', 'Insulin']"
4,lr_shap_list_ir_2,lr_shap_list_ir_2_subset_147,orderStd,"['Glucose', 'BMI', 'Pregnancies', 'SkinThickness', 'Age', 'BloodPressure', 'DiabetesPedigreeFunction', 'Insulin']"
5,lr_shap_list_ir_2,lr_shap_list_ir_2_subset_147,orderSum,"['Glucose', 'BMI', 'Pregnancies', 'SkinThickness', 'Age', 'BloodPressure', 'DiabetesPedigreeFunction', 'Insulin']"
6,lr_shap_list_ir_5,lr_shap_list_ir_5_subset_19,orderMean,"['Glucose', 'BMI', 'Pregnancies', 'DiabetesPedigreeFunction', 'BloodPressure', 'Age', 'Insulin', 'SkinThickness']"
7,lr_shap_list_ir_5,lr_shap_list_ir_5_subset_19,orderStd,"['Glucose', 'BMI', 'DiabetesPedigreeFunction', 'Pregnancies', 'BloodPressure', 'Age', 'Insulin', 'SkinThickness']"
8,lr_shap_list_ir_5,lr_shap_list_ir_5_subset_19,orderSum,"['Glucose', 'BMI', 'Pregnancies', 'DiabetesPedigreeFunction', 'BloodPressure', 'Age', 'Insulin', 'SkinThickness']"
9,lr_shap_list_ir_3,lr_shap_list_ir_3_subset_39,orderMean,"['Glucose', 'Age', 'BMI', 'DiabetesPedigreeFunction', 'SkinThickness', 'BloodPressure', 'Insulin', 'Pregnancies']"
10,lr_shap_list_ir_3,lr_shap_list_ir_3_subset_39,orderStd,"['Glucose', 'BMI', 'Age', 'DiabetesPedigreeFunction', 'BloodPressure', 'SkinThickness', 'Insulin', 'Pregnancies']"
11,lr_shap_list_ir_3,lr_shap_list_ir_3_subset_39,orderSum,"['Glucose', 'Age', 'BMI', 'DiabetesPedigreeFunction', 'SkinThickness', 'BloodPressure', 'Insulin', 'Pregnancies']"
12,lr_shap_list_ir_1,lr_shap_list_ir_1_subset_100,orderMean,"['BMI', 'Glucose', 'SkinThickness', 'BloodPressure', 'Pregnancies', 'Insulin', 'Age', 'DiabetesPedigreeFunction']"
13,lr_shap_list_ir_1,lr_shap_list_ir_1_subset_100,orderStd,"['BMI', 'Glucose', 'BloodPressure', 'SkinThickness', 'Insulin', 'Pregnancies', 'Age', 'DiabetesPedigreeFunction']"
14,lr_shap_list_ir_1,lr_shap_list_ir_1_subset_100,orderSum,"['BMI', 'Glucose', 'SkinThickness', 'BloodPressure', 'Pregnancies', 'Insulin', 'Age', 'DiabetesPedigreeFunction']"
15,lr_shap_list_ir_4,lr_shap_list_ir_4_subset_147,orderMean,"['BMI', 'Glucose', 'Age', 'Pregnancies', 'BloodPressure', 'SkinThickness', 'DiabetesPedigreeFunction', 'Insulin']"
16,lr_shap_list_ir_4,lr_shap_list_ir_4_subset_147,orderStd,"['BMI', 'Glucose', 'Age', 'BloodPressure', 'Pregnancies', 'DiabetesPedigreeFunction', 'SkinThickness', 'Insulin']"
17,lr_shap_list_ir_4,lr_shap_list_ir_4_subset_147,orderSum,"['BMI', 'Glucose', 'Age', 'Pregnancies', 'BloodPressure', 'SkinThickness', 'DiabetesPedigreeFunction', 'Insulin']"
18,lr_shap_list_ir_4,lr_shap_list_ir_4_subset_55,orderMean,"['Glucose', 'Pregnancies', 'BMI', 'DiabetesPedigreeFunction', 'BloodPressure', 'Insulin', 'SkinThickness', 'Age']"
