,imbalanceRatio,Subset,Indicator,Sorted_Features
0,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,orderMean,"['Insulin', 'Glucose', 'SkinThickness', 'BloodPressure', 'BMI', 'Pregnancies', 'DiabetesPedigreeFunction', 'Age']"
1,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,orderStd,"['Insulin', 'Glucose', 'SkinThickness', 'BloodPressure', 'BMI', 'DiabetesPedigreeFunction', 'Pregnancies', 'Age']"
2,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,orderSum,"['Insulin', 'Glucose', 'SkinThickness', 'BloodPressure', 'BMI', 'Pregnancies', 'DiabetesPedigreeFunction', 'Age']"
3,mlp_shap_list_ir_2,mlp_shap_list_ir_2_subset_14,orderMean,"['Glucose', 'Age', 'Insulin', 'Pregnancies', 'BMI', 'BloodPressure', 'SkinThickness', 'DiabetesPedigreeFunction']"
4,mlp_shap_list_ir_2,mlp_shap_list_ir_2_subset_14,orderStd,"['Age', 'Glucose', 'Pregnancies', 'SkinThickness', 'BloodPressure', 'BMI', 'Insulin', 'DiabetesPedigreeFunction']"
5,mlp_shap_list_ir_2,mlp_shap_list_ir_2_subset_14,orderSum,"['Glucose', 'Age', 'Insulin', 'Pregnancies', 'BMI', 'BloodPressure', 'SkinThickness', 'DiabetesPedigreeFunction']"
6,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_147,orderMean,"['Insulin', 'Age', 'Glucose', 'Pregnancies', 'BloodPressure', 'SkinThickness', 'BMI', 'DiabetesPedigreeFunction']"
7,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_147,orderStd,"['Insulin', 'Age', 'Glucose', 'Pregnancies', 'BloodPressure', 'SkinThickness', 'BMI', 'DiabetesPedigreeFunction']"
8,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_147,orderSum,"['Insulin', 'Age', 'Glucose', 'Pregnancies', 'BloodPressure', 'SkinThickness', 'BMI', 'DiabetesPedigreeFunction']"
9,mlp_shap_list_ir_3,mlp_shap_list_ir_3_subset_128,orderMean,"['Insulin', 'Age', 'SkinThickness', 'Glucose', 'BloodPressure', 'BMI', 'Pregnancies', 'DiabetesPedigreeFunction']"
10,mlp_shap_list_ir_3,mlp_shap_list_ir_3_subset_128,orderStd,"['Insulin', 'Age', 'SkinThickness', 'Glucose', 'BloodPressure', 'BMI', 'DiabetesPedigreeFunction', 'Pregnancies']"
11,mlp_shap_list_ir_3,mlp_shap_list_ir_3_subset_128,orderSum,"['Insulin', 'Age', 'SkinThickness', 'Glucose', 'BloodPressure', 'BMI', 'Pregnancies', 'DiabetesPedigreeFunction']"
12,mlp_shap_list_ir_3,mlp_shap_list_ir_3_subset_2,orderMean,"['Insulin', 'SkinThickness', 'Glucose', 'Age', 'BloodPressure', 'Pregnancies', 'BMI', 'DiabetesPedigreeFunction']"
13,mlp_shap_list_ir_3,mlp_shap_list_ir_3_subset_2,orderStd,"['Insulin', 'Glucose', 'SkinThickness', 'Age', 'Pregnancies', 'BloodPressure', 'BMI', 'DiabetesPedigreeFunction']"
14,mlp_shap_list_ir_3,mlp_shap_list_ir_3_subset_2,orderSum,"['Insulin', 'SkinThickness', 'Glucose', 'Age', 'BloodPressure', 'Pregnancies', 'BMI', 'DiabetesPedigreeFunction']"
15,mlp_shap_list_ir_4,mlp_shap_list_ir_4_subset_159,orderMean,"['Insulin', 'SkinThickness', 'Glucose', 'BMI', 'Pregnancies', 'Age', 'BloodPressure', 'DiabetesPedigreeFunction']"
16,mlp_shap_list_ir_4,mlp_shap_list_ir_4_subset_159,orderStd,"['Insulin', 'SkinThickness', 'BMI', 'Glucose', 'Pregnancies', 'Age', 'BloodPressure', 'DiabetesPedigreeFunction']"
17,mlp_shap_list_ir_4,mlp_shap_list_ir_4_subset_159,orderSum,"['Insulin', 'SkinThickness', 'Glucose', 'BMI', 'Pregnancies', 'Age', 'BloodPressure', 'DiabetesPedigreeFunction']"
18,mlp_shap_list_ir_2,mlp_shap_list_ir_2_subset_124,orderMean,"['Insulin', 'SkinThickness', 'BloodPressure', 'Age', 'Glucose', 'Pregnancies', 'BMI', 'DiabetesPedigreeFunction']"
19,mlp_shap_list_ir_2,mlp_shap_list_ir_2_subset_124,orderStd,"['Insulin', 'SkinThickness', 'BloodPressure', 'Age', 'Pregnancies', 'Glucose', 'BMI', 'DiabetesPedigreeFunction']"
20,mlp_shap_list_ir_2,mlp_shap_list_ir_2_subset_124,orderSum,"['Insulin', 'SkinThickness', 'BloodPressure', 'Age', 'Glucose', 'Pregnancies', 'BMI', 'DiabetesPedigreeFunction']"
21,mlp_shap_list_ir_4,mlp_shap_list_ir_4_subset_90,orderMean,"['Insulin', 'SkinThickness', 'Glucose', 'BloodPressure', 'Age', 'BMI', 'DiabetesPedigreeFunction', 'Pregnancies']"
22,mlp_shap_list_ir_4,mlp_shap_list_ir_4_subset_90,orderStd,"['Insulin', 'SkinThickness', 'Glucose', 'BloodPressure', 'Age', 'BMI', 'DiabetesPedigreeFunction', 'Pregnancies']"
23,mlp_shap_list_ir_4,mlp_shap_list_ir_4_subset_90,orderSum,"['Insulin', 'SkinThickness', 'Glucose', 'BloodPressure', 'Age', 'BMI', 'DiabetesPedigreeFunction', 'Pregnancies']"
24,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_44,orderMean,"['Age', 'Insulin', 'SkinThickness', 'Glucose', 'Pregnancies', 'BloodPressure', 'BMI', 'DiabetesPedigreeFunction']"
