,imbalanceRatio,Subset,Indicator,Sorted_Features
0,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_35,orderMean,"['DiabetesPedigreeFunction', 'Glucose', 'Age', 'BMI', 'SkinThickness', 'Pregnancies', 'BloodPressure', 'Insulin']"
1,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_35,orderStd,"['Glucose', 'DiabetesPedigreeFunction', 'Age', 'BMI', 'SkinThickness', 'Pregnancies', 'BloodPressure', 'Insulin']"
2,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_35,orderSum,"['DiabetesPedigreeFunction', 'Glucose', 'Age', 'BMI', 'SkinThickness', 'Pregnancies', 'BloodPressure', 'Insulin']"
3,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_159,orderMean,"['Glucose', 'Age', 'BMI', 'DiabetesPedigreeFunction', 'Pregnancies', 'SkinThickness', 'BloodPressure', 'Insulin']"
4,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_159,orderStd,"['Glucose', 'BMI', 'Age', 'DiabetesPedigreeFunction', 'SkinThickness', 'Insulin', 'Pregnancies', 'BloodPressure']"
5,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_159,orderSum,"['Glucose', 'Age', 'BMI', 'DiabetesPedigreeFunction', 'Pregnancies', 'SkinThickness', 'BloodPressure', 'Insulin']"
6,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_88,orderMean,"['Glucose', 'Age', 'BMI', 'DiabetesPedigreeFunction', 'BloodPressure', 'SkinThickness', 'Pregnancies', 'Insulin']"
7,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_88,orderStd,"['Glucose', 'Age', 'BMI', 'DiabetesPedigreeFunction', 'BloodPressure', 'Insulin', 'SkinThickness', 'Pregnancies']"
8,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_88,orderSum,"['Glucose', 'Age', 'BMI', 'DiabetesPedigreeFunction', 'BloodPressure', 'SkinThickness', 'Pregnancies', 'Insulin']"
9,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_94,orderMean,"['Glucose', 'BMI', 'Age', 'DiabetesPedigreeFunction', 'SkinThickness', 'Insulin', 'BloodPressure', 'Pregnancies']"
10,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_94,orderStd,"['BMI', 'Glucose', 'DiabetesPedigreeFunction', 'Age', 'BloodPressure', 'SkinThickness', 'Insulin', 'Pregnancies']"
11,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_94,orderSum,"['Glucose', 'BMI', 'Age', 'DiabetesPedigreeFunction', 'SkinThickness', 'Insulin', 'BloodPressure', 'Pregnancies']"
12,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_129,orderMean,"['Glucose', 'DiabetesPedigreeFunction', 'BMI', 'SkinThickness', 'BloodPressure', 'Pregnancies', 'Age', 'Insulin']"
13,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_129,orderStd,"['Glucose', 'Pregnancies', 'SkinThickness', 'DiabetesPedigreeFunction', 'BMI', 'BloodPressure', 'Age', 'Insulin']"
14,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_129,orderSum,"['Glucose', 'DiabetesPedigreeFunction', 'BMI', 'SkinThickness', 'BloodPressure', 'Pregnancies', 'Age', 'Insulin']"
15,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_68,orderMean,"['Glucose', 'Age', 'BMI', 'DiabetesPedigreeFunction', 'Pregnancies', 'Insulin', 'BloodPressure', 'SkinThickness']"
16,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_68,orderStd,"['Glucose', 'Age', 'BMI', 'DiabetesPedigreeFunction', 'Pregnancies', 'BloodPressure', 'Insulin', 'SkinThickness']"
17,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_68,orderSum,"['Glucose', 'Age', 'BMI', 'DiabetesPedigreeFunction', 'Pregnancies', 'Insulin', 'BloodPressure', 'SkinThickness']"
18,rf_shap_list_ir_5,rf_shap_list_ir_5_subset_23,orderMean,"['Glucose', 'Age', 'BMI', 'Pregnancies', 'DiabetesPedigreeFunction', 'BloodPressure', 'Insulin', 'SkinThickness']"
19,rf_shap_list_ir_5,rf_shap_list_ir_5_subset_23,orderStd,"['Glucose', 'BMI', 'Age', 'DiabetesPedigreeFunction', 'Pregnancies', 'Insulin', 'SkinThickness', 'BloodPressure']"
20,rf_shap_list_ir_5,rf_shap_list_ir_5_subset_23,orderSum,"['Glucose', 'Age', 'BMI', 'Pregnancies', 'DiabetesPedigreeFunction', 'BloodPressure', 'Insulin', 'SkinThickness']"
21,rf_shap_list_ir_2,rf_shap_list_ir_2_subset_37,orderMean,"['Glucose', 'BMI', 'DiabetesPedigreeFunction', 'Age', 'BloodPressure', 'Pregnancies', 'SkinThickness', 'Insulin']"
22,rf_shap_list_ir_2,rf_shap_list_ir_2_subset_37,orderStd,"['Glucose', 'BMI', 'Age', 'DiabetesPedigreeFunction', 'BloodPressure', 'SkinThickness', 'Insulin', 'Pregnancies']"
23,rf_shap_list_ir_2,rf_shap_list_ir_2_subset_37,orderSum,"['Glucose', 'BMI', 'DiabetesPedigreeFunction', 'Age', 'BloodPressure', 'Pregnancies', 'SkinThickness', 'Insulin']"
24,rf_shap_list_ir_5,rf_shap_list_ir_5_subset_112,orderMean,"['Glucose', 'BMI', 'Age', 'DiabetesPedigreeFunction', 'Pregnancies', 'BloodPressure', 'SkinThickness', 'Insulin']"
25,rf_shap_list_ir_5,rf_shap_list_ir_5_subset_112,orderStd,"['Glucose', 'BMI', 'Age', 'DiabetesPedigreeFunction', 'BloodPressure', 'Insulin', 'SkinThickness', 'Pregnancies']"
26,rf_shap_list_ir_5,rf_shap_list_ir_5_subset_112,orderSum,"['Glucose', 'BMI', 'Age', 'DiabetesPedigreeFunction', 'Pregnancies', 'BloodPressure', 'SkinThickness', 'Insulin']"
27,rf_shap_list_ir_4,rf_shap_list_ir_4_subset_86,orderMean,"['Glucose', 'BMI', 'Age', 'DiabetesPedigreeFunction', 'Pregnancies', 'BloodPressure', 'SkinThickness', 'Insulin']"
28,rf_shap_list_ir_4,rf_shap_list_ir_4_subset_86,orderStd,"['Glucose', 'BMI', 'DiabetesPedigreeFunction', 'Age', 'Insulin', 'BloodPressure', 'SkinThickness', 'Pregnancies']"
29,rf_shap_list_ir_4,rf_shap_list_ir_4_subset_86,orderSum,"['Glucose', 'BMI', 'Age', 'DiabetesPedigreeFunction', 'Pregnancies', 'BloodPressure', 'SkinThickness', 'Insulin']"
30,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_57,orderMean,"['Glucose', 'Age', 'BMI', 'Pregnancies', 'DiabetesPedigreeFunction', 'BloodPressure', 'SkinThickness', 'Insulin']"
31,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_57,orderStd,"['Glucose', 'BMI', 'Age', 'DiabetesPedigreeFunction', 'Pregnancies', 'Insulin', 'BloodPressure', 'SkinThickness']"
32,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_57,orderSum,"['Glucose', 'Age', 'BMI', 'Pregnancies', 'DiabetesPedigreeFunction', 'BloodPressure', 'SkinThickness', 'Insulin']"
33,rf_shap_list_ir_2,rf_shap_list_ir_2_subset_116,orderMean,"['Glucose', 'BMI', 'DiabetesPedigreeFunction', 'Age', 'BloodPressure', 'SkinThickness', 'Insulin', 'Pregnancies']"
34,rf_shap_list_ir_2,rf_shap_list_ir_2_subset_116,orderStd,"['BMI', 'Glucose', 'DiabetesPedigreeFunction', 'Age', 'BloodPressure', 'Insulin', 'SkinThickness', 'Pregnancies']"
35,rf_shap_list_ir_2,rf_shap_list_ir_2_subset_116,orderSum,"['Glucose', 'BMI', 'DiabetesPedigreeFunction', 'Age', 'BloodPressure', 'SkinThickness', 'Insulin', 'Pregnancies']"
36,rf_shap_list_ir_4,rf_shap_list_ir_4_subset_106,orderMean,"['Glucose', 'BMI', 'Age', 'DiabetesPedigreeFunction', 'Pregnancies', 'BloodPressure', 'Insulin', 'SkinThickness']"
37,rf_shap_list_ir_4,rf_shap_list_ir_4_subset_106,orderStd,"['Glucose', 'BMI', 'Age', 'DiabetesPedigreeFunction', 'Pregnancies', 'SkinThickness', 'Insulin', 'BloodPressure']"
38,rf_shap_list_ir_4,rf_shap_list_ir_4_subset_106,orderSum,"['Glucose', 'BMI', 'Age', 'DiabetesPedigreeFunction', 'Pregnancies', 'BloodPressure', 'Insulin', 'SkinThickness']"
39,rf_shap_list_ir_4,rf_shap_list_ir_4_subset_49,orderMean,"['Glucose', 'BMI', 'Age', 'DiabetesPedigreeFunction', 'Pregnancies', 'BloodPressure', 'Insulin', 'SkinThickness']"
40,rf_shap_list_ir_4,rf_shap_list_ir_4_subset_49,orderStd,"['Glucose', 'BMI', 'Age', 'DiabetesPedigreeFunction', 'Pregnancies', 'BloodPressure', 'Insulin', 'SkinThickness']"
41,rf_shap_list_ir_4,rf_shap_list_ir_4_subset_49,orderSum,"['Glucose', 'BMI', 'Age', 'DiabetesPedigreeFunction', 'Pregnancies', 'BloodPressure', 'Insulin', 'SkinThickness']"
42,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_22,orderMean,"['Age', 'Glucose', 'BMI', 'BloodPressure', 'Pregnancies', 'DiabetesPedigreeFunction', 'SkinThickness', 'Insulin']"
43,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_22,orderStd,"['BloodPressure', 'Age', 'BMI', 'Glucose', 'Pregnancies', 'DiabetesPedigreeFunction', 'SkinThickness', 'Insulin']"
44,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_22,orderSum,"['Age', 'Glucose', 'BMI', 'BloodPressure', 'Pregnancies', 'DiabetesPedigreeFunction', 'SkinThickness', 'Insulin']"
45,rf_shap_list_ir_5,rf_shap_list_ir_5_subset_158,orderMean,"['Glucose', 'BMI', 'Age', 'DiabetesPedigreeFunction', 'Pregnancies', 'BloodPressure', 'SkinThickness', 'Insulin']"
46,rf_shap_list_ir_5,rf_shap_list_ir_5_subset_158,orderStd,"['Glucose', 'BMI', 'Age', 'DiabetesPedigreeFunction', 'Pregnancies', 'Insulin', 'SkinThickness', 'BloodPressure']"
47,rf_shap_list_ir_5,rf_shap_list_ir_5_subset_158,orderSum,"['Glucose', 'BMI', 'Age', 'DiabetesPedigreeFunction', 'Pregnancies', 'BloodPressure', 'SkinThickness', 'Insulin']"
48,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_65,orderMean,"['Glucose', 'BMI', 'BloodPressure', 'Pregnancies', 'Age', 'DiabetesPedigreeFunction', 'SkinThickness', 'Insulin']"
49,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_65,orderStd,"['Glucose', 'BMI', 'BloodPressure', 'Age', 'DiabetesPedigreeFunction', 'Pregnancies', 'SkinThickness', 'Insulin']"
50,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_65,orderSum,"['Glucose', 'BMI', 'BloodPressure', 'Pregnancies', 'Age', 'DiabetesPedigreeFunction', 'SkinThickness', 'Insulin']"
51,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_116,orderMean,"['Glucose', 'DiabetesPedigreeFunction', 'BMI', 'Age', 'Pregnancies', 'BloodPressure', 'SkinThickness', 'Insulin']"
52,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_116,orderStd,"['Glucose', 'BMI', 'DiabetesPedigreeFunction', 'Age', 'BloodPressure', 'Pregnancies', 'Insulin', 'SkinThickness']"
53,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_116,orderSum,"['Glucose', 'DiabetesPedigreeFunction', 'BMI', 'Age', 'Pregnancies', 'BloodPressure', 'SkinThickness', 'Insulin']"
54,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_109,orderMean,"['Glucose', 'BMI', 'Age', 'Pregnancies', 'DiabetesPedigreeFunction', 'SkinThickness', 'BloodPressure', 'Insulin']"
55,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_109,orderStd,"['BMI', 'Glucose', 'Age', 'Pregnancies', 'DiabetesPedigreeFunction', 'BloodPressure', 'SkinThickness', 'Insulin']"
56,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_109,orderSum,"['Glucose', 'BMI', 'Age', 'Pregnancies', 'DiabetesPedigreeFunction', 'SkinThickness', 'BloodPressure', 'Insulin']"
57,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_151,orderMean,"['Glucose', 'BMI', 'Age', 'DiabetesPedigreeFunction', 'BloodPressure', 'Pregnancies', 'SkinThickness', 'Insulin']"
58,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_151,orderStd,"['BMI', 'Glucose', 'Age', 'DiabetesPedigreeFunction', 'BloodPressure', 'Pregnancies', 'SkinThickness', 'Insulin']"
59,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_151,orderSum,"['Glucose', 'BMI', 'Age', 'DiabetesPedigreeFunction', 'BloodPressure', 'Pregnancies', 'SkinThickness', 'Insulin']"
60,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_144,orderMean,"['Glucose', 'BMI', 'SkinThickness', 'BloodPressure', 'DiabetesPedigreeFunction', 'Age', 'Pregnancies', 'Insulin']"
61,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_144,orderStd,"['BMI', 'Glucose', 'Insulin', 'BloodPressure', 'DiabetesPedigreeFunction', 'Age', 'SkinThickness', 'Pregnancies']"
62,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_144,orderSum,"['Glucose', 'BMI', 'SkinThickness', 'BloodPressure', 'DiabetesPedigreeFunction', 'Age', 'Pregnancies', 'Insulin']"
63,rf_shap_list_ir_4,rf_shap_list_ir_4_subset_13,orderMean,"['Glucose', 'Age', 'BMI', 'BloodPressure', 'DiabetesPedigreeFunction', 'Insulin', 'Pregnancies', 'SkinThickness']"
64,rf_shap_list_ir_4,rf_shap_list_ir_4_subset_13,orderStd,"['Glucose', 'Age', 'BMI', 'BloodPressure', 'DiabetesPedigreeFunction', 'Insulin', 'Pregnancies', 'SkinThickness']"
