,imbalanceRatio,Subset,Indicator,Sorted_Features
0,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,orderMean,"['Glucose', 'BMI', 'DiabetesPedigreeFunction', 'Age', 'Pregnancies', 'BloodPressure', 'SkinThickness', 'Insulin']"
1,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,orderStd,"['Glucose', 'BMI', 'DiabetesPedigreeFunction', 'Age', 'Pregnancies', 'SkinThickness', 'BloodPressure', 'Insulin']"
2,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,orderSum,"['Glucose', 'BMI', 'DiabetesPedigreeFunction', 'Age', 'Pregnancies', 'BloodPressure', 'SkinThickness', 'Insulin']"
3,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,orderMean,"['Glucose', 'BMI', 'Age', 'Pregnancies', 'DiabetesPedigreeFunction', 'BloodPressure', 'SkinThickness', 'Insulin']"
4,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,orderStd,"['Glucose', 'BMI', 'Age', 'DiabetesPedigreeFunction', 'Pregnancies', 'BloodPressure', 'SkinThickness', 'Insulin']"
5,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,orderSum,"['Glucose', 'BMI', 'Age', 'Pregnancies', 'DiabetesPedigreeFunction', 'BloodPressure', 'SkinThickness', 'Insulin']"
6,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_143,orderMean,"['Glucose', 'Age', 'SkinThickness', 'DiabetesPedigreeFunction', 'BloodPressure', 'Pregnancies', 'BMI', 'Insulin']"
7,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_143,orderStd,"['Glucose', 'DiabetesPedigreeFunction', 'Age', 'SkinThickness', 'Pregnancies', 'BloodPressure', 'BMI', 'Insulin']"
8,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_143,orderSum,"['Glucose', 'Age', 'SkinThickness', 'DiabetesPedigreeFunction', 'BloodPressure', 'Pregnancies', 'BMI', 'Insulin']"
9,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_50,orderMean,"['Glucose', 'BMI', 'Pregnancies', 'BloodPressure', 'DiabetesPedigreeFunction', 'Age', 'SkinThickness', 'Insulin']"
10,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_50,orderStd,"['Glucose', 'BMI', 'Pregnancies', 'Age', 'BloodPressure', 'DiabetesPedigreeFunction', 'Insulin', 'SkinThickness']"
11,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_50,orderSum,"['Glucose', 'BMI', 'Pregnancies', 'BloodPressure', 'DiabetesPedigreeFunction', 'Age', 'SkinThickness', 'Insulin']"
12,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_65,orderMean,"['Glucose', 'Pregnancies', 'BMI', 'BloodPressure', 'Age', 'DiabetesPedigreeFunction', 'SkinThickness', 'Insulin']"
13,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_65,orderStd,"['BMI', 'Glucose', 'BloodPressure', 'Age', 'Pregnancies', 'DiabetesPedigreeFunction', 'Insulin', 'SkinThickness']"
14,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_65,orderSum,"['Glucose', 'Pregnancies', 'BMI', 'BloodPressure', 'Age', 'DiabetesPedigreeFunction', 'SkinThickness', 'Insulin']"
