,index,shapMean,shapStd,shapSum,subset,imbalance_ratio
0,Pregnancies,0.021862321820578928,0.028151501277090235,11.149784128495241,shap_list_ir_1_subset_100,shap_list_ir_1
1,Glucose,0.13850881970505433,0.07197480857006386,70.63949804957775,shap_list_ir_1_subset_100,shap_list_ir_1
2,BloodPressure,0.055128182569202454,0.05657747240258817,28.11537311029324,shap_list_ir_1_subset_100,shap_list_ir_1
3,SkinThickness,0.030005368792556015,0.029783915353747647,15.302738084203547,shap_list_ir_1_subset_100,shap_list_ir_1
4,Insulin,0.021707558243718093,0.020407178064910856,11.070854704296218,shap_list_ir_1_subset_100,shap_list_ir_1
5,BMI,0.09436548784281207,0.08076015231561802,48.12639879983416,shap_list_ir_1_subset_100,shap_list_ir_1
6,DiabetesPedigreeFunction,0.028691883114510302,0.01823513469474263,14.632860388400255,shap_list_ir_1_subset_100,shap_list_ir_1
7,Age,0.07757566741668113,0.06865502539384184,39.563590382507414,shap_list_ir_1_subset_100,shap_list_ir_1
8,Pregnancies,0.0261248547382558,0.014130060505482564,13.323675916510462,shap_list_ir_1_subset_101,shap_list_ir_1
9,Glucose,0.12843549258762949,0.054739521468704824,65.50210121969108,shap_list_ir_1_subset_101,shap_list_ir_1
10,BloodPressure,0.04194061187616762,0.020522427911097377,21.38971205684549,shap_list_ir_1_subset_101,shap_list_ir_1
11,SkinThickness,0.03276444581062531,0.014285415138228877,16.7098673634189,shap_list_ir_1_subset_101,shap_list_ir_1
12,Insulin,0.05006531085076478,0.020543225018050455,25.533308533890047,shap_list_ir_1_subset_101,shap_list_ir_1
13,BMI,0.08159087314609052,0.05025762573923522,41.6113453045061,shap_list_ir_1_subset_101,shap_list_ir_1
14,DiabetesPedigreeFunction,0.09976030686777218,0.06453919242744664,50.87775650256381,shap_list_ir_1_subset_101,shap_list_ir_1
15,Age,0.027187104470788395,0.013638191798581068,13.865423280102082,shap_list_ir_1_subset_101,shap_list_ir_1
16,Pregnancies,0.034668502877165865,0.021300350710652165,17.680936467354584,shap_list_ir_1_subset_102,shap_list_ir_1
17,Glucose,0.1596593054470437,0.09994608274620125,81.42624577799232,shap_list_ir_1_subset_102,shap_list_ir_1
18,BloodPressure,0.03817048238140382,0.016010889372416525,19.46694601451594,shap_list_ir_1_subset_102,shap_list_ir_1
19,SkinThickness,0.021236561228438325,0.012022819107859968,10.830646226503555,shap_list_ir_1_subset_102,shap_list_ir_1
20,Insulin,0.024060090970395014,0.04085216647078791,12.270646394901446,shap_list_ir_1_subset_102,shap_list_ir_1
21,BMI,0.048123563709354035,0.02743463897099796,24.543017491770556,shap_list_ir_1_subset_102,shap_list_ir_1
22,DiabetesPedigreeFunction,0.04239832851243356,0.02289547626313514,21.623147541341115,shap_list_ir_1_subset_102,shap_list_ir_1
23,Age,0.10955438785038893,0.07395942947698096,55.87273780369837,shap_list_ir_1_subset_102,shap_list_ir_1
24,Pregnancies,0.033411284738364085,0.017811372271400974,17.0397552165657,shap_list_ir_1_subset_103,shap_list_ir_1
25,Glucose,0.0784980672666153,0.08648274911186027,40.03401430597379,shap_list_ir_1_subset_103,shap_list_ir_1
26,BloodPressure,0.03189799225571378,0.03163014142725961,16.267976050414042,shap_list_ir_1_subset_103,shap_list_ir_1
27,SkinThickness,0.018288026804299713,0.02000339272772805,9.326893670192845,shap_list_ir_1_subset_103,shap_list_ir_1
28,Insulin,0.03352144920017382,0.055829610471619676,17.095939092088624,shap_list_ir_1_subset_103,shap_list_ir_1
