,index,shapMean,shapStd,shapSum,subset,imbalance_ratio
0,Pregnancies,0.007133563625395006,0.03048009094508285,3.6381174489514527,mlp_shap_list_ir_1_subset_4,mlp_shap_list_ir_1
1,Glucose,0.06538918723670069,0.7148519909839848,33.34848549071735,mlp_shap_list_ir_1_subset_4,mlp_shap_list_ir_1
2,BloodPressure,0.01992857585028727,0.13271381815182456,10.163573683646508,mlp_shap_list_ir_1_subset_4,mlp_shap_list_ir_1
3,SkinThickness,0.044117357651634055,0.24029102641997907,22.499852402333367,mlp_shap_list_ir_1_subset_4,mlp_shap_list_ir_1
4,Insulin,0.07739724953638573,0.72909615752663,39.47259726355672,mlp_shap_list_ir_1_subset_4,mlp_shap_list_ir_1
5,BMI,0.011401776682577053,0.06428104981732251,5.814906108114297,mlp_shap_list_ir_1_subset_4,mlp_shap_list_ir_1
6,DiabetesPedigreeFunction,0.004362859449485943,0.03268562457229476,2.2250583192378306,mlp_shap_list_ir_1_subset_4,mlp_shap_list_ir_1
7,Age,0.004116921874715894,0.014256749728342021,2.099630156105106,mlp_shap_list_ir_1_subset_4,mlp_shap_list_ir_1
8,Pregnancies,0.07163319853257329,0.43153390647895334,36.532931251612375,mlp_shap_list_ir_2_subset_14,mlp_shap_list_ir_2
9,Glucose,0.10538378621662499,0.5081689124547615,53.745730970478746,mlp_shap_list_ir_2_subset_14,mlp_shap_list_ir_2
10,BloodPressure,0.06832210379215271,0.28703147848897786,34.844272933997885,mlp_shap_list_ir_2_subset_14,mlp_shap_list_ir_2
11,SkinThickness,0.06670474333465816,0.3477396495554533,34.01941910067566,mlp_shap_list_ir_2_subset_14,mlp_shap_list_ir_2
12,Insulin,0.07316194151233103,0.19652747552933814,37.312590171288825,mlp_shap_list_ir_2_subset_14,mlp_shap_list_ir_2
13,BMI,0.07015993582738397,0.24271590802106993,35.78156727196583,mlp_shap_list_ir_2_subset_14,mlp_shap_list_ir_2
14,DiabetesPedigreeFunction,0.00594814808842497,0.04692015941199309,3.0335555250967348,mlp_shap_list_ir_2_subset_14,mlp_shap_list_ir_2
15,Age,0.0870192865769612,0.5249854615622963,44.379836154250214,mlp_shap_list_ir_2_subset_14,mlp_shap_list_ir_2
16,Pregnancies,0.019946734905871934,0.06698957109232977,10.172834801994686,mlp_shap_list_ir_1_subset_147,mlp_shap_list_ir_1
17,Glucose,0.027528461838936123,0.1256581055993992,14.039515537857422,mlp_shap_list_ir_1_subset_147,mlp_shap_list_ir_1
18,BloodPressure,0.011811956574288941,0.04805139009844928,6.02409785288736,mlp_shap_list_ir_1_subset_147,mlp_shap_list_ir_1
19,SkinThickness,0.007702306697348267,0.025349589269526296,3.928176415647616,mlp_shap_list_ir_1_subset_147,mlp_shap_list_ir_1
20,Insulin,0.047243738947394844,0.27088069169737594,24.09430686317137,mlp_shap_list_ir_1_subset_147,mlp_shap_list_ir_1
21,BMI,0.0033639958312880066,0.0147889058129367,1.7156378739568834,mlp_shap_list_ir_1_subset_147,mlp_shap_list_ir_1
22,DiabetesPedigreeFunction,0.0012169313120144467,0.004675389367315746,0.6206349691273678,mlp_shap_list_ir_1_subset_147,mlp_shap_list_ir_1
23,Age,0.03927027895296358,0.18624503904180534,20.027842266011426,mlp_shap_list_ir_1_subset_147,mlp_shap_list_ir_1
24,Pregnancies,0.05791871628445555,0.18016106424561334,29.538545305072333,mlp_shap_list_ir_3_subset_128,mlp_shap_list_ir_3
25,Glucose,0.17254996640135445,0.5120417996106793,88.00048286469077,mlp_shap_list_ir_3_subset_128,mlp_shap_list_ir_3
