,index,shapMean,shapStd,shapSum,subset,imbalance_ratio
0,Pregnancies,0.05454216702864403,0.03149148365370894,27.816505184608452,rf_shap_list_ir_1_subset_35,rf_shap_list_ir_1
1,Glucose,0.07224609027106521,0.05250201399616953,36.84550603824326,rf_shap_list_ir_1_subset_35,rf_shap_list_ir_1
2,BloodPressure,0.043744256451077164,0.024078423012286205,22.309570790049353,rf_shap_list_ir_1_subset_35,rf_shap_list_ir_1
3,SkinThickness,0.05616167599727391,0.03226428159220552,28.642454758609695,rf_shap_list_ir_1_subset_35,rf_shap_list_ir_1
4,Insulin,0.04360186025907619,0.01505471195695371,22.23694873212886,rf_shap_list_ir_1_subset_35,rf_shap_list_ir_1
5,BMI,0.06522044044777034,0.034234946581056504,33.26242462836287,rf_shap_list_ir_1_subset_35,rf_shap_list_ir_1
6,DiabetesPedigreeFunction,0.08100388778505874,0.046877463550964546,41.311982770379956,rf_shap_list_ir_1_subset_35,rf_shap_list_ir_1
7,Age,0.06639731977785109,0.03650210549494607,33.86263308670405,rf_shap_list_ir_1_subset_35,rf_shap_list_ir_1
8,Pregnancies,0.04043975750509226,0.018834160935297585,20.62427632759705,rf_shap_list_ir_3_subset_159,rf_shap_list_ir_3
9,Glucose,0.12604581962167136,0.0877584688095516,64.28336800705239,rf_shap_list_ir_3_subset_159,rf_shap_list_ir_3
10,BloodPressure,0.03556118580577228,0.017746873591661664,18.136204760943862,rf_shap_list_ir_3_subset_159,rf_shap_list_ir_3
11,SkinThickness,0.03750604163763207,0.02222834077538101,19.128081235192354,rf_shap_list_ir_3_subset_159,rf_shap_list_ir_3
12,Insulin,0.031512168330994836,0.022052454151415712,16.071205848807367,rf_shap_list_ir_3_subset_159,rf_shap_list_ir_3
13,BMI,0.0661364076806489,0.05128639897519861,33.72956791713094,rf_shap_list_ir_3_subset_159,rf_shap_list_ir_3
14,DiabetesPedigreeFunction,0.054835238031217835,0.039530714477457825,27.965971395921095,rf_shap_list_ir_3_subset_159,rf_shap_list_ir_3
15,Age,0.07923895595987232,0.04814964821055466,40.41186753953488,rf_shap_list_ir_3_subset_159,rf_shap_list_ir_3
16,Pregnancies,0.030698272769974444,0.016188766789272502,15.656119112686966,rf_shap_list_ir_3_subset_88,rf_shap_list_ir_3
17,Glucose,0.13701902628310061,0.08357894582952653,69.87970340438132,rf_shap_list_ir_3_subset_88,rf_shap_list_ir_3
18,BloodPressure,0.03823476428535538,0.025737381840698983,19.499729785531244,rf_shap_list_ir_3_subset_88,rf_shap_list_ir_3
19,SkinThickness,0.03185691280101182,0.02264219641232355,16.24702552851603,rf_shap_list_ir_3_subset_88,rf_shap_list_ir_3
20,Insulin,0.030206959187029606,0.024564093662774154,15.405549185385098,rf_shap_list_ir_3_subset_88,rf_shap_list_ir_3
21,BMI,0.07901142945551524,0.06935305378080478,40.29582902231277,rf_shap_list_ir_3_subset_88,rf_shap_list_ir_3
22,DiabetesPedigreeFunction,0.05098334094038922,0.03489672695530255,26.001503879598502,rf_shap_list_ir_3_subset_88,rf_shap_list_ir_3
23,Age,0.07998891666830983,0.07234801483858538,40.794347500838015,rf_shap_list_ir_3_subset_88,rf_shap_list_ir_3
24,Pregnancies,0.03642496084702615,0.01811072780588343,18.576730031983338,rf_shap_list_ir_1_subset_94,rf_shap_list_ir_1
25,Glucose,0.11545180676095729,0.07108090279244102,58.880421448088214,rf_shap_list_ir_1_subset_94,rf_shap_list_ir_1
26,BloodPressure,0.03750005680136252,0.02599866284147698,19.125028968694885,rf_shap_list_ir_1_subset_94,rf_shap_list_ir_1
27,SkinThickness,0.045409537127689525,0.021782910625868752,23.15886393512166,rf_shap_list_ir_1_subset_94,rf_shap_list_ir_1
28,Insulin,0.04454136604900386,0.01925335523812589,22.71609668499197,rf_shap_list_ir_1_subset_94,rf_shap_list_ir_1
29,BMI,0.08969917557439418,0.07229677390416223,45.74657954294103,rf_shap_list_ir_1_subset_94,rf_shap_list_ir_1
30,DiabetesPedigreeFunction,0.056281106241523035,0.04448331224899428,28.70336418317675,rf_shap_list_ir_1_subset_94,rf_shap_list_ir_1
