,index,shapMean,shapStd,shapSum,subset,imbalance_ratio
0,Pregnancies,0.36537865,0.2579539,186.34311,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
1,Glucose,1.4469098,1.0160398,737.924,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
2,BloodPressure,0.30397302,0.21516508,155.02625,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
3,SkinThickness,0.28052333,0.23256595,143.0669,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
4,Insulin,0.17374277,0.15908314,88.60881,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
5,BMI,1.0139639,0.78764856,517.1216,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
6,DiabetesPedigreeFunction,0.51877815,0.3662674,264.57684,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
7,Age,0.50201225,0.3638123,256.02625,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
8,Pregnancies,0.4961799,0.29820865,253.05176,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
9,Glucose,1.4375539,0.9563323,733.15247,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
10,BloodPressure,0.20803085,0.20007774,106.09573,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
11,SkinThickness,0.16135256,0.13193394,82.2898,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
12,Insulin,0.16075815,0.100200504,81.98666,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
13,BMI,0.85530007,0.82255423,436.20303,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
14,DiabetesPedigreeFunction,0.4846609,0.31432942,247.17706,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
15,Age,0.6087964,0.35382938,310.48618,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
16,Pregnancies,0.4439399,0.21325228,226.40935,xgb_shap_list_ir_1_subset_143,xgb_shap_list_ir_1
17,Glucose,1.3159039,0.70206976,671.11096,xgb_shap_list_ir_1_subset_143,xgb_shap_list_ir_1
18,BloodPressure,0.46317098,0.13606165,236.2172,xgb_shap_list_ir_1_subset_143,xgb_shap_list_ir_1
19,SkinThickness,0.7468299,0.23743267,380.88327,xgb_shap_list_ir_1_subset_143,xgb_shap_list_ir_1
20,Insulin,0.111359894,0.0987963,56.793545,xgb_shap_list_ir_1_subset_143,xgb_shap_list_ir_1
21,BMI,0.20073104,0.12967494,102.37283,xgb_shap_list_ir_1_subset_143,xgb_shap_list_ir_1
22,DiabetesPedigreeFunction,0.46628517,0.3751372,237.80544,xgb_shap_list_ir_1_subset_143,xgb_shap_list_ir_1
23,Age,0.76272917,0.3087112,388.99188,xgb_shap_list_ir_1_subset_143,xgb_shap_list_ir_1
