,imbalanceRatio,Subset,Indicator,Sorted_Features
0,shap_list_ir_1,shap_list_ir_1_subset_248,orderMean,"['ARTHRITIS', 'CIRRHOSIS', 'OSTEOPOROSIS', 'COPD', 'ISCHEMIC_HEART_DISEASE', 'ASTHMA', 'STROKE', 'CHRONIC_KIDNEY_DISEASE', 'DEPRESSION', 'HEART_FAILURE', 'ARTHROSIS', 'SEX_FEMALE', 'OBESITY', 'DEMENTIA', 'DIABETES', 'HYPERTENSION', 'AGE']"
1,shap_list_ir_1,shap_list_ir_1_subset_248,orderStd,"['SEX_FEMALE', 'COPD', 'STROKE', 'ARTHRITIS', 'ISCHEMIC_HEART_DISEASE', 'OSTEOPOROSIS', 'CHRONIC_KIDNEY_DISEASE', 'DEPRESSION', 'HEART_FAILURE', 'ARTHROSIS', 'OBESITY', 'DEMENTIA', 'ASTHMA', 'HYPERTENSION', 'CIRRHOSIS', 'DIABETES', 'AGE']"
2,shap_list_ir_1,shap_list_ir_1_subset_248,orderSum,"['AGE', 'HYPERTENSION', 'DIABETES', 'DEMENTIA', 'OBESITY', 'SEX_FEMALE', 'ARTHROSIS', 'HEART_FAILURE', 'DEPRESSION', 'CHRONIC_KIDNEY_DISEASE', 'STROKE', 'ASTHMA', 'ISCHEMIC_HEART_DISEASE', 'COPD', 'OSTEOPOROSIS', 'CIRRHOSIS', 'ARTHRITIS']"
3,shap_list_ir_1,shap_list_ir_1_subset_249,orderMean,"['ARTHRITIS', 'ASTHMA', 'OSTEOPOROSIS', 'DEPRESSION', 'OBESITY', 'STROKE', 'ISCHEMIC_HEART_DISEASE', 'CIRRHOSIS', 'COPD', 'CHRONIC_KIDNEY_DISEASE', 'HEART_FAILURE', 'DEMENTIA', 'SEX_FEMALE', 'ARTHROSIS', 'DIABETES', 'HYPERTENSION', 'AGE']"
4,shap_list_ir_1,shap_list_ir_1_subset_249,orderStd,"['ARTHRITIS', 'OSTEOPOROSIS', 'OBESITY', 'SEX_FEMALE', 'DEPRESSION', 'DEMENTIA', 'STROKE', 'ISCHEMIC_HEART_DISEASE', 'HEART_FAILURE', 'CHRONIC_KIDNEY_DISEASE', 'COPD', 'ASTHMA', 'CIRRHOSIS', 'ARTHROSIS', 'HYPERTENSION', 'DIABETES', 'AGE']"
5,shap_list_ir_1,shap_list_ir_1_subset_249,orderSum,"['AGE', 'HYPERTENSION', 'DIABETES', 'ARTHROSIS', 'SEX_FEMALE', 'DEMENTIA', 'HEART_FAILURE', 'CHRONIC_KIDNEY_DISEASE', 'COPD', 'CIRRHOSIS', 'ISCHEMIC_HEART_DISEASE', 'STROKE', 'OBESITY', 'DEPRESSION', 'OSTEOPOROSIS', 'ASTHMA', 'ARTHRITIS']"
6,shap_list_ir_1,shap_list_ir_1_subset_250,orderMean,"['CIRRHOSIS', 'DEPRESSION', 'ARTHRITIS', 'ISCHEMIC_HEART_DISEASE', 'COPD', 'OBESITY', 'OSTEOPOROSIS', 'STROKE', 'HEART_FAILURE', 'ASTHMA', 'ARTHROSIS', 'CHRONIC_KIDNEY_DISEASE', 'DEMENTIA', 'SEX_FEMALE', 'DIABETES', 'HYPERTENSION', 'AGE']"
7,shap_list_ir_1,shap_list_ir_1_subset_250,orderStd,"['ISCHEMIC_HEART_DISEASE', 'OBESITY', 'DEPRESSION', 'COPD', 'STROKE', 'OSTEOPOROSIS', 'HEART_FAILURE', 'ARTHRITIS', 'CIRRHOSIS', 'CHRONIC_KIDNEY_DISEASE', 'DEMENTIA', 'ARTHROSIS', 'SEX_FEMALE', 'HYPERTENSION', 'ASTHMA', 'DIABETES', 'AGE']"
8,shap_list_ir_1,shap_list_ir_1_subset_250,orderSum,"['AGE', 'HYPERTENSION', 'DIABETES', 'SEX_FEMALE', 'DEMENTIA', 'CHRONIC_KIDNEY_DISEASE', 'ARTHROSIS', 'ASTHMA', 'HEART_FAILURE', 'STROKE', 'OSTEOPOROSIS', 'OBESITY', 'COPD', 'ISCHEMIC_HEART_DISEASE', 'ARTHRITIS', 'DEPRESSION', 'CIRRHOSIS']"
9,shap_list_ir_1,shap_list_ir_1_subset_251,orderMean,"['ARTHRITIS', 'OSTEOPOROSIS', 'DEPRESSION', 'OBESITY', 'CIRRHOSIS', 'ASTHMA', 'COPD', 'HEART_FAILURE', 'ISCHEMIC_HEART_DISEASE', 'ARTHROSIS', 'STROKE', 'SEX_FEMALE', 'CHRONIC_KIDNEY_DISEASE', 'DEMENTIA', 'DIABETES', 'HYPERTENSION', 'AGE']"
10,shap_list_ir_1,shap_list_ir_1_subset_251,orderStd,"['OBESITY', 'ARTHRITIS', 'OSTEOPOROSIS', 'HEART_FAILURE', 'SEX_FEMALE', 'DEPRESSION', 'COPD', 'ISCHEMIC_HEART_DISEASE', 'ARTHROSIS', 'STROKE', 'DEMENTIA', 'ASTHMA', 'HYPERTENSION', 'CHRONIC_KIDNEY_DISEASE', 'CIRRHOSIS', 'DIABETES', 'AGE']"
11,shap_list_ir_1,shap_list_ir_1_subset_251,orderSum,"['AGE', 'HYPERTENSION', 'DIABETES', 'DEMENTIA', 'CHRONIC_KIDNEY_DISEASE', 'SEX_FEMALE', 'STROKE', 'ARTHROSIS', 'ISCHEMIC_HEART_DISEASE', 'HEART_FAILURE', 'COPD', 'ASTHMA', 'CIRRHOSIS', 'OBESITY', 'DEPRESSION', 'OSTEOPOROSIS', 'ARTHRITIS']"
12,shap_list_ir_1,shap_list_ir_1_subset_252,orderMean,"['ARTHRITIS', 'OSTEOPOROSIS', 'COPD', 'OBESITY', 'CIRRHOSIS', 'ASTHMA', 'DEPRESSION', 'ISCHEMIC_HEART_DISEASE', 'SEX_FEMALE', 'DEMENTIA', 'STROKE', 'CHRONIC_KIDNEY_DISEASE', 'ARTHROSIS', 'HEART_FAILURE', 'DIABETES', 'HYPERTENSION', 'AGE']"
13,shap_list_ir_1,shap_list_ir_1_subset_252,orderStd,"['COPD', 'ARTHRITIS', 'OSTEOPOROSIS', 'OBESITY', 'SEX_FEMALE', 'DEPRESSION', 'CIRRHOSIS', 'ISCHEMIC_HEART_DISEASE', 'DEMENTIA', 'ASTHMA', 'STROKE', 'CHRONIC_KIDNEY_DISEASE', 'HEART_FAILURE', 'ARTHROSIS', 'HYPERTENSION', 'DIABETES', 'AGE']"
14,shap_list_ir_1,shap_list_ir_1_subset_252,orderSum,"['AGE', 'HYPERTENSION', 'DIABETES', 'HEART_FAILURE', 'ARTHROSIS', 'CHRONIC_KIDNEY_DISEASE', 'STROKE', 'DEMENTIA', 'SEX_FEMALE', 'ISCHEMIC_HEART_DISEASE', 'DEPRESSION', 'ASTHMA', 'CIRRHOSIS', 'OBESITY', 'COPD', 'OSTEOPOROSIS', 'ARTHRITIS']"
15,shap_list_ir_1,shap_list_ir_1_subset_253,orderMean,"['ARTHRITIS', 'COPD', 'CIRRHOSIS', 'OSTEOPOROSIS', 'ISCHEMIC_HEART_DISEASE', 'SEX_FEMALE', 'ASTHMA', 'STROKE', 'DEPRESSION', 'DEMENTIA', 'OBESITY', 'HEART_FAILURE', 'CHRONIC_KIDNEY_DISEASE', 'ARTHROSIS', 'DIABETES', 'HYPERTENSION', 'AGE']"
16,shap_list_ir_1,shap_list_ir_1_subset_253,orderStd,"['ARTHRITIS', 'COPD', 'OSTEOPOROSIS', 'CIRRHOSIS', 'SEX_FEMALE', 'ISCHEMIC_HEART_DISEASE', 'DEMENTIA', 'DEPRESSION', 'OBESITY', 'HEART_FAILURE', 'STROKE', 'CHRONIC_KIDNEY_DISEASE', 'HYPERTENSION', 'ASTHMA', 'ARTHROSIS', 'DIABETES', 'AGE']"
17,shap_list_ir_1,shap_list_ir_1_subset_253,orderSum,"['AGE', 'HYPERTENSION', 'DIABETES', 'ARTHROSIS', 'CHRONIC_KIDNEY_DISEASE', 'HEART_FAILURE', 'OBESITY', 'DEMENTIA', 'DEPRESSION', 'STROKE', 'ASTHMA', 'SEX_FEMALE', 'ISCHEMIC_HEART_DISEASE', 'OSTEOPOROSIS', 'CIRRHOSIS', 'COPD', 'ARTHRITIS']"
18,shap_list_ir_1,shap_list_ir_1_subset_254,orderMean,"['ARTHRITIS', 'OSTEOPOROSIS', 'CIRRHOSIS', 'ISCHEMIC_HEART_DISEASE', 'DEPRESSION', 'OBESITY', 'COPD', 'STROKE', 'ASTHMA', 'ARTHROSIS', 'CHRONIC_KIDNEY_DISEASE', 'HEART_FAILURE', 'DEMENTIA', 'SEX_FEMALE', 'DIABETES', 'HYPERTENSION', 'AGE']"
19,shap_list_ir_1,shap_list_ir_1_subset_254,orderStd,"['OSTEOPOROSIS', 'OBESITY', 'ISCHEMIC_HEART_DISEASE', 'DEPRESSION', 'ARTHRITIS', 'STROKE', 'CIRRHOSIS', 'COPD', 'ARTHROSIS', 'CHRONIC_KIDNEY_DISEASE', 'HEART_FAILURE', 'DEMENTIA', 'SEX_FEMALE', 'HYPERTENSION', 'ASTHMA', 'DIABETES', 'AGE']"
20,shap_list_ir_1,shap_list_ir_1_subset_254,orderSum,"['AGE', 'HYPERTENSION', 'DIABETES', 'SEX_FEMALE', 'DEMENTIA', 'HEART_FAILURE', 'CHRONIC_KIDNEY_DISEASE', 'ARTHROSIS', 'ASTHMA', 'STROKE', 'COPD', 'OBESITY', 'DEPRESSION', 'ISCHEMIC_HEART_DISEASE', 'CIRRHOSIS', 'OSTEOPOROSIS', 'ARTHRITIS']"
21,shap_list_ir_1,shap_list_ir_1_subset_255,orderMean,"['ARTHRITIS', 'ISCHEMIC_HEART_DISEASE', 'CIRRHOSIS', 'COPD', 'ASTHMA', 'STROKE', 'OSTEOPOROSIS', 'DEPRESSION', 'HEART_FAILURE', 'ARTHROSIS', 'OBESITY', 'DEMENTIA', 'SEX_FEMALE', 'CHRONIC_KIDNEY_DISEASE', 'DIABETES', 'HYPERTENSION', 'AGE']"
22,shap_list_ir_1,shap_list_ir_1_subset_255,orderStd,"['COPD', 'ISCHEMIC_HEART_DISEASE', 'ARTHRITIS', 'OBESITY', 'STROKE', 'DEPRESSION', 'CIRRHOSIS', 'HEART_FAILURE', 'DEMENTIA', 'SEX_FEMALE', 'ARTHROSIS', 'OSTEOPOROSIS', 'CHRONIC_KIDNEY_DISEASE', 'ASTHMA', 'HYPERTENSION', 'DIABETES', 'AGE']"
23,shap_list_ir_1,shap_list_ir_1_subset_255,orderSum,"['AGE', 'HYPERTENSION', 'DIABETES', 'CHRONIC_KIDNEY_DISEASE', 'SEX_FEMALE', 'DEMENTIA', 'OBESITY', 'ARTHROSIS', 'HEART_FAILURE', 'DEPRESSION', 'OSTEOPOROSIS', 'STROKE', 'ASTHMA', 'COPD', 'CIRRHOSIS', 'ISCHEMIC_HEART_DISEASE', 'ARTHRITIS']"
24,shap_list_ir_1,shap_list_ir_1_subset_256,orderMean,"['CIRRHOSIS', 'ARTHRITIS', 'COPD', 'OSTEOPOROSIS', 'ASTHMA', 'ARTHROSIS', 'DEPRESSION', 'ISCHEMIC_HEART_DISEASE', 'STROKE', 'OBESITY', 'HEART_FAILURE', 'DEMENTIA', 'CHRONIC_KIDNEY_DISEASE', 'SEX_FEMALE', 'DIABETES', 'HYPERTENSION', 'AGE']"
