,1,2,3,4,5
Elevation,1,2,3,3,3
Aspect,1,2,3,4,5
Slope,1,2,3,4,5
Horizontal_Distance_To_Hydrology,1,2,3,5,4
Vertical_Distance_To_Hydrology,1,2,3,5,4
Horizontal_Distance_To_Roadways,1,2,3,3,3
Hillshade_9am,1,2,3,4,5
Hillshade_Noon,1,2,3,4,5
Hillshade_3pm,1,2,3,4,5
Horizontal_Distance_To_Fire_Points,1,2,3,3,3
Wilderness_Area3,1,2,3,4,5
Wilderness_Area4,1,2,3,4,5
Soil_Type1,3,1,2,2,1
Soil_Type2,1,1,2,3,3
Soil_Type3,4,5,3,2,1
Soil_Type4,1,2,5,4,3
Soil_Type5,1,1,1,1,1
Soil_Type6,4,2,3,1,2
Soil_Type10,4,3,2,2,1
Soil_Type11,1,2,3,3,3
Soil_Type13,1,3,2,2,4
Soil_Type14,4,4,3,2,1
Soil_Type16,1,2,1,1,1
Soil_Type17,4,4,3,2,1
Soil_Type32,1,1,1,1,2
