,1,2,3,4,5
Elevation,5,4,3,2,1
Aspect,5,4,3,2,1
Slope,5,4,3,2,1
Horizontal_Distance_To_Hydrology,5,4,3,2,1
Vertical_Distance_To_Hydrology,5,4,3,2,1
Horizontal_Distance_To_Roadways,5,4,3,2,1
Hillshade_9am,5,4,3,2,1
Hillshade_Noon,5,4,3,2,1
Hillshade_3pm,5,4,3,2,1
Horizontal_Distance_To_Fire_Points,5,4,3,2,1
Wilderness_Area3,5,4,3,2,1
Wilderness_Area4,5,4,3,2,1
Soil_Type1,5,4,3,2,1
Soil_Type2,5,4,3,2,1
Soil_Type3,5,4,3,2,1
Soil_Type4,5,4,3,2,1
Soil_Type5,5,4,3,2,1
Soil_Type6,5,4,3,2,1
Soil_Type10,5,4,3,2,1
Soil_Type11,5,4,3,2,1
Soil_Type13,3,2,1,1,1
Soil_Type14,5,4,3,2,1
Soil_Type16,5,4,3,2,1
Soil_Type17,5,4,3,2,1
Soil_Type32,2,3,2,1,1
