,1,2,3,4,5
Elevation,3,4,5,1,2
Aspect,5,4,3,2,1
Slope,5,4,3,2,1
Horizontal_Distance_To_Hydrology,3,5,4,2,1
Vertical_Distance_To_Hydrology,3,5,4,1,2
Horizontal_Distance_To_Roadways,2,5,4,1,3
Hillshade_9am,3,5,4,2,1
Hillshade_Noon,1,5,4,3,2
Hillshade_3pm,4,5,3,2,1
Horizontal_Distance_To_Fire_Points,4,5,3,1,2
Wilderness_Area3,5,4,3,2,1
Wilderness_Area4,5,4,3,2,1
Soil_Type1,4,5,3,2,1
Soil_Type2,5,4,3,2,1
Soil_Type3,1,5,4,3,2
Soil_Type4,5,3,4,2,1
Soil_Type5,4,5,3,2,1
Soil_Type6,3,5,4,2,1
Soil_Type10,2,5,4,3,1
Soil_Type11,2,5,4,3,1
Soil_Type13,3,2,1,1,1
Soil_Type14,5,4,3,1,2
Soil_Type16,5,4,3,1,2
Soil_Type17,4,5,3,2,1
Soil_Type32,1,1,1,1,1
