,1,2,3,4,5
Elevation,5,4,3,2,1
Aspect,1,2,3,4,4
Slope,2,1,3,1,4
Horizontal_Distance_To_Hydrology,5,4,3,2,1
Vertical_Distance_To_Hydrology,5,4,3,2,1
Horizontal_Distance_To_Roadways,2,1,1,1,1
Hillshade_9am,4,3,2,1,1
Hillshade_Noon,1,2,2,3,4
Hillshade_3pm,1,1,2,3,3
Horizontal_Distance_To_Fire_Points,2,1,1,1,1
Wilderness_Area3,5,4,3,2,1
Wilderness_Area4,5,4,3,2,1
Soil_Type1,4,3,2,1,1
Soil_Type2,1,2,3,3,3
Soil_Type3,5,4,3,1,2
Soil_Type4,1,2,3,3,3
Soil_Type5,1,1,1,1,1
Soil_Type6,2,3,1,1,1
Soil_Type10,5,4,3,2,1
Soil_Type11,1,2,4,3,3
Soil_Type13,3,2,1,1,1
Soil_Type14,2,1,1,1,1
Soil_Type16,1,1,1,1,1
Soil_Type17,5,4,3,2,1
Soil_Type32,3,4,1,2,2
