,1,2,3,4,5
Elevation,4,5,3,2,1
Aspect,3,1,2,3,4
Slope,1,3,4,2,1
Horizontal_Distance_To_Hydrology,2,1,1,1,1
Vertical_Distance_To_Hydrology,5,4,3,2,1
Horizontal_Distance_To_Roadways,4,3,2,1,1
Hillshade_9am,5,4,3,2,1
Hillshade_Noon,3,2,1,1,1
Hillshade_3pm,1,2,3,4,5
Horizontal_Distance_To_Fire_Points,1,2,3,4,5
Wilderness_Area3,2,1,1,1,1
Wilderness_Area4,1,2,3,4,5
Soil_Type1,1,1,1,2,1
Soil_Type2,4,3,2,1,1
Soil_Type3,1,2,2,2,2
Soil_Type4,1,2,5,4,3
Soil_Type5,4,3,2,1,1
Soil_Type6,2,2,3,1,1
Soil_Type10,1,3,2,2,2
Soil_Type11,1,5,3,4,2
Soil_Type13,1,2,3,4,5
Soil_Type14,1,2,4,3,5
Soil_Type16,3,2,1,1,1
Soil_Type17,1,1,1,1,2
Soil_Type32,1,2,3,4,5
