,imbalanceRatio,Subset,feature,Indicator,freq1,freq2,freq3
0,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,Elevation,localMax_Elevation,-0.4533676,1.842281,2.071846
1,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,Aspect,localMax_Aspect,-0.021367565,0.0340333,0.08943415
2,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,Slope,localMax_Slope,0.026153862,-0.0049691796,-0.03609222
3,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,Horizontal_Distance_To_Hydrology,localMax_Horizontal_Distance_To_Hydrology,0.4895892,0.17861998,0.80055845
4,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,Vertical_Distance_To_Hydrology,localMax_Vertical_Distance_To_Hydrology,0.0772782,0.16771072,0.25814325
5,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,Horizontal_Distance_To_Roadways,localMax_Horizontal_Distance_To_Roadways,-0.010086507,-0.1384708,0.118297756
6,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,Hillshade_9am,localMax_Hillshade_9am,-0.21405536,0.39810807,-0.41810983
7,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,Hillshade_Noon,localMax_Hillshade_Noon,-0.008251667,0.117833436,-0.13433674
8,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,Hillshade_3pm,localMax_Hillshade_3pm,0.008072138,0.039087832,-0.022943564
9,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,Horizontal_Distance_To_Fire_Points,localMax_Horizontal_Distance_To_Fire_Points,0.05027598,0.20593482,-0.10538286
10,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,Wilderness_Area3,localMax_Wilderness_Area3,-0.076031126,0.15998034,0.98602045
11,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,Wilderness_Area4,localMax_Wilderness_Area4,0.025000006,0.475,0.37500003
12,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,Soil_Type1,localMax_Soil_Type1,-0.011568189,0.007809341,0.02718687
13,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,Soil_Type2,localMax_Soil_Type2,0.0072873235,0.038236067,0.13108228
14,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,Soil_Type3,localMax_Soil_Type3,0.1871478,0.3267432,0.047552407
15,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,Soil_Type4,localMax_Soil_Type4,-0.0066787302,0.014016479,0.03471169
16,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,Soil_Type5,localMax_Soil_Type5,-0.020840704,-0.1791696,0.05832368
17,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,Soil_Type6,localMax_Soil_Type6,-0.011112601,0.091405064,-0.113630265
18,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,Soil_Type10,localMax_Soil_Type10,-0.039486676,0.090834916,0.025674134
19,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,Soil_Type11,localMax_Soil_Type11,0.0012680748,-0.0012680748,0.0038042236
20,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,Soil_Type13,localMax_Soil_Type13,0.025000006,0.475,0.37500003
21,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,Soil_Type14,localMax_Soil_Type14,-0.0003756634,0.0007501389,0.0018759416
22,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,Soil_Type16,localMax_Soil_Type16,-0.0050312243,0.007063564,0.019158348
23,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,Soil_Type17,localMax_Soil_Type17,0.03396547,-0.1054908,0.17342174
24,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,Soil_Type32,localMax_Soil_Type32,0.025000006,0.475,0.37500003
25,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,Elevation,localMax_Elevation,-0.35078532,-0.62368023,2.6510587
26,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,Aspect,localMax_Aspect,-0.0663982,0.025099814,0.20809585
27,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,Slope,localMax_Slope,0.0060694814,0.050569877,-0.038430914
28,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,Horizontal_Distance_To_Hydrology,localMax_Horizontal_Distance_To_Hydrology,0.47843146,0.15381932,0.8030436
29,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,Vertical_Distance_To_Hydrology,localMax_Vertical_Distance_To_Hydrology,0.11899498,0.057112396,0.18087757
30,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,Horizontal_Distance_To_Roadways,localMax_Horizontal_Distance_To_Roadways,-0.15437892,-0.31781682,0.33593464
31,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,Hillshade_9am,localMax_Hillshade_9am,-0.18859863,-0.37598297,-0.56336725
32,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,Hillshade_Noon,localMax_Hillshade_Noon,0.005906403,0.13731474,-0.12550187
33,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,Hillshade_3pm,localMax_Hillshade_3pm,0.03783053,-0.031967774,0.10762882
34,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,Horizontal_Distance_To_Fire_Points,localMax_Horizontal_Distance_To_Fire_Points,0.05948299,0.26540428,-0.35235947
35,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,Wilderness_Area3,localMax_Wilderness_Area3,-0.044287473,0.503965,0.58228683
36,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,Wilderness_Area4,localMax_Wilderness_Area4,0.025000006,0.475,0.37500003
