,imbalanceRatio,Subset,Indicator,Sorted_Features
0,shap_list_ir_1,shap_list_ir_1_subset_100,orderMean,"['Horizontal_Distance_To_Hydrology', 'Wilderness_Area3', 'Elevation', 'Hillshade_9am', 'Vertical_Distance_To_Hydrology', 'Wilderness_Area4', 'Soil_Type3', 'Hillshade_3pm', 'Aspect', 'Horizontal_Distance_To_Roadways', 'Soil_Type10', 'Slope', 'Hillshade_Noon', 'Soil_Type17', 'Horizontal_Distance_To_Fire_Points', 'Soil_Type6', 'Soil_Type4', 'Soil_Type1', 'Soil_Type2', 'Soil_Type5', 'Soil_Type11', 'Soil_Type14', 'Soil_Type16', 'Soil_Type32', 'Soil_Type13']"
1,shap_list_ir_1,shap_list_ir_1_subset_100,orderStd,"['Wilderness_Area3', 'Hillshade_9am', 'Elevation', 'Wilderness_Area4', 'Horizontal_Distance_To_Hydrology', 'Hillshade_3pm', 'Soil_Type3', 'Vertical_Distance_To_Hydrology', 'Horizontal_Distance_To_Roadways', 'Aspect', 'Hillshade_Noon', 'Soil_Type10', 'Slope', 'Soil_Type17', 'Soil_Type1', 'Horizontal_Distance_To_Fire_Points', 'Soil_Type6', 'Soil_Type2', 'Soil_Type4', 'Soil_Type11', 'Soil_Type5', 'Soil_Type16', 'Soil_Type14', 'Soil_Type32', 'Soil_Type13']"
2,shap_list_ir_1,shap_list_ir_1_subset_100,orderSum,"['Horizontal_Distance_To_Hydrology', 'Wilderness_Area3', 'Elevation', 'Hillshade_9am', 'Vertical_Distance_To_Hydrology', 'Wilderness_Area4', 'Soil_Type3', 'Hillshade_3pm', 'Aspect', 'Horizontal_Distance_To_Roadways', 'Soil_Type10', 'Slope', 'Hillshade_Noon', 'Soil_Type17', 'Horizontal_Distance_To_Fire_Points', 'Soil_Type6', 'Soil_Type4', 'Soil_Type1', 'Soil_Type2', 'Soil_Type5', 'Soil_Type11', 'Soil_Type14', 'Soil_Type16', 'Soil_Type32', 'Soil_Type13']"
3,shap_list_ir_1,shap_list_ir_1_subset_101,orderMean,"['Elevation', 'Wilderness_Area3', 'Horizontal_Distance_To_Hydrology', 'Hillshade_9am', 'Wilderness_Area4', 'Soil_Type10', 'Vertical_Distance_To_Hydrology', 'Soil_Type3', 'Hillshade_3pm', 'Aspect', 'Horizontal_Distance_To_Roadways', 'Hillshade_Noon', 'Horizontal_Distance_To_Fire_Points', 'Slope', 'Soil_Type17', 'Soil_Type4', 'Soil_Type2', 'Soil_Type6', 'Soil_Type5', 'Soil_Type1', 'Soil_Type14', 'Soil_Type11', 'Soil_Type16', 'Soil_Type32', 'Soil_Type13']"
4,shap_list_ir_1,shap_list_ir_1_subset_101,orderStd,"['Elevation', 'Wilderness_Area3', 'Hillshade_9am', 'Wilderness_Area4', 'Soil_Type10', 'Horizontal_Distance_To_Hydrology', 'Hillshade_3pm', 'Vertical_Distance_To_Hydrology', 'Hillshade_Noon', 'Horizontal_Distance_To_Roadways', 'Aspect', 'Soil_Type3', 'Horizontal_Distance_To_Fire_Points', 'Slope', 'Soil_Type17', 'Soil_Type4', 'Soil_Type2', 'Soil_Type1', 'Soil_Type5', 'Soil_Type6', 'Soil_Type11', 'Soil_Type14', 'Soil_Type16', 'Soil_Type32', 'Soil_Type13']"
5,shap_list_ir_1,shap_list_ir_1_subset_101,orderSum,"['Elevation', 'Wilderness_Area3', 'Horizontal_Distance_To_Hydrology', 'Hillshade_9am', 'Wilderness_Area4', 'Soil_Type10', 'Vertical_Distance_To_Hydrology', 'Soil_Type3', 'Hillshade_3pm', 'Aspect', 'Horizontal_Distance_To_Roadways', 'Hillshade_Noon', 'Horizontal_Distance_To_Fire_Points', 'Slope', 'Soil_Type17', 'Soil_Type4', 'Soil_Type2', 'Soil_Type6', 'Soil_Type5', 'Soil_Type1', 'Soil_Type14', 'Soil_Type11', 'Soil_Type16', 'Soil_Type32', 'Soil_Type13']"
6,shap_list_ir_1,shap_list_ir_1_subset_102,orderMean,"['Elevation', 'Wilderness_Area3', 'Wilderness_Area4', 'Horizontal_Distance_To_Hydrology', 'Hillshade_9am', 'Soil_Type3', 'Soil_Type10', 'Vertical_Distance_To_Hydrology', 'Hillshade_3pm', 'Horizontal_Distance_To_Roadways', 'Aspect', 'Slope', 'Hillshade_Noon', 'Horizontal_Distance_To_Fire_Points', 'Soil_Type1', 'Soil_Type6', 'Soil_Type4', 'Soil_Type17', 'Soil_Type5', 'Soil_Type14', 'Soil_Type2', 'Soil_Type11', 'Soil_Type16', 'Soil_Type32', 'Soil_Type13']"
7,shap_list_ir_1,shap_list_ir_1_subset_102,orderStd,"['Elevation', 'Wilderness_Area3', 'Hillshade_9am', 'Wilderness_Area4', 'Soil_Type10', 'Hillshade_3pm', 'Horizontal_Distance_To_Hydrology', 'Horizontal_Distance_To_Roadways', 'Soil_Type3', 'Aspect', 'Vertical_Distance_To_Hydrology', 'Hillshade_Noon', 'Slope', 'Horizontal_Distance_To_Fire_Points', 'Soil_Type1', 'Soil_Type5', 'Soil_Type17', 'Soil_Type6', 'Soil_Type4', 'Soil_Type14', 'Soil_Type2', 'Soil_Type11', 'Soil_Type16', 'Soil_Type32', 'Soil_Type13']"
8,shap_list_ir_1,shap_list_ir_1_subset_102,orderSum,"['Elevation', 'Wilderness_Area3', 'Wilderness_Area4', 'Horizontal_Distance_To_Hydrology', 'Hillshade_9am', 'Soil_Type3', 'Soil_Type10', 'Vertical_Distance_To_Hydrology', 'Hillshade_3pm', 'Horizontal_Distance_To_Roadways', 'Aspect', 'Slope', 'Hillshade_Noon', 'Horizontal_Distance_To_Fire_Points', 'Soil_Type1', 'Soil_Type6', 'Soil_Type4', 'Soil_Type17', 'Soil_Type5', 'Soil_Type14', 'Soil_Type2', 'Soil_Type11', 'Soil_Type16', 'Soil_Type32', 'Soil_Type13']"
9,shap_list_ir_1,shap_list_ir_1_subset_103,orderMean,"['Horizontal_Distance_To_Hydrology', 'Wilderness_Area3', 'Elevation', 'Hillshade_9am', 'Wilderness_Area4', 'Vertical_Distance_To_Hydrology', 'Soil_Type3', 'Soil_Type10', 'Hillshade_3pm', 'Horizontal_Distance_To_Roadways', 'Aspect', 'Hillshade_Noon', 'Horizontal_Distance_To_Fire_Points', 'Slope', 'Soil_Type4', 'Soil_Type6', 'Soil_Type1', 'Soil_Type17', 'Soil_Type2', 'Soil_Type5', 'Soil_Type14', 'Soil_Type11', 'Soil_Type16', 'Soil_Type32', 'Soil_Type13']"
