,imbalanceRatio,Subset,Indicator,Sorted_Features
0,lr_shap_list_ir_5,lr_shap_list_ir_5_subset_19,orderMean,"['Wilderness_Area4', 'Wilderness_Area3', 'Hillshade_3pm', 'Hillshade_Noon', 'Elevation', 'Horizontal_Distance_To_Roadways', 'Horizontal_Distance_To_Hydrology', 'Horizontal_Distance_To_Fire_Points', 'Slope', 'Soil_Type10', 'Soil_Type2', 'Soil_Type4', 'Soil_Type6', 'Soil_Type1', 'Soil_Type17', 'Soil_Type3', 'Vertical_Distance_To_Hydrology', 'Hillshade_9am', 'Soil_Type14', 'Soil_Type5', 'Aspect', 'Soil_Type11', 'Soil_Type16', 'Soil_Type32', 'Soil_Type13']"
1,lr_shap_list_ir_5,lr_shap_list_ir_5_subset_19,orderStd,"['Hillshade_3pm', 'Hillshade_Noon', 'Wilderness_Area4', 'Wilderness_Area3', 'Horizontal_Distance_To_Roadways', 'Elevation', 'Horizontal_Distance_To_Hydrology', 'Horizontal_Distance_To_Fire_Points', 'Soil_Type1', 'Soil_Type2', 'Slope', 'Soil_Type10', 'Soil_Type14', 'Soil_Type17', 'Soil_Type3', 'Soil_Type6', 'Soil_Type5', 'Soil_Type11', 'Soil_Type4', 'Soil_Type16', 'Vertical_Distance_To_Hydrology', 'Hillshade_9am', 'Aspect', 'Soil_Type32', 'Soil_Type13']"
2,lr_shap_list_ir_5,lr_shap_list_ir_5_subset_19,orderSum,"['Wilderness_Area4', 'Wilderness_Area3', 'Hillshade_3pm', 'Hillshade_Noon', 'Elevation', 'Horizontal_Distance_To_Roadways', 'Horizontal_Distance_To_Hydrology', 'Horizontal_Distance_To_Fire_Points', 'Slope', 'Soil_Type10', 'Soil_Type2', 'Soil_Type4', 'Soil_Type6', 'Soil_Type1', 'Soil_Type17', 'Soil_Type3', 'Vertical_Distance_To_Hydrology', 'Hillshade_9am', 'Soil_Type14', 'Soil_Type5', 'Aspect', 'Soil_Type11', 'Soil_Type16', 'Soil_Type32', 'Soil_Type13']"
3,lr_shap_list_ir_3,lr_shap_list_ir_3_subset_39,orderMean,"['Wilderness_Area4', 'Wilderness_Area3', 'Hillshade_3pm', 'Hillshade_Noon', 'Horizontal_Distance_To_Roadways', 'Hillshade_9am', 'Elevation', 'Slope', 'Horizontal_Distance_To_Hydrology', 'Horizontal_Distance_To_Fire_Points', 'Soil_Type10', 'Aspect', 'Soil_Type3', 'Soil_Type2', 'Soil_Type6', 'Soil_Type1', 'Soil_Type4', 'Soil_Type17', 'Vertical_Distance_To_Hydrology', 'Soil_Type14', 'Soil_Type11', 'Soil_Type5', 'Soil_Type16', 'Soil_Type32', 'Soil_Type13']"
4,lr_shap_list_ir_3,lr_shap_list_ir_3_subset_39,orderStd,"['Hillshade_3pm', 'Hillshade_Noon', 'Horizontal_Distance_To_Roadways', 'Wilderness_Area4', 'Hillshade_9am', 'Elevation', 'Wilderness_Area3', 'Horizontal_Distance_To_Hydrology', 'Horizontal_Distance_To_Fire_Points', 'Slope', 'Soil_Type1', 'Soil_Type3', 'Soil_Type17', 'Soil_Type14', 'Soil_Type6', 'Soil_Type2', 'Soil_Type10', 'Aspect', 'Soil_Type5', 'Soil_Type11', 'Soil_Type16', 'Soil_Type4', 'Vertical_Distance_To_Hydrology', 'Soil_Type32', 'Soil_Type13']"
5,lr_shap_list_ir_3,lr_shap_list_ir_3_subset_39,orderSum,"['Wilderness_Area4', 'Wilderness_Area3', 'Hillshade_3pm', 'Hillshade_Noon', 'Horizontal_Distance_To_Roadways', 'Hillshade_9am', 'Elevation', 'Slope', 'Horizontal_Distance_To_Hydrology', 'Horizontal_Distance_To_Fire_Points', 'Soil_Type10', 'Aspect', 'Soil_Type3', 'Soil_Type2', 'Soil_Type6', 'Soil_Type1', 'Soil_Type4', 'Soil_Type17', 'Vertical_Distance_To_Hydrology', 'Soil_Type14', 'Soil_Type11', 'Soil_Type5', 'Soil_Type16', 'Soil_Type32', 'Soil_Type13']"
6,lr_shap_list_ir_1,lr_shap_list_ir_1_subset_100,orderMean,"['Wilderness_Area4', 'Hillshade_3pm', 'Wilderness_Area3', 'Hillshade_Noon', 'Hillshade_9am', 'Horizontal_Distance_To_Roadways', 'Slope', 'Elevation', 'Horizontal_Distance_To_Hydrology', 'Horizontal_Distance_To_Fire_Points', 'Soil_Type11', 'Soil_Type3', 'Soil_Type10', 'Soil_Type17', 'Soil_Type14', 'Soil_Type4', 'Soil_Type6', 'Soil_Type5', 'Soil_Type1', 'Vertical_Distance_To_Hydrology', 'Aspect', 'Soil_Type2', 'Soil_Type16', 'Soil_Type32', 'Soil_Type13']"
7,lr_shap_list_ir_1,lr_shap_list_ir_1_subset_100,orderStd,"['Hillshade_3pm', 'Hillshade_Noon', 'Soil_Type11', 'Hillshade_9am', 'Wilderness_Area4', 'Wilderness_Area3', 'Horizontal_Distance_To_Roadways', 'Horizontal_Distance_To_Hydrology', 'Slope', 'Elevation', 'Soil_Type17', 'Soil_Type3', 'Horizontal_Distance_To_Fire_Points', 'Soil_Type14', 'Soil_Type10', 'Soil_Type5', 'Soil_Type1', 'Soil_Type4', 'Soil_Type6', 'Vertical_Distance_To_Hydrology', 'Soil_Type16', 'Aspect', 'Soil_Type32', 'Soil_Type2', 'Soil_Type13']"
8,lr_shap_list_ir_1,lr_shap_list_ir_1_subset_100,orderSum,"['Wilderness_Area4', 'Hillshade_3pm', 'Wilderness_Area3', 'Hillshade_Noon', 'Hillshade_9am', 'Horizontal_Distance_To_Roadways', 'Slope', 'Elevation', 'Horizontal_Distance_To_Hydrology', 'Horizontal_Distance_To_Fire_Points', 'Soil_Type11', 'Soil_Type3', 'Soil_Type10', 'Soil_Type17', 'Soil_Type14', 'Soil_Type4', 'Soil_Type6', 'Soil_Type5', 'Soil_Type1', 'Vertical_Distance_To_Hydrology', 'Aspect', 'Soil_Type2', 'Soil_Type16', 'Soil_Type32', 'Soil_Type13']"
9,lr_shap_list_ir_4,lr_shap_list_ir_4_subset_55,orderMean,"['Wilderness_Area4', 'Wilderness_Area3', 'Hillshade_3pm', 'Hillshade_Noon', 'Horizontal_Distance_To_Roadways', 'Elevation', 'Horizontal_Distance_To_Hydrology', 'Horizontal_Distance_To_Fire_Points', 'Slope', 'Soil_Type10', 'Soil_Type2', 'Soil_Type4', 'Soil_Type6', 'Hillshade_9am', 'Soil_Type3', 'Soil_Type1', 'Soil_Type17', 'Vertical_Distance_To_Hydrology', 'Aspect', 'Soil_Type14', 'Soil_Type5', 'Soil_Type11', 'Soil_Type16', 'Soil_Type32', 'Soil_Type13']"
