,imbalanceRatio,Subset,Indicator,Sorted_Features
0,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,orderMean,"['Horizontal_Distance_To_Fire_Points', 'Aspect', 'Horizontal_Distance_To_Roadways', 'Elevation', 'Horizontal_Distance_To_Hydrology', 'Hillshade_9am', 'Vertical_Distance_To_Hydrology', 'Hillshade_3pm', 'Wilderness_Area3', 'Hillshade_Noon', 'Slope', 'Soil_Type3', 'Wilderness_Area4', 'Soil_Type1', 'Soil_Type6', 'Soil_Type10', 'Soil_Type2', 'Soil_Type17', 'Soil_Type11', 'Soil_Type4', 'Soil_Type16', 'Soil_Type14', 'Soil_Type5', 'Soil_Type13', 'Soil_Type32']"
1,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,orderStd,"['Aspect', 'Horizontal_Distance_To_Fire_Points', 'Vertical_Distance_To_Hydrology', 'Horizontal_Distance_To_Roadways', 'Horizontal_Distance_To_Hydrology', 'Hillshade_9am', 'Elevation', 'Hillshade_3pm', 'Wilderness_Area3', 'Hillshade_Noon', 'Soil_Type3', 'Wilderness_Area4', 'Soil_Type1', 'Slope', 'Soil_Type6', 'Soil_Type2', 'Soil_Type17', 'Soil_Type10', 'Soil_Type16', 'Soil_Type11', 'Soil_Type4', 'Soil_Type14', 'Soil_Type5', 'Soil_Type13', 'Soil_Type32']"
2,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,orderSum,"['Horizontal_Distance_To_Fire_Points', 'Aspect', 'Horizontal_Distance_To_Roadways', 'Elevation', 'Horizontal_Distance_To_Hydrology', 'Hillshade_9am', 'Vertical_Distance_To_Hydrology', 'Hillshade_3pm', 'Wilderness_Area3', 'Hillshade_Noon', 'Slope', 'Soil_Type3', 'Wilderness_Area4', 'Soil_Type1', 'Soil_Type6', 'Soil_Type10', 'Soil_Type2', 'Soil_Type17', 'Soil_Type11', 'Soil_Type4', 'Soil_Type16', 'Soil_Type14', 'Soil_Type5', 'Soil_Type13', 'Soil_Type32']"
3,mlp_shap_list_ir_2,mlp_shap_list_ir_2_subset_14,orderMean,"['Horizontal_Distance_To_Roadways', 'Horizontal_Distance_To_Fire_Points', 'Elevation', 'Horizontal_Distance_To_Hydrology', 'Vertical_Distance_To_Hydrology', 'Hillshade_3pm', 'Hillshade_9am', 'Aspect', 'Hillshade_Noon', 'Wilderness_Area3', 'Slope', 'Soil_Type3', 'Soil_Type10', 'Wilderness_Area4', 'Soil_Type2', 'Soil_Type17', 'Soil_Type4', 'Soil_Type6', 'Soil_Type1', 'Soil_Type14', 'Soil_Type5', 'Soil_Type16', 'Soil_Type11', 'Soil_Type13', 'Soil_Type32']"
4,mlp_shap_list_ir_2,mlp_shap_list_ir_2_subset_14,orderStd,"['Horizontal_Distance_To_Roadways', 'Horizontal_Distance_To_Fire_Points', 'Elevation', 'Vertical_Distance_To_Hydrology', 'Horizontal_Distance_To_Hydrology', 'Wilderness_Area3', 'Hillshade_3pm', 'Aspect', 'Hillshade_9am', 'Soil_Type10', 'Hillshade_Noon', 'Soil_Type3', 'Wilderness_Area4', 'Slope', 'Soil_Type2', 'Soil_Type17', 'Soil_Type1', 'Soil_Type4', 'Soil_Type6', 'Soil_Type14', 'Soil_Type16', 'Soil_Type5', 'Soil_Type11', 'Soil_Type13', 'Soil_Type32']"
5,mlp_shap_list_ir_2,mlp_shap_list_ir_2_subset_14,orderSum,"['Horizontal_Distance_To_Roadways', 'Horizontal_Distance_To_Fire_Points', 'Elevation', 'Horizontal_Distance_To_Hydrology', 'Vertical_Distance_To_Hydrology', 'Hillshade_3pm', 'Hillshade_9am', 'Aspect', 'Hillshade_Noon', 'Wilderness_Area3', 'Slope', 'Soil_Type3', 'Soil_Type10', 'Wilderness_Area4', 'Soil_Type2', 'Soil_Type17', 'Soil_Type4', 'Soil_Type6', 'Soil_Type1', 'Soil_Type14', 'Soil_Type5', 'Soil_Type16', 'Soil_Type11', 'Soil_Type13', 'Soil_Type32']"
6,mlp_shap_list_ir_3,mlp_shap_list_ir_3_subset_2,orderMean,"['Horizontal_Distance_To_Roadways', 'Horizontal_Distance_To_Hydrology', 'Horizontal_Distance_To_Fire_Points', 'Aspect', 'Elevation', 'Vertical_Distance_To_Hydrology', 'Hillshade_9am', 'Wilderness_Area3', 'Slope', 'Hillshade_3pm', 'Hillshade_Noon', 'Soil_Type3', 'Soil_Type2', 'Soil_Type10', 'Soil_Type1', 'Soil_Type4', 'Wilderness_Area4', 'Soil_Type6', 'Soil_Type17', 'Soil_Type14', 'Soil_Type11', 'Soil_Type5', 'Soil_Type16', 'Soil_Type13', 'Soil_Type32']"
7,mlp_shap_list_ir_3,mlp_shap_list_ir_3_subset_2,orderStd,"['Horizontal_Distance_To_Hydrology', 'Horizontal_Distance_To_Fire_Points', 'Horizontal_Distance_To_Roadways', 'Vertical_Distance_To_Hydrology', 'Aspect', 'Hillshade_9am', 'Elevation', 'Slope', 'Hillshade_Noon', 'Soil_Type2', 'Soil_Type3', 'Soil_Type10', 'Wilderness_Area3', 'Hillshade_3pm', 'Soil_Type6', 'Soil_Type1', 'Soil_Type17', 'Soil_Type4', 'Soil_Type14', 'Wilderness_Area4', 'Soil_Type11', 'Soil_Type13', 'Soil_Type5', 'Soil_Type16', 'Soil_Type32']"
8,mlp_shap_list_ir_3,mlp_shap_list_ir_3_subset_2,orderSum,"['Horizontal_Distance_To_Roadways', 'Horizontal_Distance_To_Hydrology', 'Horizontal_Distance_To_Fire_Points', 'Aspect', 'Elevation', 'Vertical_Distance_To_Hydrology', 'Hillshade_9am', 'Wilderness_Area3', 'Slope', 'Hillshade_3pm', 'Hillshade_Noon', 'Soil_Type3', 'Soil_Type2', 'Soil_Type10', 'Soil_Type1', 'Soil_Type4', 'Wilderness_Area4', 'Soil_Type6', 'Soil_Type17', 'Soil_Type14', 'Soil_Type11', 'Soil_Type5', 'Soil_Type16', 'Soil_Type13', 'Soil_Type32']"
9,mlp_shap_list_ir_4,mlp_shap_list_ir_4_subset_90,orderMean,"['Horizontal_Distance_To_Roadways', 'Horizontal_Distance_To_Fire_Points', 'Elevation', 'Horizontal_Distance_To_Hydrology', 'Hillshade_9am', 'Vertical_Distance_To_Hydrology', 'Hillshade_3pm', 'Aspect', 'Wilderness_Area3', 'Slope', 'Hillshade_Noon', 'Soil_Type3', 'Soil_Type17', 'Wilderness_Area4', 'Soil_Type2', 'Soil_Type6', 'Soil_Type10', 'Soil_Type1', 'Soil_Type4', 'Soil_Type14', 'Soil_Type11', 'Soil_Type16', 'Soil_Type5', 'Soil_Type13', 'Soil_Type32']"
