,imbalanceRatio,Subset,Indicator,Sorted_Features
0,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_35,orderMean,"['Elevation', 'Horizontal_Distance_To_Hydrology', 'Hillshade_9am', 'Vertical_Distance_To_Hydrology', 'Wilderness_Area3', 'Horizontal_Distance_To_Roadways', 'Soil_Type3', 'Hillshade_3pm', 'Wilderness_Area4', 'Aspect', 'Horizontal_Distance_To_Fire_Points', 'Slope', 'Hillshade_Noon', 'Soil_Type10', 'Soil_Type17', 'Soil_Type4', 'Soil_Type2', 'Soil_Type6', 'Soil_Type1', 'Soil_Type5', 'Soil_Type14', 'Soil_Type11', 'Soil_Type16', 'Soil_Type13', 'Soil_Type32']"
1,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_35,orderStd,"['Elevation', 'Hillshade_9am', 'Horizontal_Distance_To_Roadways', 'Wilderness_Area3', 'Horizontal_Distance_To_Hydrology', 'Wilderness_Area4', 'Hillshade_3pm', 'Vertical_Distance_To_Hydrology', 'Aspect', 'Soil_Type3', 'Soil_Type10', 'Hillshade_Noon', 'Horizontal_Distance_To_Fire_Points', 'Slope', 'Soil_Type2', 'Soil_Type1', 'Soil_Type4', 'Soil_Type6', 'Soil_Type5', 'Soil_Type17', 'Soil_Type14', 'Soil_Type16', 'Soil_Type11', 'Soil_Type13', 'Soil_Type32']"
2,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_35,orderSum,"['Elevation', 'Horizontal_Distance_To_Hydrology', 'Hillshade_9am', 'Vertical_Distance_To_Hydrology', 'Wilderness_Area3', 'Horizontal_Distance_To_Roadways', 'Soil_Type3', 'Hillshade_3pm', 'Wilderness_Area4', 'Aspect', 'Horizontal_Distance_To_Fire_Points', 'Slope', 'Hillshade_Noon', 'Soil_Type10', 'Soil_Type17', 'Soil_Type4', 'Soil_Type2', 'Soil_Type6', 'Soil_Type1', 'Soil_Type5', 'Soil_Type14', 'Soil_Type11', 'Soil_Type16', 'Soil_Type13', 'Soil_Type32']"
3,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_88,orderMean,"['Elevation', 'Horizontal_Distance_To_Hydrology', 'Wilderness_Area3', 'Vertical_Distance_To_Hydrology', 'Soil_Type3', 'Hillshade_9am', 'Horizontal_Distance_To_Roadways', 'Wilderness_Area4', 'Soil_Type10', 'Horizontal_Distance_To_Fire_Points', 'Hillshade_3pm', 'Aspect', 'Slope', 'Hillshade_Noon', 'Soil_Type17', 'Soil_Type6', 'Soil_Type4', 'Soil_Type1', 'Soil_Type2', 'Soil_Type5', 'Soil_Type14', 'Soil_Type16', 'Soil_Type11', 'Soil_Type13', 'Soil_Type32']"
4,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_88,orderStd,"['Elevation', 'Horizontal_Distance_To_Hydrology', 'Horizontal_Distance_To_Roadways', 'Hillshade_9am', 'Wilderness_Area3', 'Soil_Type3', 'Wilderness_Area4', 'Vertical_Distance_To_Hydrology', 'Soil_Type10', 'Horizontal_Distance_To_Fire_Points', 'Aspect', 'Hillshade_3pm', 'Hillshade_Noon', 'Slope', 'Soil_Type1', 'Soil_Type17', 'Soil_Type6', 'Soil_Type4', 'Soil_Type2', 'Soil_Type5', 'Soil_Type14', 'Soil_Type16', 'Soil_Type11', 'Soil_Type13', 'Soil_Type32']"
5,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_88,orderSum,"['Elevation', 'Horizontal_Distance_To_Hydrology', 'Wilderness_Area3', 'Vertical_Distance_To_Hydrology', 'Soil_Type3', 'Hillshade_9am', 'Horizontal_Distance_To_Roadways', 'Wilderness_Area4', 'Soil_Type10', 'Horizontal_Distance_To_Fire_Points', 'Hillshade_3pm', 'Aspect', 'Slope', 'Hillshade_Noon', 'Soil_Type17', 'Soil_Type6', 'Soil_Type4', 'Soil_Type1', 'Soil_Type2', 'Soil_Type5', 'Soil_Type14', 'Soil_Type16', 'Soil_Type11', 'Soil_Type13', 'Soil_Type32']"
6,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_94,orderMean,"['Elevation', 'Horizontal_Distance_To_Hydrology', 'Hillshade_9am', 'Horizontal_Distance_To_Roadways', 'Wilderness_Area3', 'Vertical_Distance_To_Hydrology', 'Soil_Type3', 'Wilderness_Area4', 'Hillshade_3pm', 'Hillshade_Noon', 'Aspect', 'Horizontal_Distance_To_Fire_Points', 'Slope', 'Soil_Type10', 'Soil_Type2', 'Soil_Type4', 'Soil_Type6', 'Soil_Type17', 'Soil_Type14', 'Soil_Type1', 'Soil_Type5', 'Soil_Type11', 'Soil_Type16', 'Soil_Type32', 'Soil_Type13']"
7,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_94,orderStd,"['Elevation', 'Hillshade_9am', 'Horizontal_Distance_To_Roadways', 'Wilderness_Area3', 'Horizontal_Distance_To_Hydrology', 'Wilderness_Area4', 'Soil_Type2', 'Hillshade_Noon', 'Soil_Type10', 'Soil_Type3', 'Horizontal_Distance_To_Fire_Points', 'Aspect', 'Vertical_Distance_To_Hydrology', 'Hillshade_3pm', 'Slope', 'Soil_Type4', 'Soil_Type6', 'Soil_Type1', 'Soil_Type17', 'Soil_Type16', 'Soil_Type14', 'Soil_Type5', 'Soil_Type11', 'Soil_Type32', 'Soil_Type13']"
8,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_94,orderSum,"['Elevation', 'Horizontal_Distance_To_Hydrology', 'Hillshade_9am', 'Horizontal_Distance_To_Roadways', 'Wilderness_Area3', 'Vertical_Distance_To_Hydrology', 'Soil_Type3', 'Wilderness_Area4', 'Hillshade_3pm', 'Hillshade_Noon', 'Aspect', 'Horizontal_Distance_To_Fire_Points', 'Slope', 'Soil_Type10', 'Soil_Type2', 'Soil_Type4', 'Soil_Type6', 'Soil_Type17', 'Soil_Type14', 'Soil_Type1', 'Soil_Type5', 'Soil_Type11', 'Soil_Type16', 'Soil_Type32', 'Soil_Type13']"
9,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_68,orderMean,"['Elevation', 'Horizontal_Distance_To_Hydrology', 'Wilderness_Area3', 'Vertical_Distance_To_Hydrology', 'Hillshade_9am', 'Soil_Type3', 'Wilderness_Area4', 'Horizontal_Distance_To_Roadways', 'Horizontal_Distance_To_Fire_Points', 'Soil_Type10', 'Aspect', 'Hillshade_3pm', 'Hillshade_Noon', 'Slope', 'Soil_Type17', 'Soil_Type6', 'Soil_Type2', 'Soil_Type4', 'Soil_Type1', 'Soil_Type5', 'Soil_Type14', 'Soil_Type16', 'Soil_Type11', 'Soil_Type13', 'Soil_Type32']"
