,imbalanceRatio,Subset,Indicator,Sorted_Features
0,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,orderMean,"['Elevation', 'Hillshade_9am', 'Horizontal_Distance_To_Hydrology', 'Wilderness_Area3', 'Soil_Type3', 'Horizontal_Distance_To_Roadways', 'Horizontal_Distance_To_Fire_Points', 'Vertical_Distance_To_Hydrology', 'Hillshade_Noon', 'Soil_Type10', 'Aspect', 'Soil_Type6', 'Soil_Type17', 'Slope', 'Soil_Type5', 'Hillshade_3pm', 'Soil_Type2', 'Soil_Type4', 'Soil_Type1', 'Soil_Type16', 'Soil_Type14', 'Soil_Type11', 'Wilderness_Area4', 'Soil_Type13', 'Soil_Type32']"
1,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,orderStd,"['Elevation', 'Horizontal_Distance_To_Hydrology', 'Hillshade_9am', 'Wilderness_Area3', 'Soil_Type3', 'Horizontal_Distance_To_Roadways', 'Horizontal_Distance_To_Fire_Points', 'Hillshade_Noon', 'Vertical_Distance_To_Hydrology', 'Soil_Type17', 'Soil_Type10', 'Soil_Type6', 'Aspect', 'Soil_Type5', 'Soil_Type2', 'Slope', 'Hillshade_3pm', 'Soil_Type1', 'Soil_Type4', 'Soil_Type16', 'Soil_Type11', 'Soil_Type14', 'Wilderness_Area4', 'Soil_Type13', 'Soil_Type32']"
2,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,orderSum,"['Elevation', 'Hillshade_9am', 'Horizontal_Distance_To_Hydrology', 'Wilderness_Area3', 'Soil_Type3', 'Horizontal_Distance_To_Roadways', 'Horizontal_Distance_To_Fire_Points', 'Vertical_Distance_To_Hydrology', 'Hillshade_Noon', 'Soil_Type10', 'Aspect', 'Soil_Type6', 'Soil_Type17', 'Slope', 'Soil_Type5', 'Hillshade_3pm', 'Soil_Type2', 'Soil_Type4', 'Soil_Type1', 'Soil_Type16', 'Soil_Type14', 'Soil_Type11', 'Wilderness_Area4', 'Soil_Type13', 'Soil_Type32']"
3,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,orderMean,"['Elevation', 'Hillshade_9am', 'Horizontal_Distance_To_Hydrology', 'Horizontal_Distance_To_Roadways', 'Horizontal_Distance_To_Fire_Points', 'Wilderness_Area3', 'Soil_Type3', 'Vertical_Distance_To_Hydrology', 'Hillshade_Noon', 'Aspect', 'Soil_Type10', 'Soil_Type6', 'Slope', 'Hillshade_3pm', 'Soil_Type17', 'Soil_Type5', 'Soil_Type2', 'Soil_Type1', 'Soil_Type14', 'Soil_Type11', 'Soil_Type4', 'Soil_Type16', 'Wilderness_Area4', 'Soil_Type13', 'Soil_Type32']"
4,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,orderStd,"['Elevation', 'Hillshade_9am', 'Horizontal_Distance_To_Hydrology', 'Horizontal_Distance_To_Roadways', 'Wilderness_Area3', 'Soil_Type3', 'Horizontal_Distance_To_Fire_Points', 'Hillshade_Noon', 'Aspect', 'Vertical_Distance_To_Hydrology', 'Soil_Type10', 'Soil_Type17', 'Soil_Type6', 'Soil_Type5', 'Hillshade_3pm', 'Slope', 'Soil_Type2', 'Soil_Type1', 'Soil_Type11', 'Soil_Type14', 'Soil_Type4', 'Soil_Type16', 'Wilderness_Area4', 'Soil_Type13', 'Soil_Type32']"
5,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,orderSum,"['Elevation', 'Hillshade_9am', 'Horizontal_Distance_To_Hydrology', 'Horizontal_Distance_To_Roadways', 'Horizontal_Distance_To_Fire_Points', 'Wilderness_Area3', 'Soil_Type3', 'Vertical_Distance_To_Hydrology', 'Hillshade_Noon', 'Aspect', 'Soil_Type10', 'Soil_Type6', 'Slope', 'Hillshade_3pm', 'Soil_Type17', 'Soil_Type5', 'Soil_Type2', 'Soil_Type1', 'Soil_Type14', 'Soil_Type11', 'Soil_Type4', 'Soil_Type16', 'Wilderness_Area4', 'Soil_Type13', 'Soil_Type32']"
6,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_50,orderMean,"['Elevation', 'Hillshade_9am', 'Horizontal_Distance_To_Hydrology', 'Wilderness_Area3', 'Horizontal_Distance_To_Roadways', 'Soil_Type3', 'Horizontal_Distance_To_Fire_Points', 'Vertical_Distance_To_Hydrology', 'Hillshade_Noon', 'Soil_Type10', 'Aspect', 'Soil_Type17', 'Soil_Type6', 'Hillshade_3pm', 'Slope', 'Soil_Type5', 'Soil_Type2', 'Soil_Type1', 'Soil_Type14', 'Soil_Type4', 'Soil_Type16', 'Wilderness_Area4', 'Soil_Type11', 'Soil_Type13', 'Soil_Type32']"
7,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_50,orderStd,"['Elevation', 'Hillshade_9am', 'Wilderness_Area3', 'Horizontal_Distance_To_Hydrology', 'Horizontal_Distance_To_Roadways', 'Soil_Type3', 'Horizontal_Distance_To_Fire_Points', 'Hillshade_Noon', 'Vertical_Distance_To_Hydrology', 'Soil_Type17', 'Soil_Type10', 'Aspect', 'Soil_Type5', 'Soil_Type6', 'Hillshade_3pm', 'Soil_Type2', 'Soil_Type1', 'Slope', 'Soil_Type14', 'Soil_Type4', 'Soil_Type16', 'Wilderness_Area4', 'Soil_Type11', 'Soil_Type13', 'Soil_Type32']"
8,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_50,orderSum,"['Elevation', 'Hillshade_9am', 'Horizontal_Distance_To_Hydrology', 'Wilderness_Area3', 'Horizontal_Distance_To_Roadways', 'Soil_Type3', 'Horizontal_Distance_To_Fire_Points', 'Vertical_Distance_To_Hydrology', 'Hillshade_Noon', 'Soil_Type10', 'Aspect', 'Soil_Type17', 'Soil_Type6', 'Hillshade_3pm', 'Slope', 'Soil_Type5', 'Soil_Type2', 'Soil_Type1', 'Soil_Type14', 'Soil_Type4', 'Soil_Type16', 'Wilderness_Area4', 'Soil_Type11', 'Soil_Type13', 'Soil_Type32']"
9,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_65,orderMean,"['Elevation', 'Hillshade_9am', 'Wilderness_Area3', 'Horizontal_Distance_To_Hydrology', 'Horizontal_Distance_To_Fire_Points', 'Horizontal_Distance_To_Roadways', 'Vertical_Distance_To_Hydrology', 'Soil_Type3', 'Hillshade_Noon', 'Soil_Type10', 'Aspect', 'Soil_Type4', 'Hillshade_3pm', 'Soil_Type6', 'Slope', 'Soil_Type2', 'Soil_Type1', 'Soil_Type17', 'Soil_Type14', 'Soil_Type5', 'Wilderness_Area4', 'Soil_Type13', 'Soil_Type11', 'Soil_Type16', 'Soil_Type32']"
