,index,shapMean,shapStd,shapSum,subset,imbalance_ratio
0,Elevation,1.117998,0.73923665,12285.68,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
1,Aspect,0.057585206,0.07294172,632.80383,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
2,Slope,0.023979617,0.022933751,263.51202,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
3,Horizontal_Distance_To_Hydrology,0.543664,0.52219427,5974.323,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
4,Vertical_Distance_To_Hydrology,0.1757951,0.12697244,1931.8123,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
5,Horizontal_Distance_To_Roadways,0.27818227,0.23515809,3056.9448,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
6,Hillshade_9am,0.61000675,0.5185651,6703.3643,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
7,Hillshade_Noon,0.112352386,0.14038803,1234.6404,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
8,Hillshade_3pm,0.011826002,0.019561319,129.95593,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
9,Horizontal_Distance_To_Fire_Points,0.23784144,0.22522177,2613.6396,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
10,Wilderness_Area3,0.43246737,0.45434988,4752.384,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
11,Wilderness_Area4,0.0,0.0,0.0,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
12,Soil_Type1,0.00534,0.013578358,58.681263,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
13,Soil_Type2,0.011063594,0.03375164,121.577835,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
14,Soil_Type3,0.29018,0.2697421,3188.788,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
15,Soil_Type4,0.0056656366,0.011916894,62.25968,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
16,Soil_Type5,0.012137109,0.04654718,133.3747,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
17,Soil_Type6,0.048753794,0.079132825,535.75543,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
18,Soil_Type10,0.07457112,0.08464591,819.462,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
19,Soil_Type11,0.00011247899,0.000718648,1.2360317,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
20,Soil_Type13,0.0,0.0,0.0,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
21,Soil_Type14,0.00022564566,0.0006109406,2.4796202,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
22,Soil_Type16,0.00094345666,0.004705323,10.367645,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
23,Soil_Type17,0.039942984,0.09408681,438.93344,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
24,Soil_Type32,0.0,0.0,0.0,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
25,Elevation,1.4082396,0.98737925,15475.145,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
26,Aspect,0.10482245,0.12404937,1151.8939,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
27,Slope,0.03605581,0.03868803,396.2173,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
28,Horizontal_Distance_To_Hydrology,0.4614618,0.40763208,5071.004,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
29,Vertical_Distance_To_Hydrology,0.14157052,0.09931026,1555.7185,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
30,Horizontal_Distance_To_Roadways,0.30121818,0.25533962,3310.0867,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
31,Hillshade_9am,0.6328805,0.5478256,6954.724,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
32,Hillshade_Noon,0.12057661,0.12997384,1325.0164,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
33,Hillshade_3pm,0.03003754,0.05216438,330.08252,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
34,Horizontal_Distance_To_Fire_Points,0.2471375,0.20901461,2715.794,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
35,Wilderness_Area3,0.23396428,0.25030482,2571.0334,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
36,Wilderness_Area4,0.0,0.0,0.0,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
37,Soil_Type1,0.004352419,0.0067589073,47.828735,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
38,Soil_Type2,0.00677471,0.01816872,74.44729,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
39,Soil_Type3,0.18424278,0.2102408,2024.644,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
40,Soil_Type4,0.00042078685,0.00090780825,4.624027,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
41,Soil_Type5,0.01494855,0.05482548,164.2696,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
42,Soil_Type6,0.04395611,0.056276914,483.0337,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
43,Soil_Type10,0.05095241,0.06933849,559.916,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
44,Soil_Type11,0.0009426514,0.003536123,10.358796,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
45,Soil_Type13,0.0,0.0,0.0,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
46,Soil_Type14,0.001751953,0.002951225,19.252213,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
47,Soil_Type16,5.6257828e-05,0.00014801265,0.6182173,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
