,imbalanceRatio,Subset,feature,Indicator,freq1,freq2,freq3
0,shap_list_ir_1,shap_list_ir_1_subset_100,X1,localMax_X1,0.10016426786751584,0.02358932481859681,0.04273306058082657
1,shap_list_ir_1,shap_list_ir_1_subset_100,X2,localMax_X2,0.08352545924772342,0.005572317479592359,0.03155669806896938
2,shap_list_ir_1,shap_list_ir_1_subset_100,X3,localMax_X3,-0.006750665516219952,0.14265462028632664,0.018150215450871143
3,shap_list_ir_1,shap_list_ir_1_subset_100,X4,localMax_X4,0.16373384951204975,0.13267232180692376,0.19479537721717574
4,shap_list_ir_1,shap_list_ir_1_subset_100,X5,localMax_X5,0.029175889124857704,0.04660524878405084,0.06403460844324396
5,shap_list_ir_1,shap_list_ir_1_subset_100,X6,localMax_X6,0.12492514953406583,0.10198509598074869,0.010224881767480105
6,shap_list_ir_1,shap_list_ir_1_subset_101,X1,localMax_X1,0.03662839934624518,-0.0030417760293663942,0.07629857472185675
7,shap_list_ir_1,shap_list_ir_1_subset_101,X2,localMax_X2,0.021745570443809023,0.04154301474405725,0.06134045904430546
8,shap_list_ir_1,shap_list_ir_1_subset_101,X3,localMax_X3,-0.014669511668626997,0.011791469272641936,0.06471343115517979
9,shap_list_ir_1,shap_list_ir_1_subset_101,X4,localMax_X4,0.13763347465904127,0.1658519640555129,0.10941498526256965
10,shap_list_ir_1,shap_list_ir_1_subset_101,X5,localMax_X5,0.10844618441558526,0.13724589571548204,0.16604560701537885
11,shap_list_ir_1,shap_list_ir_1_subset_101,X6,localMax_X6,0.10428116238556956,0.007209579174868579,0.1285490581882448
12,shap_list_ir_1,shap_list_ir_1_subset_102,X1,localMax_X1,0.01604415282303434,0.03822881360563178,0.049321143996930494
13,shap_list_ir_1,shap_list_ir_1_subset_102,X2,localMax_X2,0.019098280004971616,0.05660039515282042,0.03784933757889601
14,shap_list_ir_1,shap_list_ir_1_subset_102,X3,localMax_X3,-0.043104238502079936,0.1126452845385841,0.09533978197851033
15,shap_list_ir_1,shap_list_ir_1_subset_102,X4,localMax_X4,0.08439302472266713,0.10862198046215885,0.13285093620165056
16,shap_list_ir_1,shap_list_ir_1_subset_102,X5,localMax_X5,0.0440788907484372,0.09847077938343518,0.07127483506593618
17,shap_list_ir_1,shap_list_ir_1_subset_102,X6,localMax_X6,0.0634387581756481,0.08287543192500794,-0.014307936821791285
18,shap_list_ir_1,shap_list_ir_1_subset_103,X1,localMax_X1,0.1191847033914519,0.004567616961726688,0.023670464700014222
19,shap_list_ir_1,shap_list_ir_1_subset_103,X2,localMax_X2,0.038997619357778304,0.020580541275779837,0.057414697439776785
20,shap_list_ir_1,shap_list_ir_1_subset_103,X3,localMax_X3,0.0007116801563997327,0.13133341554383454,0.15310370477507368
21,shap_list_ir_1,shap_list_ir_1_subset_103,X4,localMax_X4,0.15206851787008743,0.12754586976137752,-0.019590018890881966
22,shap_list_ir_1,shap_list_ir_1_subset_103,X5,localMax_X5,0.08349528459232126,0.10609558769564875,0.06089498148899379
23,shap_list_ir_1,shap_list_ir_1_subset_103,X6,localMax_X6,0.08235692787329517,0.06868578563453866,0.05501464339578216
24,shap_list_ir_1,shap_list_ir_1_subset_104,X1,localMax_X1,0.22635289411323667,0.1957759906058207,-0.018262333946091072
25,shap_list_ir_1,shap_list_ir_1_subset_104,X2,localMax_X2,0.10084267791647694,-0.014136421724691033,0.06251631136942094
26,shap_list_ir_1,shap_list_ir_1_subset_104,X3,localMax_X3,-0.02500375353240443,0.07799133216328644,0.10374010358720917
27,shap_list_ir_1,shap_list_ir_1_subset_104,X4,localMax_X4,0.09230117131882279,0.1159666065326869,0.139632041746551
28,shap_list_ir_1,shap_list_ir_1_subset_104,X5,localMax_X5,0.02676198326099892,0.04143392475684311,0.05610586625268732
29,shap_list_ir_1,shap_list_ir_1_subset_104,X6,localMax_X6,0.05904928064036703,-0.007024719660911512,0.07556778071568668
30,shap_list_ir_1,shap_list_ir_1_subset_105,X1,localMax_X1,0.14493399714177124,0.12353188285470226,-0.026282917154780552
31,shap_list_ir_1,shap_list_ir_1_subset_105,X2,localMax_X2,0.09633136251863167,0.032013770549862916,0.05345296787278582
32,shap_list_ir_1,shap_list_ir_1_subset_105,X3,localMax_X3,-0.006338962162709426,0.08917466419882375,0.10827738947113037
33,shap_list_ir_1,shap_list_ir_1_subset_105,X4,localMax_X4,0.119070545589652,0.1405808524573345,0.09756023872196948
34,shap_list_ir_1,shap_list_ir_1_subset_105,X5,localMax_X5,0.05650727698148844,0.07456076230580982,0.03845379165716706
35,shap_list_ir_1,shap_list_ir_1_subset_105,X6,localMax_X6,0.08224479688831361,0.0023223437438645717,0.0662603062594238
36,shap_list_ir_1,shap_list_ir_1_subset_106,X1,localMax_X1,0.09397943987306068,0.07877576628204719,0.017961071917993246
37,shap_list_ir_1,shap_list_ir_1_subset_106,X2,localMax_X2,0.11206676746313948,0.02839566574877206,0.011661445405898578
38,shap_list_ir_1,shap_list_ir_1_subset_106,X3,localMax_X3,0.0012932929361976382,0.05921724554983449,0.047632455027107126
39,shap_list_ir_1,shap_list_ir_1_subset_106,X4,localMax_X4,0.11167910429428024,0.13877855110012083,0.1658779979059614
40,shap_list_ir_1,shap_list_ir_1_subset_106,X5,localMax_X5,0.06363544463649112,0.08573867257683082,0.10784190051717049
41,shap_list_ir_1,shap_list_ir_1_subset_106,X6,localMax_X6,0.10478794572455717,0.12462817612124871,0.0055867937410994245
42,shap_list_ir_1,shap_list_ir_1_subset_107,X1,localMax_X1,0.13075015336110216,0.06233703900785334,0.045233760419541136
43,shap_list_ir_1,shap_list_ir_1_subset_107,X2,localMax_X2,0.07756169697202553,0.027877323581412664,0.04443878137828362
44,shap_list_ir_1,shap_list_ir_1_subset_107,X3,localMax_X3,-0.008962197976215117,0.07667715823775104,0.09380502948054426
45,shap_list_ir_1,shap_list_ir_1_subset_107,X4,localMax_X4,0.17021101028745703,0.20086544492663644,0.23151987956581585
46,shap_list_ir_1,shap_list_ir_1_subset_107,X5,localMax_X5,0.0619994678880694,0.07861481000677766,0.04538412576936114
47,shap_list_ir_1,shap_list_ir_1_subset_107,X6,localMax_X6,0.04865450258227688,0.06298699740773114,0.0773194922331854
48,shap_list_ir_1,shap_list_ir_1_subset_108,X1,localMax_X1,0.12818983385452037,0.152476045322881,0.1767622567912416
49,shap_list_ir_1,shap_list_ir_1_subset_108,X2,localMax_X2,0.055279705826588185,0.03627538121284252,-0.001733268014648806
50,shap_list_ir_1,shap_list_ir_1_subset_108,X3,localMax_X3,0.0082848981003225,0.10619909349454432,0.02786773717916686
51,shap_list_ir_1,shap_list_ir_1_subset_108,X4,localMax_X4,0.10421888502284354,0.1321024005378987,0.15998591605295387
52,shap_list_ir_1,shap_list_ir_1_subset_108,X5,localMax_X5,0.03197262017062766,0.04914108970596391,0.06630955924130018
53,shap_list_ir_1,shap_list_ir_1_subset_108,X6,localMax_X6,0.05419430747688604,0.02240730989483309,0.0065138111038066035
54,shap_list_ir_1,shap_list_ir_1_subset_109,X1,localMax_X1,0.12264758587432789,0.07645265281710936,-0.0005389022782548436
55,shap_list_ir_1,shap_list_ir_1_subset_109,X2,localMax_X2,0.06754483512702734,0.028965192798013392,0.04825501396252037
56,shap_list_ir_1,shap_list_ir_1_subset_109,X3,localMax_X3,-0.006550802840646977,0.0853305996634635,0.10370688016428559
57,shap_list_ir_1,shap_list_ir_1_subset_109,X4,localMax_X4,0.1532128629608287,0.1802563729382899,0.1261693529833675
58,shap_list_ir_1,shap_list_ir_1_subset_109,X5,localMax_X5,0.08395737403147328,0.06282690561632366,0.16847924769207168
59,shap_list_ir_1,shap_list_ir_1_subset_109,X6,localMax_X6,0.07747822943938176,-0.0057046165518624126,0.060841660241132925
60,shap_list_ir_1,shap_list_ir_1_subset_10,X1,localMax_X1,0.14939560003844407,0.12594930195299642,0.10250300386754879
61,shap_list_ir_1,shap_list_ir_1_subset_10,X2,localMax_X2,0.057354524969228736,-0.004579587756240781,0.04187099678786136
62,shap_list_ir_1,shap_list_ir_1_subset_10,X3,localMax_X3,0.006991882370455171,0.11571848598185477,0.0287372030927351
63,shap_list_ir_1,shap_list_ir_1_subset_10,X4,localMax_X4,0.13927731094592335,0.16461671476095455,0.11393790713089218
64,shap_list_ir_1,shap_list_ir_1_subset_10,X5,localMax_X5,0.06643963959912019,0.08741198101307253,0.10838432242702488
65,shap_list_ir_1,shap_list_ir_1_subset_10,X6,localMax_X6,0.05792613643994078,0.0459940618516214,0.034061987263302014
66,shap_list_ir_1,shap_list_ir_1_subset_110,X1,localMax_X1,0.09622348865744464,0.00024867946813780795,0.027670053522225478
67,shap_list_ir_1,shap_list_ir_1_subset_110,X2,localMax_X2,0.024762635937088523,-0.004433283362651072,0.11235039383630732
68,shap_list_ir_1,shap_list_ir_1_subset_110,X3,localMax_X3,3.1157518291982655e-05,0.09936066470332972,0.024863534314551405
69,shap_list_ir_1,shap_list_ir_1_subset_110,X4,localMax_X4,0.2000507320019119,0.2333423282904936,0.16675913571333018
70,shap_list_ir_1,shap_list_ir_1_subset_110,X5,localMax_X5,0.0693350027046276,0.08990316438211328,0.11047132605959895
71,shap_list_ir_1,shap_list_ir_1_subset_110,X6,localMax_X6,0.08851862077853259,0.07160612720829379,-0.01295634064290025
72,shap_list_ir_1,shap_list_ir_1_subset_111,X1,localMax_X1,0.053369501980864334,0.012108124073421156,0.02586191670923555
73,shap_list_ir_1,shap_list_ir_1_subset_111,X2,localMax_X2,-0.02603025264896626,0.029541432526421108,0.001755589938727431
74,shap_list_ir_1,shap_list_ir_1_subset_111,X3,localMax_X3,-0.029917446443634955,0.05813834534151441,0.0455589465150645
75,shap_list_ir_1,shap_list_ir_1_subset_111,X4,localMax_X4,0.13637630406919302,0.1678949382070284,0.04182040165568689
76,shap_list_ir_1,shap_list_ir_1_subset_111,X5,localMax_X5,0.09068736099168923,0.1144985115180349,0.13830966204438058
77,shap_list_ir_1,shap_list_ir_1_subset_111,X6,localMax_X6,0.13267386400677308,0.10893268007402446,0.15641504793952168
78,shap_list_ir_1,shap_list_ir_1_subset_112,X1,localMax_X1,0.04356616813712352,0.016748287644191978,0.03015722789065775
79,shap_list_ir_1,shap_list_ir_1_subset_112,X2,localMax_X2,0.02362994464942722,0.05438896134126832,0.11590699472495052
80,shap_list_ir_1,shap_list_ir_1_subset_112,X3,localMax_X3,-0.014888799484431947,0.008229591666074787,0.10070315626810167
81,shap_list_ir_1,shap_list_ir_1_subset_112,X4,localMax_X4,0.12138163919505274,0.15429160977723727,0.0884716686128682
82,shap_list_ir_1,shap_list_ir_1_subset_112,X5,localMax_X5,0.05935404634029676,0.08520779850065954,0.11106155066102236
83,shap_list_ir_1,shap_list_ir_1_subset_112,X6,localMax_X6,0.1064622255117957,0.13158087066076996,0.005987644915898746
84,shap_list_ir_1,shap_list_ir_1_subset_113,X1,localMax_X1,0.12922617348464668,0.04681346354849089,0.030330921561259737
85,shap_list_ir_1,shap_list_ir_1_subset_113,X2,localMax_X2,0.06788489272776976,0.04844891035068501,0.02901292797360025
86,shap_list_ir_1,shap_list_ir_1_subset_113,X3,localMax_X3,-0.013028345744281047,0.08507173089500321,0.07105743423224832
87,shap_list_ir_1,shap_list_ir_1_subset_113,X4,localMax_X4,0.10817976969042045,0.13158489185645114,0.1549900140224818
88,shap_list_ir_1,shap_list_ir_1_subset_113,X5,localMax_X5,0.054578403526833394,0.07060891913385177,0.08663943474087016
89,shap_list_ir_1,shap_list_ir_1_subset_113,X6,localMax_X6,0.04180805914847407,0.05386521532045364,0.0297509029764945
90,shap_list_ir_1,shap_list_ir_1_subset_114,X1,localMax_X1,0.06008722974069451,0.020919552200595368,0.04050339097064494
91,shap_list_ir_1,shap_list_ir_1_subset_114,X2,localMax_X2,0.030090580645516868,0.0714372511480731,0.09211058639935121
92,shap_list_ir_1,shap_list_ir_1_subset_114,X3,localMax_X3,-0.023929999170970703,0.02542948423263578,0.05833580650170677
93,shap_list_ir_1,shap_list_ir_1_subset_114,X4,localMax_X4,0.12624073489364618,0.16081068025115677,0.19538062560866737
94,shap_list_ir_1,shap_list_ir_1_subset_114,X5,localMax_X5,0.07576972494338952,0.10241090767745643,0.12905209041152335
95,shap_list_ir_1,shap_list_ir_1_subset_114,X6,localMax_X6,0.07950456829031635,0.102371313867861,0.12523805944540564
96,shap_list_ir_1,shap_list_ir_1_subset_115,X1,localMax_X1,0.17437982457460127,0.021530779912546566,0.043366357721411536
97,shap_list_ir_1,shap_list_ir_1_subset_115,X2,localMax_X2,0.08974234400997073,0.009933113524692692,0.025894959621748294
98,shap_list_ir_1,shap_list_ir_1_subset_115,X3,localMax_X3,0.007397110223055892,0.045761319267977135,0.03041563565000864
99,shap_list_ir_1,shap_list_ir_1_subset_115,X4,localMax_X4,0.09336012602173885,0.07194004625114828,0.13620028556292002
100,shap_list_ir_1,shap_list_ir_1_subset_115,X5,localMax_X5,0.09865107264071703,0.12357708864124964,0.14850310464178226
101,shap_list_ir_1,shap_list_ir_1_subset_115,X6,localMax_X6,0.025059075463528174,0.053318928658423845,0.06744885525587169
102,shap_list_ir_1,shap_list_ir_1_subset_116,X1,localMax_X1,0.0852513437306103,0.021658134505120892,0.011059266300872658
103,shap_list_ir_1,shap_list_ir_1_subset_116,X2,localMax_X2,0.061545273798332384,0.014441534603764891,-0.009110334993518848
104,shap_list_ir_1,shap_list_ir_1_subset_116,X3,localMax_X3,-0.006032446295621632,0.03164434186464917,0.012805947784513768
105,shap_list_ir_1,shap_list_ir_1_subset_116,X4,localMax_X4,0.15354293987200437,0.18719429161761802,0.018937532889549843
106,shap_list_ir_1,shap_list_ir_1_subset_116,X5,localMax_X5,0.03236562679140745,0.045746219094119314,0.05912681139683118
107,shap_list_ir_1,shap_list_ir_1_subset_116,X6,localMax_X6,0.1515077703456731,0.1813818654037853,0.12163367528756092
108,shap_list_ir_1,shap_list_ir_1_subset_117,X1,localMax_X1,0.09684359575499712,0.07980402560119022,0.06276445544738332
109,shap_list_ir_1,shap_list_ir_1_subset_117,X2,localMax_X2,0.08689071902416905,0.008751259402716677,0.028286124308079766
110,shap_list_ir_1,shap_list_ir_1_subset_117,X3,localMax_X3,0.00016336555664281383,0.10429384944691102,0.12511994622496467
111,shap_list_ir_1,shap_list_ir_1_subset_117,X4,localMax_X4,0.16977577121709359,0.19819477962007753,0.22661378802306145
112,shap_list_ir_1,shap_list_ir_1_subset_117,X5,localMax_X5,0.04837627493467413,0.061026846006144095,0.07367741707761406
113,shap_list_ir_1,shap_list_ir_1_subset_117,X6,localMax_X6,0.08950102265143987,0.07122456825358144,-0.020157703735710755
114,shap_list_ir_1,shap_list_ir_1_subset_118,X1,localMax_X1,0.06909212206097717,-0.004941434262691488,0.00986527700204224
115,shap_list_ir_1,shap_list_ir_1_subset_118,X2,localMax_X2,0.019465664651460456,0.046453216042186565,0.07344076743291267
116,shap_list_ir_1,shap_list_ir_1_subset_118,X3,localMax_X3,-0.02730028818870013,-0.004811211466820578,0.13012324886445678
117,shap_list_ir_1,shap_list_ir_1_subset_118,X4,localMax_X4,0.1458875968731346,0.17900966093410103,0.21213172499506747
118,shap_list_ir_1,shap_list_ir_1_subset_118,X5,localMax_X5,0.07196873236512509,0.09365901871780001,0.11534930507047494
119,shap_list_ir_1,shap_list_ir_1_subset_118,X6,localMax_X6,0.08583892864251816,-0.012730772876562067,0.06941064505600479
120,shap_list_ir_1,shap_list_ir_1_subset_119,X1,localMax_X1,0.07427621251779001,0.003573293235937136,0.05660048269732679
121,shap_list_ir_1,shap_list_ir_1_subset_119,X2,localMax_X2,0.050480577507917554,0.013907128730802562,0.06876730189647506
122,shap_list_ir_1,shap_list_ir_1_subset_119,X3,localMax_X3,-0.016422561936597677,0.09308732723821847,0.12046479953192249
123,shap_list_ir_1,shap_list_ir_1_subset_119,X4,localMax_X4,0.1362622858675799,0.16228832732705928,0.214340410246018
124,shap_list_ir_1,shap_list_ir_1_subset_119,X5,localMax_X5,0.014614804592650188,0.031741620001516355,0.02317821229708327
125,shap_list_ir_1,shap_list_ir_1_subset_119,X6,localMax_X6,0.11674318085872057,0.1406343918603688,-0.026604085151168896
126,shap_list_ir_1,shap_list_ir_1_subset_11,X1,localMax_X1,0.04431798802425958,0.07578357800732081,0.0600507830157902
127,shap_list_ir_1,shap_list_ir_1_subset_11,X2,localMax_X2,0.0014130132505457416,0.04180132487966645,0.05526409542270669
128,shap_list_ir_1,shap_list_ir_1_subset_11,X3,localMax_X3,-0.025767787982690256,0.07615582779355273,0.017913761635699597
129,shap_list_ir_1,shap_list_ir_1_subset_11,X4,localMax_X4,0.13730636862748988,0.1617746215992549,0.18624287457101993
130,shap_list_ir_1,shap_list_ir_1_subset_11,X5,localMax_X5,0.06695901083496938,0.04557513575068964,0.10972676100352888
131,shap_list_ir_1,shap_list_ir_1_subset_11,X6,localMax_X6,0.06677830734252119,0.08263768034408583,0.09849705334565047
132,shap_list_ir_1,shap_list_ir_1_subset_120,X1,localMax_X1,0.061451218436834765,0.0008612237543457746,0.04125455354267177
133,shap_list_ir_1,shap_list_ir_1_subset_120,X2,localMax_X2,0.03927392254826126,0.014927045246862558,0.06362079984965996
134,shap_list_ir_1,shap_list_ir_1_subset_120,X3,localMax_X3,0.0012870322663074349,0.06395763304084479,0.016954682459941778
135,shap_list_ir_1,shap_list_ir_1_subset_120,X4,localMax_X4,0.1695301518763788,0.1954880948414912,0.14357220891126635
136,shap_list_ir_1,shap_list_ir_1_subset_120,X5,localMax_X5,0.06992022644103871,0.08782841200451987,0.10573659756800101
137,shap_list_ir_1,shap_list_ir_1_subset_120,X6,localMax_X6,0.14930427120536754,0.17757122004067558,-0.0485643706417886
138,shap_list_ir_1,shap_list_ir_1_subset_121,X1,localMax_X1,0.13641879541687682,0.03781575742174434,0.02138191775588892
139,shap_list_ir_1,shap_list_ir_1_subset_121,X2,localMax_X2,0.09088030161834451,0.02721445429430655,0.059047377956325545
140,shap_list_ir_1,shap_list_ir_1_subset_121,X3,localMax_X3,-5.8024734563566494e-05,0.0671783818136498,0.08398748345070314
141,shap_list_ir_1,shap_list_ir_1_subset_121,X4,localMax_X4,0.12636484274733178,0.1549869647768732,0.18360908680641463
142,shap_list_ir_1,shap_list_ir_1_subset_121,X5,localMax_X5,0.0768322319905748,0.10109280671316542,0.14961395615834663
143,shap_list_ir_1,shap_list_ir_1_subset_121,X6,localMax_X6,0.06245424006867939,0.0855735051304119,0.1086927701921444
144,shap_list_ir_1,shap_list_ir_1_subset_122,X1,localMax_X1,0.09897869433448947,0.012482255487852784,0.03410636519951196
145,shap_list_ir_1,shap_list_ir_1_subset_122,X2,localMax_X2,0.042943159145671414,0.016248652451744658,-0.010445854242182098
146,shap_list_ir_1,shap_list_ir_1_subset_122,X3,localMax_X3,-0.006544327070704105,0.06778006990197293,0.05291519050743752
147,shap_list_ir_1,shap_list_ir_1_subset_122,X4,localMax_X4,0.14139845307898255,0.17072972240062392,-0.034589162850865815
148,shap_list_ir_1,shap_list_ir_1_subset_122,X5,localMax_X5,0.08513258233467702,0.11066349696790675,0.1361944116011365
149,shap_list_ir_1,shap_list_ir_1_subset_122,X6,localMax_X6,0.11481620043148251,0.14112038849528197,-0.01670473988751474
150,shap_list_ir_1,shap_list_ir_1_subset_123,X1,localMax_X1,0.048767403995452305,0.004313584023248898,0.06358534398618677
151,shap_list_ir_1,shap_list_ir_1_subset_123,X2,localMax_X2,0.06384234721250583,-0.007060214643742915,0.010665425820319277
152,shap_list_ir_1,shap_list_ir_1_subset_123,X3,localMax_X3,-0.0017895364555973459,0.0332785502426799,0.05081259359181853
153,shap_list_ir_1,shap_list_ir_1_subset_123,X4,localMax_X4,0.18795475370450107,0.15644203338759577,0.21946747402140637
154,shap_list_ir_1,shap_list_ir_1_subset_123,X5,localMax_X5,0.07234012743272697,0.0961667815551675,0.119993435677608
155,shap_list_ir_1,shap_list_ir_1_subset_123,X6,localMax_X6,0.13785727041270845,0.1696497398143014,-0.05289754599684912
156,shap_list_ir_1,shap_list_ir_1_subset_124,X1,localMax_X1,0.013074577115475931,0.03693032845880947,0.04885820413047623
157,shap_list_ir_1,shap_list_ir_1_subset_124,X2,localMax_X2,-0.002674888209558343,0.03260531976943455,0.050245423758931
