,imbalanceRatio,Subset,feature,Indicator,freq1,freq2,freq3
0,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_35,X1,localMax_X1,0.03538920142324695,0.0585837681458728,0.04698648478455988
1,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_35,X2,localMax_X2,0.045169330680846706,0.06192846929443224,0.028410192067261184
2,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_35,X3,localMax_X3,-0.015123592731655214,0.05411599396934848,0.04257606285251453
3,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_35,X4,localMax_X4,0.11698868086524175,0.14120324004471582,0.1654177992241899
4,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_35,X5,localMax_X5,0.06743584100082262,0.08650154462704776,0.10556724825327289
5,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_35,X6,localMax_X6,0.10232635595611012,0.12698808843976184,0.003679426021503243
6,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_88,X1,localMax_X1,0.07093822092084855,0.03008581417667089,0.05051201754875971
7,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_88,X2,localMax_X2,0.01131391786028807,0.029372662673802313,0.04743140748731656
8,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_88,X3,localMax_X3,-0.023223916917271194,0.09842171194879228,-0.005845969936404981
9,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_88,X4,localMax_X4,0.14333766806841758,0.17957980342653315,-0.03787300872216025
10,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_88,X5,localMax_X5,0.09875302313826329,0.1266948814902689,0.18257859819428007
11,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_88,X6,localMax_X6,0.09651422983714725,0.06861814958225293,0.12441031009204156
12,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_94,X1,localMax_X1,0.08798977700497566,0.013622476751326273,0.03841157683587607
13,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_94,X2,localMax_X2,0.04992015469798479,0.0048549747843880525,0.01987670142225363
14,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_94,X3,localMax_X3,-0.013686956738853673,0.06930524496954477,0.027809144115345547
