,imbalanceRatio,Subset,feature,Indicator,freq1,freq2,freq3
0,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,X1,localMax_X1,0.3781742,1.1496568,0.76391554
1,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,X2,localMax_X2,-0.5327582,0.6375059,0.34493983
2,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,X3,localMax_X3,-0.71174157,0.7526197,0.6061836
3,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,X4,localMax_X4,1.9969592,1.5709536,2.422965
4,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,X5,localMax_X5,0.49221265,0.8847041,1.2771955
5,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,X6,localMax_X6,0.57974184,0.3147608,0.84472275
6,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,X1,localMax_X1,0.99411726,0.021291971,0.66984224
7,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,X2,localMax_X2,0.3063516,0.06561786,-0.17511588
8,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,X3,localMax_X3,-0.58758754,1.0324444,0.5464348
9,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,X4,localMax_X4,0.5655829,1.3904538,0.9780183
10,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,X5,localMax_X5,0.759356,1.1041253,0.41458654
11,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,X6,localMax_X6,0.38267136,0.75591934,0.5692953
12,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_143,X1,localMax_X1,0.7412722,0.3948753,1.0876689
13,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_143,X2,localMax_X2,1.8153836,0.7833884,0.5769893
14,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_143,X3,localMax_X3,-0.05014175,0.25799668,0.72020435
15,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_143,X4,localMax_X4,1.0086803,1.3359957,1.6633108
16,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_143,X5,localMax_X5,0.6142523,0.84403193,1.0738115
17,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_143,X6,localMax_X6,0.95733535,0.75225556,1.1624151
18,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_50,X1,localMax_X1,0.30239952,0.9372579,0.6198287
19,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_50,X2,localMax_X2,-0.004753351,0.27838147,0.5615163
20,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_50,X3,localMax_X3,-0.6330738,1.5804332,1.8017839
21,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_50,X4,localMax_X4,1.5129898,1.2286619,0.94433415
22,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_50,X5,localMax_X5,0.58523715,1.0156426,1.4460483
23,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_50,X6,localMax_X6,0.8193735,1.1102755,0.5284716
24,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_65,X1,localMax_X1,1.0779083,0.582443,0.83017564
25,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_65,X2,localMax_X2,0.10199696,-0.2744577,-0.46268505
26,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_65,X3,localMax_X3,0.6449328,0.08050561,-0.032379836
27,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_65,X4,localMax_X4,1.4220116,1.1851281,0.9482446
28,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_65,X5,localMax_X5,0.81544566,0.5364231,0.25740063
29,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_65,X6,localMax_X6,1.2185292,1.5201936,0.9168649
30,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_19,X1,localMax_X1,0.91615224,1.305536,0.1373843
31,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_19,X2,localMax_X2,-0.38195717,0.51058114,0.8080939
32,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_19,X3,localMax_X3,-0.32189792,0.5303823,0.65213656
33,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_19,X4,localMax_X4,1.4318795,1.0270865,1.8366728
34,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_19,X5,localMax_X5,0.7032881,1.1417332,1.580178
35,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_19,X6,localMax_X6,0.54441035,1.1334815,0.83894587
36,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_133,X1,localMax_X1,1.3404001,-0.6641207,1.0320123
37,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_133,X2,localMax_X2,0.19268334,1.288149,0.46654975
38,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_133,X3,localMax_X3,-0.22973824,0.7142775,0.5794182
39,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_133,X4,localMax_X4,1.3708729,1.1787484,0.6023748
40,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_133,X5,localMax_X5,0.6025927,1.3298047,0.9661987
41,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_133,X6,localMax_X6,0.95803905,0.5595162,1.1573005
42,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_15,X1,localMax_X1,2.0663888,0.60380864,2.4320338
43,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_15,X2,localMax_X2,-0.23185718,-0.43654072,0.79156053
44,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_15,X3,localMax_X3,0.62853813,0.40944862,0.190359
45,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_15,X4,localMax_X4,0.8717642,1.1921163,1.5124681
46,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_15,X5,localMax_X5,0.90938056,1.1809082,0.637853
47,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_15,X6,localMax_X6,1.5344177,1.2985597,1.0627016
48,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_67,X1,localMax_X1,0.09895241,1.1542088,1.505961
49,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_67,X2,localMax_X2,-0.5037557,1.2486532,0.24727666
50,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_67,X3,localMax_X3,-0.11616632,0.57070357,0.68518186
51,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_67,X4,localMax_X4,1.0081958,0.707708,0.40722036
