,imbalanceRatio,Subset,Indicator,Sorted_Features
0,shap_list_ir_1,shap_list_ir_1_subset_100,orderMean,"['X4', 'X6', 'X2', 'X3', 'X1', 'X5']"
1,shap_list_ir_1,shap_list_ir_1_subset_100,orderStd,"['X3', 'X4', 'X6', 'X2', 'X1', 'X5']"
2,shap_list_ir_1,shap_list_ir_1_subset_100,orderSum,"['X4', 'X6', 'X2', 'X3', 'X1', 'X5']"
3,shap_list_ir_1,shap_list_ir_1_subset_101,orderMean,"['X4', 'X5', 'X6', 'X1', 'X3', 'X2']"
4,shap_list_ir_1,shap_list_ir_1_subset_101,orderStd,"['X5', 'X4', 'X6', 'X1', 'X3', 'X2']"
5,shap_list_ir_1,shap_list_ir_1_subset_101,orderSum,"['X4', 'X5', 'X6', 'X1', 'X3', 'X2']"
6,shap_list_ir_1,shap_list_ir_1_subset_102,orderMean,"['X4', 'X5', 'X3', 'X6', 'X2', 'X1']"
7,shap_list_ir_1,shap_list_ir_1_subset_102,orderStd,"['X5', 'X4', 'X3', 'X2', 'X6', 'X1']"
8,shap_list_ir_1,shap_list_ir_1_subset_102,orderSum,"['X4', 'X5', 'X3', 'X6', 'X2', 'X1']"
9,shap_list_ir_1,shap_list_ir_1_subset_103,orderMean,"['X4', 'X5', 'X3', 'X6', 'X1', 'X2']"
10,shap_list_ir_1,shap_list_ir_1_subset_103,orderStd,"['X3', 'X4', 'X1', 'X5', 'X6', 'X2']"
11,shap_list_ir_1,shap_list_ir_1_subset_103,orderSum,"['X4', 'X5', 'X3', 'X6', 'X1', 'X2']"
12,shap_list_ir_1,shap_list_ir_1_subset_104,orderMean,"['X1', 'X4', 'X3', 'X2', 'X6', 'X5']"
13,shap_list_ir_1,shap_list_ir_1_subset_104,orderStd,"['X1', 'X3', 'X2', 'X4', 'X6', 'X5']"
14,shap_list_ir_1,shap_list_ir_1_subset_104,orderSum,"['X1', 'X4', 'X3', 'X2', 'X6', 'X5']"
15,shap_list_ir_1,shap_list_ir_1_subset_105,orderMean,"['X4', 'X1', 'X2', 'X5', 'X6', 'X3']"
16,shap_list_ir_1,shap_list_ir_1_subset_105,orderStd,"['X3', 'X1', 'X2', 'X4', 'X6', 'X5']"
17,shap_list_ir_1,shap_list_ir_1_subset_105,orderSum,"['X4', 'X1', 'X2', 'X5', 'X6', 'X3']"
18,shap_list_ir_1,shap_list_ir_1_subset_106,orderMean,"['X4', 'X5', 'X6', 'X2', 'X1', 'X3']"
19,shap_list_ir_1,shap_list_ir_1_subset_106,orderStd,"['X6', 'X4', 'X2', 'X5', 'X3', 'X1']"
20,shap_list_ir_1,shap_list_ir_1_subset_106,orderSum,"['X4', 'X5', 'X6', 'X2', 'X1', 'X3']"
21,shap_list_ir_1,shap_list_ir_1_subset_107,orderMean,"['X4', 'X1', 'X5', 'X6', 'X2', 'X3']"
22,shap_list_ir_1,shap_list_ir_1_subset_107,orderStd,"['X4', 'X3', 'X1', 'X2', 'X5', 'X6']"
