,imbalanceRatio,Subset,Indicator,Sorted_Features
0,lr_shap_list_ir_2,lr_shap_list_ir_2_subset_147,orderMean,"['X2', 'X3', 'X4', 'X1', 'X6', 'X5']"
1,lr_shap_list_ir_2,lr_shap_list_ir_2_subset_147,orderStd,"['X3', 'X2', 'X1', 'X5', 'X4', 'X6']"
2,lr_shap_list_ir_2,lr_shap_list_ir_2_subset_147,orderSum,"['X2', 'X3', 'X4', 'X1', 'X6', 'X5']"
3,lr_shap_list_ir_5,lr_shap_list_ir_5_subset_19,orderMean,"['X4', 'X5', 'X3', 'X1', 'X2', 'X6']"
4,lr_shap_list_ir_5,lr_shap_list_ir_5_subset_19,orderStd,"['X5', 'X4', 'X3', 'X1', 'X2', 'X6']"
5,lr_shap_list_ir_5,lr_shap_list_ir_5_subset_19,orderSum,"['X4', 'X5', 'X3', 'X1', 'X2', 'X6']"
6,lr_shap_list_ir_3,lr_shap_list_ir_3_subset_39,orderMean,"['X5', 'X4', 'X1', 'X2', 'X3', 'X6']"
7,lr_shap_list_ir_3,lr_shap_list_ir_3_subset_39,orderStd,"['X5', 'X1', 'X2', 'X3', 'X4', 'X6']"
8,lr_shap_list_ir_3,lr_shap_list_ir_3_subset_39,orderSum,"['X5', 'X4', 'X1', 'X2', 'X3', 'X6']"
9,lr_shap_list_ir_1,lr_shap_list_ir_1_subset_100,orderMean,"['X3', 'X6', 'X1', 'X4', 'X5', 'X2']"
10,lr_shap_list_ir_1,lr_shap_list_ir_1_subset_100,orderStd,"['X3', 'X1', 'X5', 'X6', 'X4', 'X2']"
11,lr_shap_list_ir_1,lr_shap_list_ir_1_subset_100,orderSum,"['X3', 'X6', 'X1', 'X4', 'X5', 'X2']"
12,lr_shap_list_ir_4,lr_shap_list_ir_4_subset_147,orderMean,"['X4', 'X2', 'X3', 'X5', 'X1', 'X6']"
13,lr_shap_list_ir_4,lr_shap_list_ir_4_subset_147,orderStd,"['X3', 'X2', 'X4', 'X5', 'X1', 'X6']"
14,lr_shap_list_ir_4,lr_shap_list_ir_4_subset_147,orderSum,"['X4', 'X2', 'X3', 'X5', 'X1', 'X6']"
15,lr_shap_list_ir_4,lr_shap_list_ir_4_subset_55,orderMean,"['X4', 'X2', 'X5', 'X3', 'X1', 'X6']"
16,lr_shap_list_ir_4,lr_shap_list_ir_4_subset_55,orderStd,"['X2', 'X5', 'X3', 'X4', 'X1', 'X6']"
17,lr_shap_list_ir_4,lr_shap_list_ir_4_subset_55,orderSum,"['X4', 'X2', 'X5', 'X3', 'X1', 'X6']"
18,lr_shap_list_ir_4,lr_shap_list_ir_4_subset_146,orderMean,"['X4', 'X3', 'X5', 'X2', 'X1', 'X6']"
19,lr_shap_list_ir_4,lr_shap_list_ir_4_subset_146,orderStd,"['X5', 'X3', 'X4', 'X2', 'X1', 'X6']"
20,lr_shap_list_ir_4,lr_shap_list_ir_4_subset_146,orderSum,"['X4', 'X3', 'X5', 'X2', 'X1', 'X6']"
21,lr_shap_list_ir_1,lr_shap_list_ir_1_subset_68,orderMean,"['X2', 'X4', 'X3', 'X5', 'X6', 'X1']"
22,lr_shap_list_ir_1,lr_shap_list_ir_1_subset_68,orderStd,"['X2', 'X3', 'X5', 'X4', 'X1', 'X6']"
23,lr_shap_list_ir_1,lr_shap_list_ir_1_subset_68,orderSum,"['X2', 'X4', 'X3', 'X5', 'X6', 'X1']"
24,lr_shap_list_ir_1,lr_shap_list_ir_1_subset_99,orderMean,"['X3', 'X4', 'X2', 'X1', 'X6', 'X5']"
25,lr_shap_list_ir_1,lr_shap_list_ir_1_subset_99,orderStd,"['X3', 'X2', 'X4', 'X1', 'X5', 'X6']"
26,lr_shap_list_ir_1,lr_shap_list_ir_1_subset_99,orderSum,"['X3', 'X4', 'X2', 'X1', 'X6', 'X5']"
27,lr_shap_list_ir_4,lr_shap_list_ir_4_subset_145,orderMean,"['X3', 'X4', 'X5', 'X2', 'X1', 'X6']"
28,lr_shap_list_ir_4,lr_shap_list_ir_4_subset_145,orderStd,"['X3', 'X5', 'X4', 'X2', 'X1', 'X6']"
29,lr_shap_list_ir_4,lr_shap_list_ir_4_subset_145,orderSum,"['X3', 'X4', 'X5', 'X2', 'X1', 'X6']"
30,lr_shap_list_ir_4,lr_shap_list_ir_4_subset_128,orderMean,"['X5', 'X4', 'X2', 'X1', 'X3', 'X6']"
31,lr_shap_list_ir_4,lr_shap_list_ir_4_subset_128,orderStd,"['X5', 'X1', 'X2', 'X4', 'X3', 'X6']"
32,lr_shap_list_ir_4,lr_shap_list_ir_4_subset_128,orderSum,"['X5', 'X4', 'X2', 'X1', 'X3', 'X6']"
33,lr_shap_list_ir_1,lr_shap_list_ir_1_subset_61,orderMean,"['X6', 'X3', 'X4', 'X2', 'X5', 'X1']"
34,lr_shap_list_ir_1,lr_shap_list_ir_1_subset_61,orderStd,"['X3', 'X2', 'X6', 'X4', 'X5', 'X1']"
35,lr_shap_list_ir_1,lr_shap_list_ir_1_subset_61,orderSum,"['X6', 'X3', 'X4', 'X2', 'X5', 'X1']"
36,lr_shap_list_ir_5,lr_shap_list_ir_5_subset_96,orderMean,"['X4', 'X3', 'X5', 'X2', 'X1', 'X6']"
37,lr_shap_list_ir_5,lr_shap_list_ir_5_subset_96,orderStd,"['X3', 'X5', 'X4', 'X2', 'X1', 'X6']"
