,imbalanceRatio,Subset,Indicator,Sorted_Features
0,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,orderMean,"['X5', 'X1', 'X2', 'X4', 'X3', 'X6']"
1,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,orderStd,"['X5', 'X1', 'X2', 'X4', 'X3', 'X6']"
2,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,orderSum,"['X5', 'X1', 'X2', 'X4', 'X3', 'X6']"
3,mlp_shap_list_ir_2,mlp_shap_list_ir_2_subset_14,orderMean,"['X4', 'X5', 'X1', 'X6', 'X2', 'X3']"
4,mlp_shap_list_ir_2,mlp_shap_list_ir_2_subset_14,orderStd,"['X5', 'X4', 'X1', 'X2', 'X6', 'X3']"
5,mlp_shap_list_ir_2,mlp_shap_list_ir_2_subset_14,orderSum,"['X4', 'X5', 'X1', 'X6', 'X2', 'X3']"
6,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_147,orderMean,"['X5', 'X6', 'X4', 'X2', 'X1', 'X3']"
7,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_147,orderStd,"['X5', 'X4', 'X6', 'X1', 'X2', 'X3']"
8,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_147,orderSum,"['X5', 'X6', 'X4', 'X2', 'X1', 'X3']"
9,mlp_shap_list_ir_3,mlp_shap_list_ir_3_subset_128,orderMean,"['X1', 'X5', 'X4', 'X6', 'X2', 'X3']"
10,mlp_shap_list_ir_3,mlp_shap_list_ir_3_subset_128,orderStd,"['X1', 'X5', 'X4', 'X6', 'X2', 'X3']"
11,mlp_shap_list_ir_3,mlp_shap_list_ir_3_subset_128,orderSum,"['X1', 'X5', 'X4', 'X6', 'X2', 'X3']"
12,mlp_shap_list_ir_3,mlp_shap_list_ir_3_subset_2,orderMean,"['X4', 'X1', 'X6', 'X5', 'X2', 'X3']"
13,mlp_shap_list_ir_3,mlp_shap_list_ir_3_subset_2,orderStd,"['X6', 'X4', 'X1', 'X3', 'X5', 'X2']"
14,mlp_shap_list_ir_3,mlp_shap_list_ir_3_subset_2,orderSum,"['X4', 'X1', 'X6', 'X5', 'X2', 'X3']"
15,mlp_shap_list_ir_2,mlp_shap_list_ir_2_subset_124,orderMean,"['X5', 'X1', 'X4', 'X6', 'X3', 'X2']"
16,mlp_shap_list_ir_2,mlp_shap_list_ir_2_subset_124,orderStd,"['X1', 'X5', 'X3', 'X4', 'X6', 'X2']"
17,mlp_shap_list_ir_2,mlp_shap_list_ir_2_subset_124,orderSum,"['X5', 'X1', 'X4', 'X6', 'X3', 'X2']"
