,imbalanceRatio,Subset,Indicator,Sorted_Features
0,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_35,orderMean,"['X4', 'X5', 'X6', 'X2', 'X1', 'X3']"
1,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_35,orderStd,"['X4', 'X6', 'X5', 'X3', 'X2', 'X1']"
2,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_35,orderSum,"['X4', 'X5', 'X6', 'X2', 'X1', 'X3']"
3,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_88,orderMean,"['X4', 'X5', 'X6', 'X3', 'X1', 'X2']"
4,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_88,orderStd,"['X4', 'X5', 'X3', 'X6', 'X2', 'X1']"
5,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_88,orderSum,"['X4', 'X5', 'X6', 'X3', 'X1', 'X2']"
6,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_94,orderMean,"['X5', 'X4', 'X6', 'X1', 'X2', 'X3']"
7,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_94,orderStd,"['X5', 'X4', 'X1', 'X3', 'X6', 'X2']"
8,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_94,orderSum,"['X5', 'X4', 'X6', 'X1', 'X2', 'X3']"
9,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_129,orderMean,"['X4', 'X6', 'X1', 'X2', 'X3', 'X5']"
10,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_129,orderStd,"['X4', 'X3', 'X6', 'X1', 'X2', 'X5']"
11,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_129,orderSum,"['X4', 'X6', 'X1', 'X2', 'X3', 'X5']"
12,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_68,orderMean,"['X4', 'X5', 'X6', 'X3', 'X1', 'X2']"
13,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_68,orderStd,"['X4', 'X3', 'X5', 'X2', 'X6', 'X1']"
14,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_68,orderSum,"['X4', 'X5', 'X6', 'X3', 'X1', 'X2']"
15,rf_shap_list_ir_5,rf_shap_list_ir_5_subset_23,orderMean,"['X4', 'X5', 'X6', 'X3', 'X1', 'X2']"
16,rf_shap_list_ir_5,rf_shap_list_ir_5_subset_23,orderStd,"['X4', 'X5', 'X6', 'X2', 'X3', 'X1']"
17,rf_shap_list_ir_5,rf_shap_list_ir_5_subset_23,orderSum,"['X4', 'X5', 'X6', 'X3', 'X1', 'X2']"
18,rf_shap_list_ir_2,rf_shap_list_ir_2_subset_37,orderMean,"['X4', 'X3', 'X1', 'X6', 'X5', 'X2']"
19,rf_shap_list_ir_2,rf_shap_list_ir_2_subset_37,orderStd,"['X3', 'X4', 'X2', 'X5', 'X6', 'X1']"
20,rf_shap_list_ir_2,rf_shap_list_ir_2_subset_37,orderSum,"['X4', 'X3', 'X1', 'X6', 'X5', 'X2']"
21,rf_shap_list_ir_5,rf_shap_list_ir_5_subset_112,orderMean,"['X4', 'X5', 'X6', 'X3', 'X1', 'X2']"
22,rf_shap_list_ir_5,rf_shap_list_ir_5_subset_112,orderStd,"['X4', 'X5', 'X3', 'X2', 'X6', 'X1']"
23,rf_shap_list_ir_5,rf_shap_list_ir_5_subset_112,orderSum,"['X4', 'X5', 'X6', 'X3', 'X1', 'X2']"
24,rf_shap_list_ir_4,rf_shap_list_ir_4_subset_86,orderMean,"['X4', 'X5', 'X6', 'X1', 'X3', 'X2']"
25,rf_shap_list_ir_4,rf_shap_list_ir_4_subset_86,orderStd,"['X4', 'X5', 'X6', 'X3', 'X1', 'X2']"
26,rf_shap_list_ir_4,rf_shap_list_ir_4_subset_86,orderSum,"['X4', 'X5', 'X6', 'X1', 'X3', 'X2']"
27,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_57,orderMean,"['X4', 'X5', 'X1', 'X6', 'X2', 'X3']"
28,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_57,orderStd,"['X4', 'X5', 'X1', 'X2', 'X3', 'X6']"
29,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_57,orderSum,"['X4', 'X5', 'X1', 'X6', 'X2', 'X3']"
30,rf_shap_list_ir_2,rf_shap_list_ir_2_subset_116,orderMean,"['X4', 'X5', 'X6', 'X1', 'X3', 'X2']"
31,rf_shap_list_ir_2,rf_shap_list_ir_2_subset_116,orderStd,"['X4', 'X6', 'X3', 'X5', 'X2', 'X1']"
32,rf_shap_list_ir_2,rf_shap_list_ir_2_subset_116,orderSum,"['X4', 'X5', 'X6', 'X1', 'X3', 'X2']"
33,rf_shap_list_ir_4,rf_shap_list_ir_4_subset_106,orderMean,"['X4', 'X5', 'X1', 'X6', 'X3', 'X2']"
34,rf_shap_list_ir_4,rf_shap_list_ir_4_subset_106,orderStd,"['X4', 'X3', 'X5', 'X1', 'X2', 'X6']"
35,rf_shap_list_ir_4,rf_shap_list_ir_4_subset_106,orderSum,"['X4', 'X5', 'X1', 'X6', 'X3', 'X2']"
36,rf_shap_list_ir_4,rf_shap_list_ir_4_subset_49,orderMean,"['X4', 'X5', 'X1', 'X6', 'X3', 'X2']"
37,rf_shap_list_ir_4,rf_shap_list_ir_4_subset_49,orderStd,"['X4', 'X5', 'X2', 'X1', 'X3', 'X6']"
38,rf_shap_list_ir_4,rf_shap_list_ir_4_subset_49,orderSum,"['X4', 'X5', 'X1', 'X6', 'X3', 'X2']"
39,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_22,orderMean,"['X4', 'X5', 'X1', 'X6', 'X2', 'X3']"
40,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_22,orderStd,"['X1', 'X4', 'X5', 'X3', 'X6', 'X2']"
41,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_22,orderSum,"['X4', 'X5', 'X1', 'X6', 'X2', 'X3']"
42,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_65,orderMean,"['X6', 'X4', 'X1', 'X5', 'X3', 'X2']"
43,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_65,orderStd,"['X4', 'X3', 'X6', 'X2', 'X1', 'X5']"
44,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_65,orderSum,"['X6', 'X4', 'X1', 'X5', 'X3', 'X2']"
45,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_116,orderMean,"['X4', 'X5', 'X6', 'X1', 'X3', 'X2']"
46,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_116,orderStd,"['X4', 'X3', 'X5', 'X6', 'X2', 'X1']"
47,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_116,orderSum,"['X4', 'X5', 'X6', 'X1', 'X3', 'X2']"
48,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_109,orderMean,"['X4', 'X6', 'X1', 'X5', 'X3', 'X2']"
49,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_109,orderStd,"['X4', 'X3', 'X2', 'X5', 'X1', 'X6']"
50,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_109,orderSum,"['X4', 'X6', 'X1', 'X5', 'X3', 'X2']"
51,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_144,orderMean,"['X5', 'X4', 'X6', 'X1', 'X2', 'X3']"
52,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_144,orderStd,"['X5', 'X4', 'X3', 'X6', 'X2', 'X1']"
53,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_144,orderSum,"['X5', 'X4', 'X6', 'X1', 'X2', 'X3']"
54,rf_shap_list_ir_4,rf_shap_list_ir_4_subset_13,orderMean,"['X4', 'X5', 'X6', 'X3', 'X1', 'X2']"
55,rf_shap_list_ir_4,rf_shap_list_ir_4_subset_13,orderStd,"['X4', 'X5', 'X3', 'X2', 'X1', 'X6']"
56,rf_shap_list_ir_4,rf_shap_list_ir_4_subset_13,orderSum,"['X4', 'X5', 'X6', 'X3', 'X1', 'X2']"
57,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_120,orderMean,"['X4', 'X5', 'X6', 'X1', 'X3', 'X2']"
58,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_120,orderStd,"['X4', 'X5', 'X3', 'X6', 'X2', 'X1']"
59,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_120,orderSum,"['X4', 'X5', 'X6', 'X1', 'X3', 'X2']"
60,rf_shap_list_ir_2,rf_shap_list_ir_2_subset_78,orderMean,"['X4', 'X6', 'X5', 'X1', 'X2', 'X3']"
61,rf_shap_list_ir_2,rf_shap_list_ir_2_subset_78,orderStd,"['X4', 'X6', 'X3', 'X5', 'X2', 'X1']"
62,rf_shap_list_ir_2,rf_shap_list_ir_2_subset_78,orderSum,"['X4', 'X6', 'X5', 'X1', 'X2', 'X3']"
63,rf_shap_list_ir_5,rf_shap_list_ir_5_subset_35,orderMean,"['X4', 'X5', 'X6', 'X1', 'X3', 'X2']"
64,rf_shap_list_ir_5,rf_shap_list_ir_5_subset_35,orderStd,"['X4', 'X5', 'X6', 'X2', 'X3', 'X1']"
65,rf_shap_list_ir_5,rf_shap_list_ir_5_subset_35,orderSum,"['X4', 'X5', 'X6', 'X1', 'X3', 'X2']"
66,rf_shap_list_ir_5,rf_shap_list_ir_5_subset_47,orderMean,"['X4', 'X5', 'X6', 'X1', 'X3', 'X2']"
67,rf_shap_list_ir_5,rf_shap_list_ir_5_subset_47,orderStd,"['X5', 'X4', 'X6', 'X1', 'X3', 'X2']"
68,rf_shap_list_ir_5,rf_shap_list_ir_5_subset_47,orderSum,"['X4', 'X5', 'X6', 'X1', 'X3', 'X2']"
69,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_84,orderMean,"['X4', 'X6', 'X5', 'X3', 'X1', 'X2']"
70,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_84,orderStd,"['X3', 'X4', 'X2', 'X6', 'X5', 'X1']"
71,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_84,orderSum,"['X4', 'X6', 'X5', 'X3', 'X1', 'X2']"
72,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_113,orderMean,"['X4', 'X1', 'X2', 'X5', 'X6', 'X3']"
73,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_113,orderStd,"['X4', 'X2', 'X3', 'X1', 'X5', 'X6']"
74,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_113,orderSum,"['X4', 'X1', 'X2', 'X5', 'X6', 'X3']"
75,rf_shap_list_ir_2,rf_shap_list_ir_2_subset_102,orderMean,"['X4', 'X5', 'X6', 'X2', 'X1', 'X3']"
76,rf_shap_list_ir_2,rf_shap_list_ir_2_subset_102,orderStd,"['X4', 'X3', 'X5', 'X2', 'X6', 'X1']"
77,rf_shap_list_ir_2,rf_shap_list_ir_2_subset_102,orderSum,"['X4', 'X5', 'X6', 'X2', 'X1', 'X3']"
78,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_92,orderMean,"['X4', 'X6', 'X5', 'X1', 'X2', 'X3']"
79,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_92,orderStd,"['X4', 'X5', 'X6', 'X2', 'X3', 'X1']"
80,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_92,orderSum,"['X4', 'X6', 'X5', 'X1', 'X2', 'X3']"
81,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_38,orderMean,"['X4', 'X5', 'X6', 'X2', 'X1', 'X3']"
