,imbalanceRatio,Subset,Indicator,Sorted_Features
0,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,orderMean,"['X4', 'X5', 'X1', 'X2', 'X6', 'X3']"
1,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,orderStd,"['X5', 'X4', 'X2', 'X1', 'X6', 'X3']"
2,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,orderSum,"['X4', 'X5', 'X1', 'X2', 'X6', 'X3']"
3,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,orderMean,"['X1', 'X4', 'X5', 'X3', 'X2', 'X6']"
4,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,orderStd,"['X2', 'X4', 'X1', 'X5', 'X3', 'X6']"
5,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,orderSum,"['X1', 'X4', 'X5', 'X3', 'X2', 'X6']"
6,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_143,orderMean,"['X2', 'X4', 'X6', 'X1', 'X5', 'X3']"
7,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_143,orderStd,"['X2', 'X1', 'X3', 'X4', 'X5', 'X6']"
8,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_143,orderSum,"['X2', 'X4', 'X6', 'X1', 'X5', 'X3']"
9,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_50,orderMean,"['X4', 'X5', 'X3', 'X6', 'X1', 'X2']"
10,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_50,orderStd,"['X5', 'X3', 'X2', 'X4', 'X1', 'X6']"
11,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_50,orderSum,"['X4', 'X5', 'X3', 'X6', 'X1', 'X2']"
12,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_65,orderMean,"['X6', 'X4', 'X1', 'X5', 'X2', 'X3']"
13,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_65,orderStd,"['X2', 'X1', 'X4', 'X6', 'X5', 'X3']"
14,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_65,orderSum,"['X6', 'X4', 'X1', 'X5', 'X2', 'X3']"
15,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_19,orderMean,"['X4', 'X5', 'X1', 'X6', 'X2', 'X3']"
16,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_19,orderStd,"['X5', 'X2', 'X4', 'X1', 'X6', 'X3']"
17,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_19,orderSum,"['X4', 'X5', 'X1', 'X6', 'X2', 'X3']"
18,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_133,orderMean,"['X5', 'X4', 'X6', 'X1', 'X2', 'X3']"
19,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_133,orderStd,"['X2', 'X5', 'X1', 'X4', 'X6', 'X3']"
20,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_133,orderSum,"['X5', 'X4', 'X6', 'X1', 'X2', 'X3']"
21,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_15,orderMean,"['X1', 'X6', 'X4', 'X5', 'X3', 'X2']"
22,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_15,orderStd,"['X1', 'X6', 'X2', 'X4', 'X3', 'X5']"
23,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_15,orderSum,"['X1', 'X6', 'X4', 'X5', 'X3', 'X2']"
24,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_67,orderMean,"['X5', 'X6', 'X4', 'X2', 'X1', 'X3']"
25,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_67,orderStd,"['X2', 'X5', 'X1', 'X4', 'X6', 'X3']"
26,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_67,orderSum,"['X5', 'X6', 'X4', 'X2', 'X1', 'X3']"
27,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_81,orderMean,"['X4', 'X5', 'X6', 'X2', 'X3', 'X1']"
28,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_81,orderStd,"['X5', 'X4', 'X2', 'X6', 'X1', 'X3']"
29,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_81,orderSum,"['X4', 'X5', 'X6', 'X2', 'X3', 'X1']"
30,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_59,orderMean,"['X4', 'X5', 'X6', 'X1', 'X3', 'X2']"
31,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_59,orderStd,"['X5', 'X4', 'X6', 'X2', 'X1', 'X3']"
32,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_59,orderSum,"['X4', 'X5', 'X6', 'X1', 'X3', 'X2']"
33,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_5,orderMean,"['X4', 'X1', 'X6', 'X5', 'X2', 'X3']"
34,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_5,orderStd,"['X1', 'X2', 'X6', 'X4', 'X5', 'X3']"
35,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_5,orderSum,"['X4', 'X1', 'X6', 'X5', 'X2', 'X3']"
