,index,shapMean,shapStd,shapSum,subset,imbalance_ratio
0,X1,0.7276185,0.5502823,756.72327,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
1,X2,0.7274203,0.63525313,756.5171,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
2,X3,0.69744676,0.36946535,725.3446,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
3,X4,1.6926404,0.8000743,1760.3461,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
4,X5,1.2065296,0.911177,1254.7908,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
5,X6,0.70492107,0.451426,733.1179,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
6,X1,0.91102123,0.5450778,947.4621,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
7,X2,0.64278895,0.69135094,668.5005,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
8,X3,0.7630281,0.37989196,793.5492,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
9,X4,0.8971715,0.6433037,933.05835,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
10,X5,0.8057998,0.4639995,838.0318,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
11,X6,0.56030285,0.2980194,582.71497,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
12,X1,0.9085886,0.49915266,944.9321,xgb_shap_list_ir_1_subset_143,xgb_shap_list_ir_1
13,X2,1.1447419,0.66139346,1190.5316,xgb_shap_list_ir_1_subset_143,xgb_shap_list_ir_1
14,X3,0.4368596,0.49158496,454.33398,xgb_shap_list_ir_1_subset_143,xgb_shap_list_ir_1
15,X4,1.1098982,0.44896558,1154.2942,xgb_shap_list_ir_1_subset_143,xgb_shap_list_ir_1
16,X5,0.86623627,0.29025978,900.88574,xgb_shap_list_ir_1_subset_143,xgb_shap_list_ir_1
17,X6,1.0111835,0.2288855,1051.6309,xgb_shap_list_ir_1_subset_143,xgb_shap_list_ir_1
18,X1,0.64363027,0.4494358,669.3755,xgb_shap_list_ir_3_subset_50,xgb_shap_list_ir_3
19,X2,0.50026506,0.59073585,520.27563,xgb_shap_list_ir_3_subset_50,xgb_shap_list_ir_3
20,X3,0.91210705,0.643546,948.5913,xgb_shap_list_ir_3_subset_50,xgb_shap_list_ir_3
21,X4,1.3248906,0.5281654,1377.8862,xgb_shap_list_ir_3_subset_50,xgb_shap_list_ir_3
22,X5,1.1931794,0.7465876,1240.9065,xgb_shap_list_ir_3_subset_50,xgb_shap_list_ir_3
23,X6,0.86527747,0.40565285,899.88855,xgb_shap_list_ir_3_subset_50,xgb_shap_list_ir_3
24,X1,0.93512034,0.45794332,972.52515,xgb_shap_list_ir_1_subset_65,xgb_shap_list_ir_1
25,X2,0.55897325,0.5476295,581.33215,xgb_shap_list_ir_1_subset_65,xgb_shap_list_ir_1
26,X3,0.44177416,0.26721263,459.44513,xgb_shap_list_ir_1_subset_65,xgb_shap_list_ir_1
27,X4,1.1151952,0.41684029,1159.803,xgb_shap_list_ir_1_subset_65,xgb_shap_list_ir_1
28,X5,0.6784907,0.32214546,705.6303,xgb_shap_list_ir_1_subset_65,xgb_shap_list_ir_1
29,X6,1.2261606,0.37428367,1275.207,xgb_shap_list_ir_1_subset_65,xgb_shap_list_ir_1
30,X1,0.8944441,0.5257397,930.22186,xgb_shap_list_ir_3_subset_19,xgb_shap_list_ir_3
31,X2,0.64890856,0.6242273,674.86487,xgb_shap_list_ir_3_subset_19,xgb_shap_list_ir_3
32,X3,0.4233805,0.26102555,440.3157,xgb_shap_list_ir_3_subset_19,xgb_shap_list_ir_3
33,X4,1.4532415,0.5624931,1511.3711,xgb_shap_list_ir_3_subset_19,xgb_shap_list_ir_3
34,X5,1.2129577,0.8262713,1261.4761,xgb_shap_list_ir_3_subset_19,xgb_shap_list_ir_3
35,X6,0.79101115,0.50791,822.6516,xgb_shap_list_ir_3_subset_19,xgb_shap_list_ir_3
36,X1,0.87607,0.4511029,911.11285,xgb_shap_list_ir_1_subset_133,xgb_shap_list_ir_1
