,imbalanceRatio,Subset,feature,Indicator,freq1,freq2,freq3
0,shap_list_ir_1,shap_list_ir_1_subset_1000,AGE,localMax_AGE,0.2636485988238091,0.20481199850025655,0.23423029866203282
1,shap_list_ir_1,shap_list_ir_1_subset_1000,SEX_FEMALE,localMax_SEX_FEMALE,0.008317021300154749,-0.0041740879732237186,0.002071466663465516
2,shap_list_ir_1,shap_list_ir_1_subset_1000,DIABETES,localMax_DIABETES,0.03415654849786026,-0.023610770030204994,0.09192386702592548
3,shap_list_ir_1,shap_list_ir_1_subset_1000,HEART_FAILURE,localMax_HEART_FAILURE,0.007592178073137321,-0.008752557502639868,0.0566263848004689
4,shap_list_ir_1,shap_list_ir_1_subset_1000,COPD,localMax_COPD,0.005318061798155485,-0.0030503225795672356,0.03042321493132366
5,shap_list_ir_1,shap_list_ir_1_subset_1000,HYPERTENSION,localMax_HYPERTENSION,0.10758982173960413,0.09086800087455799,0.12431164260465027
6,shap_list_ir_1,shap_list_ir_1_subset_1000,DEPRESSION,localMax_DEPRESSION,0.004052463719265861,0.0001948594735396575,-0.0036627447721865464
7,shap_list_ir_1,shap_list_ir_1_subset_1000,ISCHEMIC_HEART_DISEASE,localMax_ISCHEMIC_HEART_DISEASE,0.0018490885721940895,-0.002763027192903604,0.0064612043372917795
8,shap_list_ir_1,shap_list_ir_1_subset_1000,STROKE,localMax_STROKE,0.001414817995241284,-0.005431169970864312,0.00826080596134688
9,shap_list_ir_1,shap_list_ir_1_subset_1000,CHRONIC_KIDNEY_DISEASE,localMax_CHRONIC_KIDNEY_DISEASE,0.018302289282981,0.0016399527079246634,-0.015022383867131672
10,shap_list_ir_1,shap_list_ir_1_subset_1000,CIRRHOSIS,localMax_CIRRHOSIS,-0.0006976405495977764,0.01705720193516997,0.04368946566232158
11,shap_list_ir_1,shap_list_ir_1_subset_1000,OSTEOPOROSIS,localMax_OSTEOPOROSIS,0.0007609886695642866,0.005041120373756421,-0.0035191430346278516
12,shap_list_ir_1,shap_list_ir_1_subset_1000,ARTHROSIS,localMax_ARTHROSIS,0.003967104365463669,0.00026338179297320796,-0.003440340779517253
13,shap_list_ir_1,shap_list_ir_1_subset_1000,ARTHRITIS,localMax_ARTHRITIS,0.0014420987040963777,-0.0016385667150567128,0.004522764123249468
14,shap_list_ir_1,shap_list_ir_1_subset_1000,DEMENTIA,localMax_DEMENTIA,0.009600856503070486,-0.0038330043790647944,-0.017266865261200068
15,shap_list_ir_1,shap_list_ir_1_subset_1000,OBESITY,localMax_OBESITY,0.0012815466859988616,-0.001209175670514217,0.00377226904251194
16,shap_list_ir_1,shap_list_ir_1_subset_1000,ASTHMA,localMax_ASTHMA,-0.0036610588761328,0.021776354021323815,0.03449506047005213
17,shap_list_ir_1,shap_list_ir_1_subset_100,AGE,localMax_AGE,0.2776355136353836,0.24616392185149932,0.18322073828373084
18,shap_list_ir_1,shap_list_ir_1_subset_100,SEX_FEMALE,localMax_SEX_FEMALE,0.004784765970100828,-0.0018969741293601104,0.007012012669921141
19,shap_list_ir_1,shap_list_ir_1_subset_100,DIABETES,localMax_DIABETES,0.034589885479194754,-0.03093104860009544,0.018209651959372214
20,shap_list_ir_1,shap_list_ir_1_subset_100,HEART_FAILURE,localMax_HEART_FAILURE,0.006096916498558945,-0.00121381740854095,-0.008524551315640845
21,shap_list_ir_1,shap_list_ir_1_subset_100,COPD,localMax_COPD,0.0018700759561087708,-0.0021970581296599893,-0.006264192215428748
22,shap_list_ir_1,shap_list_ir_1_subset_100,HYPERTENSION,localMax_HYPERTENSION,0.0651830533563141,0.07814097784259715,0.05222512887003103
23,shap_list_ir_1,shap_list_ir_1_subset_100,DEPRESSION,localMax_DEPRESSION,0.0042190247566577695,-0.0022543028519055666,0.0009823609523761032
24,shap_list_ir_1,shap_list_ir_1_subset_100,ISCHEMIC_HEART_DISEASE,localMax_ISCHEMIC_HEART_DISEASE,0.001944112075853155,-0.003859479437532117,0.0077477035892384305
25,shap_list_ir_1,shap_list_ir_1_subset_100,STROKE,localMax_STROKE,0.015040217046937449,-0.009459846881400988,0.06404034490361432
26,shap_list_ir_1,shap_list_ir_1_subset_100,CHRONIC_KIDNEY_DISEASE,localMax_CHRONIC_KIDNEY_DISEASE,0.023171647810161067,0.009360419995431968,-0.01826203563402623
27,shap_list_ir_1,shap_list_ir_1_subset_100,CIRRHOSIS,localMax_CIRRHOSIS,-6.981427460800438e-05,0.005834600756909794,-0.005974229306125799
28,shap_list_ir_1,shap_list_ir_1_subset_100,OSTEOPOROSIS,localMax_OSTEOPOROSIS,-0.0016909556580508509,0.00637645242211983,-0.025893179898562897
29,shap_list_ir_1,shap_list_ir_1_subset_100,ARTHROSIS,localMax_ARTHROSIS,0.007989469547160663,-0.0007201125933667812,-0.009429694733894219
30,shap_list_ir_1,shap_list_ir_1_subset_100,ARTHRITIS,localMax_ARTHRITIS,-0.0021547713196628307,0.003534884236770952,-0.007844426876096613
31,shap_list_ir_1,shap_list_ir_1_subset_100,DEMENTIA,localMax_DEMENTIA,0.00848467052455755,-0.0063158071570001105,0.0010844316837787214
32,shap_list_ir_1,shap_list_ir_1_subset_100,OBESITY,localMax_OBESITY,0.0032440483797845886,0.0005806154309239732,-0.0020828175179366405
33,shap_list_ir_1,shap_list_ir_1_subset_100,ASTHMA,localMax_ASTHMA,-0.0028871432841160866,0.0035699108488371975,0.01648401911474376
34,shap_list_ir_1,shap_list_ir_1_subset_101,AGE,localMax_AGE,0.25701833472319585,0.22675548832173842,0.196492641920281
35,shap_list_ir_1,shap_list_ir_1_subset_101,SEX_FEMALE,localMax_SEX_FEMALE,0.01414765982700393,-0.010682487955322216,-0.006544129991601191
36,shap_list_ir_1,shap_list_ir_1_subset_101,DIABETES,localMax_DIABETES,0.021287579508982565,0.0367083567067977,-0.024974752084462863
37,shap_list_ir_1,shap_list_ir_1_subset_101,HEART_FAILURE,localMax_HEART_FAILURE,0.01702698523663987,-0.011315856146187409,0.00285556454522623
38,shap_list_ir_1,shap_list_ir_1_subset_101,COPD,localMax_COPD,0.0010056634938143856,-0.004247052276879288,0.006258379264508056
