,1,2,3,4,5
Aattr,1,2,3,4,5
Battr,1,2,3,4,5
Cattr,1,2,3,4,5
Dattr,1,2,4,5,3
Eattr,1,2,3,4,5
Fattr,1,2,4,3,5
A1attr,1,2,3,4,5
B2attr,1,2,3,5,4
C3attr,1,2,3,4,5
D4attr,1,3,2,2,2
E5attr,1,2,3,4,5
F6attr,1,2,3,4,4
A7attr,1,2,3,4,5
B8attr,1,2,3,4,5
C9attr,1,2,3,4,5
D10attr,1,2,3,4,4
E11attr,1,4,2,3,4
F12attr,1,3,3,2,3
A13attr,1,2,3,4,5
B14attr,1,3,2,2,2
C15attr,1,2,3,3,3
D16attr,1,2,3,4,4
E17attr,1,2,3,4,5
F18attr,1,2,3,3,3
A19attr,1,2,3,3,3
B20attr,1,2,3,4,4
C21attr,1,2,3,4,5
D22attr,1,2,3,4,4
E23attr,1,2,3,4,5
F24attr,1,2,3,4,5
A25attr,1,2,3,5,4
B26attr,1,2,3,4,5
C27attr,1,2,3,3,4
D28attr,1,2,3,2,3
E29attr,1,2,3,4,5
F30attr,1,2,3,5,4
