,1,2,3,4,5
Aattr,3,4,3,2,1
Battr,1,2,3,4,5
Cattr,1,1,1,1,1
Dattr,1,1,1,1,1
Eattr,3,2,4,2,1
Fattr,1,2,3,4,5
A1attr,1,2,3,4,5
B2attr,1,2,3,3,4
C3attr,2,3,1,1,1
D4attr,1,2,3,4,5
E5attr,1,2,3,3,3
F6attr,1,1,1,1,2
A7attr,5,4,3,2,1
B8attr,2,1,2,2,2
C9attr,1,1,1,2,3
D10attr,3,1,2,2,2
E11attr,5,4,3,2,1
F12attr,5,4,3,2,1
A13attr,3,2,1,2,1
B14attr,5,4,3,2,1
C15attr,5,4,3,2,1
D16attr,1,2,2,3,4
E17attr,3,3,2,1,1
F18attr,5,4,3,2,1
A19attr,1,2,3,4,5
B20attr,1,2,3,4,5
C21attr,1,1,1,1,1
D22attr,1,2,3,4,4
E23attr,4,3,3,2,1
F24attr,1,2,3,4,5
A25attr,1,1,1,1,2
B26attr,1,2,2,2,2
C27attr,5,4,3,2,1
D28attr,1,2,3,4,5
E29attr,1,2,2,2,2
F30attr,1,3,3,2,2
