,1,2,3,4,5
Aattr,1,2,4,3,5
Battr,3,4,5,2,1
Cattr,1,2,3,4,5
Dattr,3,2,1,1,1
Eattr,1,2,3,4,5
Fattr,1,2,3,4,4
A1attr,1,2,3,4,5
B2attr,1,2,3,3,4
C3attr,1,2,5,4,3
D4attr,1,4,2,3,2
E5attr,1,3,2,3,3
F6attr,1,2,3,2,2
A7attr,4,3,3,2,1
B8attr,1,2,2,3,4
C9attr,1,2,2,4,3
D10attr,2,1,2,3,4
E11attr,5,4,3,2,1
F12attr,5,4,3,2,1
A13attr,3,1,2,2,4
B14attr,4,3,3,2,1
C15attr,5,4,3,2,1
D16attr,1,1,2,3,4
E17attr,5,4,3,1,2
F18attr,5,4,3,2,1
A19attr,4,5,3,2,1
B20attr,1,2,3,3,3
C21attr,2,2,3,3,1
D22attr,1,2,3,4,4
E23attr,1,2,3,4,5
F24attr,1,2,3,3,4
A25attr,1,2,3,3,4
B26attr,1,2,3,4,5
C27attr,1,3,4,2,2
D28attr,1,2,3,4,4
E29attr,1,2,3,3,4
F30attr,3,4,3,2,1
