,1,2,3,4,5
Aattr,5,4,3,2,1
Battr,5,4,3,2,1
Cattr,4,5,3,2,1
Dattr,5,4,3,2,1
Eattr,5,4,3,2,1
Fattr,4,5,3,2,1
A1attr,4,5,3,2,1
B2attr,5,4,3,2,1
C3attr,5,4,3,2,1
D4attr,5,4,3,2,1
E5attr,5,4,3,1,2
F6attr,5,4,2,3,1
A7attr,5,4,3,2,1
B8attr,4,3,2,2,1
C9attr,5,4,3,1,2
D10attr,4,3,2,1,1
E11attr,4,5,1,2,3
F12attr,5,4,3,2,1
A13attr,5,4,3,2,1
B14attr,3,4,2,1,1
C15attr,5,4,3,2,1
D16attr,5,4,3,2,1
E17attr,4,4,3,2,1
F18attr,4,5,3,1,2
A19attr,5,4,3,2,1
B20attr,5,4,3,2,1
C21attr,5,4,3,1,2
D22attr,4,3,2,1,1
E23attr,5,4,3,1,2
F24attr,5,4,3,1,2
A25attr,5,4,3,1,2
B26attr,4,3,2,1,1
C27attr,5,4,3,2,1
D28attr,5,4,3,2,1
E29attr,4,5,3,1,2
F30attr,4,5,3,2,1
