,1,2,3,4,5
Aattr,4,4,3,2,1
Battr,1,3,3,2,1
Cattr,3,2,1,1,1
Dattr,3,2,1,1,1
Eattr,5,3,4,2,1
Fattr,1,2,3,3,3
A1attr,1,1,1,1,1
B2attr,2,1,3,1,2
C3attr,3,2,1,1,1
D4attr,3,1,2,1,1
E5attr,1,1,1,1,1
F6attr,4,3,2,1,1
A7attr,4,3,2,1,1
B8attr,4,3,3,2,1
C9attr,2,1,1,1,1
D10attr,4,3,3,2,1
E11attr,5,4,3,2,1
F12attr,5,4,3,2,1
A13attr,4,3,1,2,1
B14attr,5,4,3,2,1
C15attr,5,4,3,2,1
D16attr,2,2,1,1,1
E17attr,4,3,2,1,1
F18attr,5,4,3,2,1
A19attr,2,1,1,1,1
B20attr,1,2,3,3,3
C21attr,4,3,2,1,1
D22attr,3,1,2,4,2
E23attr,4,3,2,1,1
F24attr,1,3,3,2,3
A25attr,4,3,2,1,1
B26attr,5,4,3,2,1
C27attr,5,4,3,2,1
D28attr,1,1,1,1,1
E29attr,1,2,1,1,1
F30attr,2,3,2,1,1
