,1,2,3,4,5
Aattr,1,2,4,3,2
Battr,5,4,3,2,1
Cattr,3,2,1,1,1
Dattr,4,3,2,1,1
Eattr,2,4,2,3,1
Fattr,3,4,3,2,1
A1attr,1,2,3,3,3
B2attr,2,1,4,3,4
C3attr,5,4,3,2,1
D4attr,3,4,2,2,1
E5attr,5,4,3,2,1
F6attr,4,4,3,2,1
A7attr,5,4,3,2,1
B8attr,3,2,1,1,1
C9attr,5,4,2,3,1
D10attr,3,2,2,1,1
E11attr,5,4,3,2,1
F12attr,5,4,3,2,1
A13attr,5,4,3,1,2
B14attr,5,4,3,2,1
C15attr,5,4,3,2,1
D16attr,5,2,1,3,4
E17attr,4,3,2,1,1
F18attr,5,4,3,2,1
A19attr,5,4,3,2,1
B20attr,1,2,3,3,3
C21attr,5,4,3,2,1
D22attr,1,2,3,5,4
E23attr,1,3,1,2,1
F24attr,1,2,2,1,2
A25attr,4,2,3,1,4
B26attr,1,2,3,3,2
C27attr,5,4,3,2,1
D28attr,1,4,3,3,2
E29attr,3,1,2,1,1
F30attr,4,4,3,2,1
