,imbalanceRatio,Subset,feature,Indicator,freq1,freq2,freq3
0,lr_shap_list_ir_5,lr_shap_list_ir_5_subset_19,Aattr,localMax_Aattr,0.055547240925132246,0.08872758227874072,0.18826860633956607
1,lr_shap_list_ir_5,lr_shap_list_ir_5_subset_19,Battr,localMax_Battr,-0.1657111887817614,-0.052718272013783374,0.003778186370205605
2,lr_shap_list_ir_5,lr_shap_list_ir_5_subset_19,Cattr,localMax_Cattr,-0.03405573870516847,0.09012073105146745,0.04045014314881307
3,lr_shap_list_ir_5,lr_shap_list_ir_5_subset_19,Dattr,localMax_Dattr,-0.0009234018165678037,0.2225270091807403,-0.2243738128138757
4,lr_shap_list_ir_5,lr_shap_list_ir_5_subset_19,Eattr,localMax_Eattr,0.14138968937210755,0.2016471067160152,0.32216194140383064
5,lr_shap_list_ir_5,lr_shap_list_ir_5_subset_19,Fattr,localMax_Fattr,0.13635577256492193,-0.010232176191705467,0.20964974694323557
6,lr_shap_list_ir_5,lr_shap_list_ir_5_subset_19,A1attr,localMax_A1attr,-0.009751993317105717,0.1026012615136537,0.018336320390584138
7,lr_shap_list_ir_5,lr_shap_list_ir_5_subset_19,B2attr,localMax_B2attr,0.0170454512557483,0.5766494994193776,0.20358013397695807
8,lr_shap_list_ir_5,lr_shap_list_ir_5_subset_19,C3attr,localMax_C3attr,-0.036725998318495934,-0.05805267043710821,0.027254018037340955
9,lr_shap_list_ir_5,lr_shap_list_ir_5_subset_19,D4attr,localMax_D4attr,0.43234959560171693,-0.394009359492425,0.15689661057033621
10,lr_shap_list_ir_5,lr_shap_list_ir_5_subset_19,E5attr,localMax_E5attr,0.12007107457920863,-0.25858286184079143,0.37250703219254205
11,lr_shap_list_ir_5,lr_shap_list_ir_5_subset_19,F6attr,localMax_F6attr,0.0504774108418351,-0.08974031055884835,-0.370175753360215
12,lr_shap_list_ir_5,lr_shap_list_ir_5_subset_19,A7attr,localMax_A7attr,-0.20822086821727298,-0.13755196293223332,-0.27888977350231264
13,lr_shap_list_ir_5,lr_shap_list_ir_5_subset_19,B8attr,localMax_B8attr,0.003565000857381262,-0.0411209576606944,0.13762287641160825
14,lr_shap_list_ir_5,lr_shap_list_ir_5_subset_19,C9attr,localMax_C9attr,0.038513010471382725,0.05065882579942631,0.014221379815295587
15,lr_shap_list_ir_5,lr_shap_list_ir_5_subset_19,D10attr,localMax_D10attr,0.2174919008840957,0.013479291659930559,-0.08852701295215198
16,lr_shap_list_ir_5,lr_shap_list_ir_5_subset_19,E11attr,localMax_E11attr,0.28558736853245215,0.45200185423418215,0.11917288283072203
17,lr_shap_list_ir_5,lr_shap_list_ir_5_subset_19,F12attr,localMax_F12attr,0.03766669733891992,0.66222136510072,-0.27461063654198026
18,lr_shap_list_ir_5,lr_shap_list_ir_5_subset_19,A13attr,localMax_A13attr,0.05473901539539394,0.30072717433005725,0.6697094127320522
19,lr_shap_list_ir_5,lr_shap_list_ir_5_subset_19,B14attr,localMax_B14attr,0.5548342899676975,1.2974415349603137,-0.5590765775212271
20,lr_shap_list_ir_5,lr_shap_list_ir_5_subset_19,C15attr,localMax_C15attr,0.5615799361974771,0.3466030200110557,1.206510684756742
21,lr_shap_list_ir_5,lr_shap_list_ir_5_subset_19,D16attr,localMax_D16attr,-0.19371978010857138,0.0468951800743439,0.2875101402572592
22,lr_shap_list_ir_5,lr_shap_list_ir_5_subset_19,E17attr,localMax_E17attr,-0.06929300683363182,-0.03779616547824996,-0.1322866895443956
23,lr_shap_list_ir_5,lr_shap_list_ir_5_subset_19,F18attr,localMax_F18attr,1.112450079721181,0.44339874601751905,-0.22565258768614305
24,lr_shap_list_ir_5,lr_shap_list_ir_5_subset_19,A19attr,localMax_A19attr,-0.2552544600962551,0.12147197664457998,-0.16107285091104634
