,imbalanceRatio,Subset,feature,Indicator,freq1,freq2,freq3
0,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,Aattr,localMax_Aattr,0.0020089880341206488,-0.0018679937485558754,0.005885969816797173
1,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,Battr,localMax_Battr,0.003988907875703662,-0.006484197384795831,-0.016957302645295318
2,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,Cattr,localMax_Cattr,-0.0021886700798669917,0.002826462120156869,0.007841594320180726
3,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,Dattr,localMax_Dattr,-0.005342245077590638,0.0077879206010394025,-0.018472410756220685
4,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,Eattr,localMax_Eattr,0.0024693931865711893,0.03765091633523013,-0.03271212996208778
5,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,Fattr,localMax_Fattr,-9.281038387733836e-05,-0.011407496259461587,0.01122187549170691
6,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,A1attr,localMax_A1attr,0.000861171998891918,-0.005688132394261063,0.007410476392044899
7,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,B2attr,localMax_B2attr,0.0022013205401870857,-0.004022192809421527,0.008424833889795699
8,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,C3attr,localMax_C3attr,0.003087217013913672,-0.006718711147834774,0.022699073337410565
9,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,D4attr,localMax_D4attr,0.006466610085936714,-0.005102082406711783,-0.01667077489936028
10,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,E5attr,localMax_E5attr,0.006473136994221737,-0.004647918030331086,-0.01576897305488391
11,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,F6attr,localMax_F6attr,0.0026831934549155917,-0.009599956160327987,0.014966343070159163
12,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,A7attr,localMax_A7attr,-0.006769683233538007,0.01186758922695709,-0.025406955694033104
13,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,B8attr,localMax_B8attr,-0.0005136933329371075,0.0020447832807578316,-0.0030721699466320484
14,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,C9attr,localMax_C9attr,0.005565167942397781,-0.017826158539620537,0.028956494424416085
15,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,D10attr,localMax_D10attr,0.0011789125905163622,-0.006284168832825114,0.008641994013857845
16,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,E11attr,localMax_E11attr,-0.0005165065893707951,0.00472171393691468,-0.00575472711565627
17,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,F12attr,localMax_F12attr,0.002683428118867112,-0.008066597134947805,0.013433453372682029
18,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,A13attr,localMax_A13attr,0.002940957031781162,-0.009097044348287044,0.014978958411849368
19,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,B14attr,localMax_B14attr,-0.000811181819855681,-0.0045973044449053035,0.0029749408051939416
20,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,C15attr,localMax_C15attr,0.0014607057623024916,-0.01812386829803074,0.021045279822635723
21,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,D16attr,localMax_D16attr,0.004720867378291395,-0.008046223716987079,0.017487958473569876
22,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,E17attr,localMax_E17attr,0.00789755308876075,-0.005195897207843747,-0.018289347504448245
23,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,F18attr,localMax_F18attr,0.0036630269324581383,-0.018312453491286088,0.025638507356202364
24,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,A19attr,localMax_A19attr,0.0002942350057131421,0.013014073586631689,-0.012425603575205411
25,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,B20attr,localMax_B20attr,0.006311766448804407,-0.003863778567814672,-0.014039323584433754
26,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,C21attr,localMax_C21attr,-0.006928807465826817,0.007416539450973494,-0.021274154382627142
27,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,D22attr,localMax_D22attr,0.007075531032040672,-0.012680209763192007,0.02683127182727335
28,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,E23attr,localMax_E23attr,-0.006226875151773413,0.008561107986626251,0.02334909112502591
29,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,F24attr,localMax_F24attr,0.016918797717814404,-0.013350952122217874,-0.043620701962250125
30,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,A25attr,localMax_A25attr,0.0001991147501638063,0.012686417320786833,-0.01228818782045922
31,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,B26attr,localMax_B26attr,0.005660470110473631,-0.0136024996865335,0.024923439907480763
32,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,C27attr,localMax_C27attr,-0.0006816002590455117,0.006704468163967799,-0.008067668682058823
33,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,D28attr,localMax_D28attr,0.0009161517376291405,-0.0033461388391859935,0.005178442314444276
34,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,E29attr,localMax_E29attr,0.0038940441314952168,-0.005141865763359732,-0.014177775658214677
35,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,F30attr,localMax_F30attr,0.0012810974203795317,-0.006778178163461223,0.009340373004220283
36,mlp_shap_list_ir_2,mlp_shap_list_ir_2_subset_14,Aattr,localMax_Aattr,-0.005482632370862495,0.07997696408221011,-0.09094222882393505
37,mlp_shap_list_ir_2,mlp_shap_list_ir_2_subset_14,Battr,localMax_Battr,-0.004909700560286834,-0.09755459773735703,0.08773519661678342
38,mlp_shap_list_ir_2,mlp_shap_list_ir_2_subset_14,Cattr,localMax_Cattr,-0.014713376031775943,0.03959647089049728,0.09390631781277053
39,mlp_shap_list_ir_2,mlp_shap_list_ir_2_subset_14,Dattr,localMax_Dattr,-0.009221384308039954,0.04157264690082768,0.09236667810969529
40,mlp_shap_list_ir_2,mlp_shap_list_ir_2_subset_14,Eattr,localMax_Eattr,-0.010363419977780591,0.014236381365423129,0.038836182708626835
41,mlp_shap_list_ir_2,mlp_shap_list_ir_2_subset_14,Fattr,localMax_Fattr,-0.0004944744581819385,-0.010505565578540925,0.009516616662177041
