,imbalanceRatio,Subset,feature,Indicator,freq1,freq2,freq3
0,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,Aattr,localMax_Aattr,-0.03868802,-0.08479391,0.053523764
1,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,Battr,localMax_Battr,0.13754821,-0.06437898,-0.16534257
2,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,Cattr,localMax_Cattr,0.055290908,0.16799557,-0.057413787
3,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,Dattr,localMax_Dattr,-0.057093173,0.106433064,0.26995933
4,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,Eattr,localMax_Eattr,-0.018191248,0.022782415,-0.059164897
5,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,Fattr,localMax_Fattr,0.059247255,0.14219156,-0.023697019
6,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,A1attr,localMax_A1attr,0.046547934,0.07873823,0.014357626
7,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,B2attr,localMax_B2attr,-0.049837783,0.023956783,0.060854062
8,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,C3attr,localMax_C3attr,0.09213796,0.023214743,0.1610612
9,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,D4attr,localMax_D4attr,0.015255272,0.13691524,0.2585752
10,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,E5attr,localMax_E5attr,-0.033418,0.10773617,-0.17457217
11,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,F6attr,localMax_F6attr,0.07640214,0.02412425,0.12868002
12,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,A7attr,localMax_A7attr,-0.16520604,0.16672528,-0.05456224
13,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,B8attr,localMax_B8attr,0.048342466,-0.07991961,0.17660451
14,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,C9attr,localMax_C9attr,-0.034944534,0.37064344,0.2354474
15,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,D10attr,localMax_D10attr,-0.04690534,0.068847954,0.1267246
16,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,E11attr,localMax_E11attr,-0.20356792,0.644567,0.92727864
17,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,F12attr,localMax_F12attr,0.5103784,0.72326446,-0.1282795
18,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,A13attr,localMax_A13attr,0.0072975457,0.20888191,0.30967414
19,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,B14attr,localMax_B14attr,-0.1071412,0.29304466,0.49313766
20,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,C15attr,localMax_C15attr,0.08700511,-0.05994177,0.23395196
21,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,D16attr,localMax_D16attr,-0.059685856,0.31076646,0.06379825
22,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,E17attr,localMax_E17attr,0.43791205,-0.16907611,0.55930966
23,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,F18attr,localMax_F18attr,0.27235928,-0.108807966,0.043658942
24,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,A19attr,localMax_A19attr,-0.121195644,-0.04668346,-0.19570784
25,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,B20attr,localMax_B20attr,0.1429469,-0.0067337453,0.06810659
26,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,C21attr,localMax_C21attr,-0.028248638,0.11105466,0.250358
27,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,D22attr,localMax_D22attr,-0.014900856,0.026057526,0.0670159
28,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,E23attr,localMax_E23attr,0.07008362,-0.007197976,-0.084479555
29,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,F24attr,localMax_F24attr,0.012534142,0.06005369,-0.08250497
30,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,A25attr,localMax_A25attr,0.19667026,0.26943198,-0.094376534
31,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,B26attr,localMax_B26attr,0.022278935,-0.010676563,0.055234432
32,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,C27attr,localMax_C27attr,0.13627285,0.258865,0.0136806965
33,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,D28attr,localMax_D28attr,-0.0072861165,-0.06799783,0.05342558
34,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,E29attr,localMax_E29attr,0.08246899,0.2271604,0.15481469
35,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,F30attr,localMax_F30attr,0.068574876,-0.018669814,-0.1059145
36,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,Aattr,localMax_Aattr,-0.021985188,-0.08263591,-0.14328663
37,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,Battr,localMax_Battr,0.03739336,0.0726991,-0.06852385
38,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,Cattr,localMax_Cattr,-0.008803785,0.11190198,0.051549092
39,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,Dattr,localMax_Dattr,0.11019546,-0.0746305,0.5722604
40,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,Eattr,localMax_Eattr,0.14111938,0.18705723,0.095181525
41,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,Fattr,localMax_Fattr,0.05192548,-0.008959591,-0.13072968
42,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,A1attr,localMax_A1attr,-0.01566261,0.22552711,0.34612197
43,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,B2attr,localMax_B2attr,0.008009315,-0.0702665,0.79076755
44,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,C3attr,localMax_C3attr,0.1371386,0.027712315,-0.081713974
45,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,D4attr,localMax_D4attr,-0.0052547753,0.024282776,-0.03479233
46,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,E5attr,localMax_E5attr,-0.033092707,0.19835311,0.314076
47,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,F6attr,localMax_F6attr,0.12313658,0.15858488,0.19403319
48,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,A7attr,localMax_A7attr,0.70126647,0.7988849,0.8965034
49,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,B8attr,localMax_B8attr,0.11408973,-0.19891196,0.348841
50,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,C9attr,localMax_C9attr,-0.022194058,-0.05161503,0.036647886
51,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,D10attr,localMax_D10attr,0.2355155,-0.16989967,0.17759904
