,imbalanceRatio,Subset,Indicator,Sorted_Features
0,shap_list_ir_1,shap_list_ir_1_subset_100,orderMean,"['C15attr', 'F18attr', 'Aattr', 'E17attr', 'C3attr', 'B14attr', 'C27attr', 'E11attr', 'C21attr', 'B26attr', 'E29attr', 'D16attr', 'E23attr', 'D10attr', 'A13attr', 'A7attr', 'B2attr', 'F30attr', 'A25attr', 'Dattr', 'B8attr', 'Cattr', 'Eattr', 'E5attr', 'D22attr', 'D4attr', 'C9attr', 'F6attr', 'F12attr', 'F24attr', 'D28attr', 'Fattr', 'A19attr', 'A1attr', 'B20attr', 'Battr']"
1,shap_list_ir_1,shap_list_ir_1_subset_100,orderStd,"['C15attr', 'F18attr', 'E17attr', 'Aattr', 'E29attr', 'C21attr', 'E23attr', 'B14attr', 'D16attr', 'F30attr', 'C3attr', 'C27attr', 'E11attr', 'B26attr', 'A13attr', 'A7attr', 'D10attr', 'Cattr', 'B2attr', 'A25attr', 'B8attr', 'D22attr', 'F24attr', 'Dattr', 'E5attr', 'Eattr', 'F6attr', 'D4attr', 'D28attr', 'Fattr', 'F12attr', 'C9attr', 'A19attr', 'Battr', 'A1attr', 'B20attr']"
2,shap_list_ir_1,shap_list_ir_1_subset_100,orderSum,"['C15attr', 'F18attr', 'Aattr', 'E17attr', 'C3attr', 'B14attr', 'C27attr', 'E11attr', 'C21attr', 'B26attr', 'E29attr', 'D16attr', 'E23attr', 'D10attr', 'A13attr', 'A7attr', 'B2attr', 'F30attr', 'A25attr', 'Dattr', 'B8attr', 'Cattr', 'Eattr', 'E5attr', 'D22attr', 'D4attr', 'C9attr', 'F6attr', 'F12attr', 'F24attr', 'D28attr', 'Fattr', 'A19attr', 'A1attr', 'B20attr', 'Battr']"
3,shap_list_ir_1,shap_list_ir_1_subset_101,orderMean,"['C27attr', 'C15attr', 'E23attr', 'E17attr', 'Aattr', 'B14attr', 'B2attr', 'A13attr', 'F30attr', 'E11attr', 'E5attr', 'A7attr', 'B26attr', 'C21attr', 'F24attr', 'E29attr', 'A19attr', 'F18attr', 'D16attr', 'D22attr', 'B20attr', 'Cattr', 'C3attr', 'D28attr', 'Dattr', 'D10attr', 'C9attr', 'A25attr', 'F12attr', 'A1attr', 'D4attr', 'Fattr', 'Eattr', 'Battr', 'F6attr', 'B8attr']"
4,shap_list_ir_1,shap_list_ir_1_subset_101,orderStd,"['C27attr', 'C15attr', 'E23attr', 'B14attr', 'B2attr', 'E17attr', 'E5attr', 'F30attr', 'Aattr', 'C21attr', 'A13attr', 'B26attr', 'Dattr', 'F24attr', 'F18attr', 'E29attr', 'A7attr', 'Cattr', 'D16attr', 'E11attr', 'C9attr', 'A19attr', 'D22attr', 'A1attr', 'B20attr', 'Eattr', 'A25attr', 'D28attr', 'C3attr', 'Fattr', 'D10attr', 'D4attr', 'F12attr', 'Battr', 'F6attr', 'B8attr']"
5,shap_list_ir_1,shap_list_ir_1_subset_101,orderSum,"['C27attr', 'C15attr', 'E23attr', 'E17attr', 'Aattr', 'B14attr', 'B2attr', 'A13attr', 'F30attr', 'E11attr', 'E5attr', 'A7attr', 'B26attr', 'C21attr', 'F24attr', 'E29attr', 'A19attr', 'F18attr', 'D16attr', 'D22attr', 'B20attr', 'Cattr', 'C3attr', 'D28attr', 'Dattr', 'D10attr', 'C9attr', 'A25attr', 'F12attr', 'A1attr', 'D4attr', 'Fattr', 'Eattr', 'Battr', 'F6attr', 'B8attr']"
6,shap_list_ir_1,shap_list_ir_1_subset_102,orderMean,"['E11attr', 'E29attr', 'F30attr', 'A13attr', 'F12attr', 'B14attr', 'Aattr', 'E23attr', 'C27attr', 'A7attr', 'A19attr', 'F24attr', 'C15attr', 'F18attr', 'E17attr', 'C9attr', 'D10attr', 'E5attr', 'D16attr', 'D22attr', 'A25attr', 'C21attr', 'D28attr', 'B8attr', 'Eattr', 'B20attr', 'B2attr', 'B26attr', 'F6attr', 'A1attr', 'Battr', 'Fattr', 'Cattr', 'D4attr', 'Dattr', 'C3attr']"
7,shap_list_ir_1,shap_list_ir_1_subset_102,orderStd,"['E11attr', 'F30attr', 'F12attr', 'E29attr', 'A13attr', 'F24attr', 'B14attr', 'Aattr', 'E23attr', 'C9attr', 'E17attr', 'A19attr', 'C27attr', 'A7attr', 'F18attr', 'D22attr', 'D28attr', 'D10attr', 'D16attr', 'A25attr', 'C21attr', 'C15attr', 'E5attr', 'B2attr', 'A1attr', 'B8attr', 'B20attr', 'Fattr', 'F6attr', 'B26attr', 'Eattr', 'Cattr', 'D4attr', 'Battr', 'Dattr', 'C3attr']"
8,shap_list_ir_1,shap_list_ir_1_subset_102,orderSum,"['E11attr', 'E29attr', 'F30attr', 'A13attr', 'F12attr', 'B14attr', 'Aattr', 'E23attr', 'C27attr', 'A7attr', 'A19attr', 'F24attr', 'C15attr', 'F18attr', 'E17attr', 'C9attr', 'D10attr', 'E5attr', 'D16attr', 'D22attr', 'A25attr', 'C21attr', 'D28attr', 'B8attr', 'Eattr', 'B20attr', 'B2attr', 'B26attr', 'F6attr', 'A1attr', 'Battr', 'Fattr', 'Cattr', 'D4attr', 'Dattr', 'C3attr']"
9,shap_list_ir_1,shap_list_ir_1_subset_10,orderMean,"['E11attr', 'Aattr', 'F12attr', 'B14attr', 'A7attr', 'E17attr', 'C27attr', 'E23attr', 'E29attr', 'A19attr', 'C15attr', 'F18attr', 'E5attr', 'Eattr', 'D10attr', 'C3attr', 'Battr', 'D16attr', 'F30attr', 'F6attr', 'B26attr', 'B8attr', 'A13attr', 'A1attr', 'C21attr', 'A25attr', 'Cattr', 'D28attr', 'D22attr', 'Dattr', 'C9attr', 'Fattr', 'B20attr', 'B2attr', 'F24attr', 'D4attr']"
10,shap_list_ir_1,shap_list_ir_1_subset_10,orderStd,"['F12attr', 'E11attr', 'B14attr', 'Aattr', 'E23attr', 'E17attr', 'E29attr', 'D10attr', 'F18attr', 'C27attr', 'E5attr', 'Battr', 'A7attr', 'Eattr', 'C15attr', 'F6attr', 'F30attr', 'Cattr', 'B26attr', 'A19attr', 'D16attr', 'A13attr', 'B8attr', 'C3attr', 'C21attr', 'A25attr', 'C9attr', 'A1attr', 'D22attr', 'Dattr', 'D28attr', 'B20attr', 'F24attr', 'Fattr', 'D4attr', 'B2attr']"
