,imbalanceRatio,Subset,Indicator,Sorted_Features
0,lr_shap_list_ir_5,lr_shap_list_ir_5_subset_19,orderMean,"['F12attr', 'B14attr', 'D4attr', 'F18attr', 'C15attr', 'B20attr', 'E11attr', 'A25attr', 'D28attr', 'Dattr', 'C21attr', 'B2attr', 'D16attr', 'A13attr', 'A19attr', 'F6attr', 'F30attr', 'A7attr', 'F24attr', 'Fattr', 'D10attr', 'D22attr', 'Eattr', 'E5attr', 'Battr', 'B8attr', 'Aattr', 'E17attr', 'E29attr', 'A1attr', 'C3attr', 'Cattr', 'E23attr', 'B26attr', 'C9attr', 'C27attr']"
1,lr_shap_list_ir_5,lr_shap_list_ir_5_subset_19,orderStd,"['B14attr', 'F12attr', 'F18attr', 'D4attr', 'B20attr', 'C15attr', 'Dattr', 'E11attr', 'D28attr', 'A25attr', 'B2attr', 'D16attr', 'F6attr', 'C21attr', 'F30attr', 'A13attr', 'A19attr', 'D10attr', 'D22attr', 'F24attr', 'Fattr', 'A7attr', 'Eattr', 'E5attr', 'Battr', 'B8attr', 'Aattr', 'E17attr', 'E29attr', 'C3attr', 'A1attr', 'E23attr', 'Cattr', 'B26attr', 'C9attr', 'C27attr']"
2,lr_shap_list_ir_5,lr_shap_list_ir_5_subset_19,orderSum,"['F12attr', 'B14attr', 'D4attr', 'F18attr', 'C15attr', 'B20attr', 'E11attr', 'A25attr', 'D28attr', 'Dattr', 'C21attr', 'B2attr', 'D16attr', 'A13attr', 'A19attr', 'F6attr', 'F30attr', 'A7attr', 'F24attr', 'Fattr', 'D10attr', 'D22attr', 'Eattr', 'E5attr', 'Battr', 'B8attr', 'Aattr', 'E17attr', 'E29attr', 'A1attr', 'C3attr', 'Cattr', 'E23attr', 'B26attr', 'C9attr', 'C27attr']"
3,lr_shap_list_ir_3,lr_shap_list_ir_3_subset_39,orderMean,"['D4attr', 'F12attr', 'D22attr', 'E11attr', 'B20attr', 'A13attr', 'E23attr', 'A7attr', 'B2attr', 'Dattr', 'D28attr', 'C27attr', 'C15attr', 'Eattr', 'D16attr', 'Fattr', 'Battr', 'B14attr', 'F24attr', 'F18attr', 'A1attr', 'B26attr', 'D10attr', 'C21attr', 'C9attr', 'A19attr', 'E17attr', 'Cattr', 'E5attr', 'E29attr', 'B8attr', 'Aattr', 'F30attr', 'A25attr', 'F6attr', 'C3attr']"
4,lr_shap_list_ir_3,lr_shap_list_ir_3_subset_39,orderStd,"['D4attr', 'F12attr', 'D22attr', 'E11attr', 'B20attr', 'Dattr', 'B2attr', 'E23attr', 'A13attr', 'A7attr', 'D28attr', 'C27attr', 'C15attr', 'B14attr', 'Eattr', 'D16attr', 'Fattr', 'Battr', 'F18attr', 'F24attr', 'B26attr', 'D10attr', 'A1attr', 'A19attr', 'C21attr', 'C9attr', 'E17attr', 'Cattr', 'E5attr', 'E29attr', 'B8attr', 'F30attr', 'Aattr', 'F6attr', 'A25attr', 'C3attr']"
5,lr_shap_list_ir_3,lr_shap_list_ir_3_subset_39,orderSum,"['D4attr', 'F12attr', 'D22attr', 'E11attr', 'B20attr', 'A13attr', 'E23attr', 'A7attr', 'B2attr', 'Dattr', 'D28attr', 'C27attr', 'C15attr', 'Eattr', 'D16attr', 'Fattr', 'Battr', 'B14attr', 'F24attr', 'F18attr', 'A1attr', 'B26attr', 'D10attr', 'C21attr', 'C9attr', 'A19attr', 'E17attr', 'Cattr', 'E5attr', 'E29attr', 'B8attr', 'Aattr', 'F30attr', 'A25attr', 'F6attr', 'C3attr']"
6,lr_shap_list_ir_1,lr_shap_list_ir_1_subset_100,orderMean,"['Eattr', 'F24attr', 'E23attr', 'F18attr', 'Cattr', 'D4attr', 'E5attr', 'B20attr', 'C3attr', 'A25attr', 'C21attr', 'B8attr', 'D16attr', 'E29attr', 'E17attr', 'F30attr', 'A13attr', 'C15attr', 'Dattr', 'D28attr', 'C27attr', 'Fattr', 'F6attr', 'F12attr', 'Battr', 'D10attr', 'A19attr', 'B26attr', 'Aattr', 'B14attr', 'E11attr', 'A7attr', 'B2attr', 'A1attr', 'C9attr', 'D22attr']"
7,lr_shap_list_ir_1,lr_shap_list_ir_1_subset_100,orderStd,"['Eattr', 'F18attr', 'F24attr', 'E23attr', 'D4attr', 'Cattr', 'B20attr', 'E5attr', 'C3attr', 'F30attr', 'A25attr', 'B8attr', 'Dattr', 'C21attr', 'D16attr', 'C15attr', 'E29attr', 'A13attr', 'E17attr', 'D28attr', 'C27attr', 'F6attr', 'Fattr', 'F12attr', 'D10attr', 'Battr', 'B26attr', 'B14attr', 'A19attr', 'Aattr', 'E11attr', 'A7attr', 'B2attr', 'A1attr', 'C9attr', 'D22attr']"
8,lr_shap_list_ir_1,lr_shap_list_ir_1_subset_100,orderSum,"['Eattr', 'F24attr', 'E23attr', 'F18attr', 'Cattr', 'D4attr', 'E5attr', 'B20attr', 'C3attr', 'A25attr', 'C21attr', 'B8attr', 'D16attr', 'E29attr', 'E17attr', 'F30attr', 'A13attr', 'C15attr', 'Dattr', 'D28attr', 'C27attr', 'Fattr', 'F6attr', 'F12attr', 'Battr', 'D10attr', 'A19attr', 'B26attr', 'Aattr', 'B14attr', 'E11attr', 'A7attr', 'B2attr', 'A1attr', 'C9attr', 'D22attr']"
9,lr_shap_list_ir_4,lr_shap_list_ir_4_subset_55,orderMean,"['F12attr', 'D4attr', 'B14attr', 'Fattr', 'D28attr', 'E11attr', 'A25attr', 'B20attr', 'B8attr', 'Battr', 'F18attr', 'C15attr', 'F24attr', 'A7attr', 'Eattr', 'B2attr', 'Dattr', 'A19attr', 'D22attr', 'E5attr', 'A1attr', 'A13attr', 'F6attr', 'B26attr', 'C27attr', 'D16attr', 'C3attr', 'D10attr', 'E17attr', 'E29attr', 'C9attr', 'F30attr', 'Aattr', 'E23attr', 'C21attr', 'Cattr']"
10,lr_shap_list_ir_4,lr_shap_list_ir_4_subset_55,orderStd,"['F12attr', 'B14attr', 'D4attr', 'Fattr', 'D28attr', 'E11attr', 'F18attr', 'B20attr', 'B8attr', 'A25attr', 'C15attr', 'Battr', 'B2attr', 'Dattr', 'F24attr', 'D22attr', 'A7attr', 'Eattr', 'A19attr', 'F6attr', 'B26attr', 'E5attr', 'A1attr', 'A13attr', 'D10attr', 'C27attr', 'C3attr', 'D16attr', 'E17attr', 'F30attr', 'E29attr', 'C9attr', 'Aattr', 'E23attr', 'C21attr', 'Cattr']"
11,lr_shap_list_ir_4,lr_shap_list_ir_4_subset_55,orderSum,"['F12attr', 'D4attr', 'B14attr', 'Fattr', 'D28attr', 'E11attr', 'A25attr', 'B20attr', 'B8attr', 'Battr', 'F18attr', 'C15attr', 'F24attr', 'A7attr', 'Eattr', 'B2attr', 'Dattr', 'A19attr', 'D22attr', 'E5attr', 'A1attr', 'A13attr', 'F6attr', 'B26attr', 'C27attr', 'D16attr', 'C3attr', 'D10attr', 'E17attr', 'E29attr', 'C9attr', 'F30attr', 'Aattr', 'E23attr', 'C21attr', 'Cattr']"
12,lr_shap_list_ir_1,lr_shap_list_ir_1_subset_68,orderMean,"['B20attr', 'C9attr', 'B26attr', 'D22attr', 'E11attr', 'A13attr', 'F18attr', 'F24attr', 'B2attr', 'B8attr', 'D16attr', 'D28attr', 'F6attr', 'A25attr', 'C15attr', 'B14attr', 'F12attr', 'Aattr', 'E23attr', 'C3attr', 'E17attr', 'D4attr', 'Eattr', 'Battr', 'D10attr', 'C21attr', 'C27attr', 'A1attr', 'E29attr', 'E5attr', 'A19attr', 'F30attr', 'A7attr', 'Cattr', 'Fattr', 'Dattr']"
