,imbalanceRatio,Subset,Indicator,Sorted_Features
0,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,orderMean,"['F24attr', 'F18attr', 'Eattr', 'A7attr', 'D16attr', 'E17attr', 'B20attr', 'C15attr', 'A25attr', 'E5attr', 'E23attr', 'Battr', 'D4attr', 'B26attr', 'D22attr', 'Fattr', 'C9attr', 'A19attr', 'B2attr', 'F30attr', 'C3attr', 'E29attr', 'F6attr', 'C21attr', 'F12attr', 'Dattr', 'D28attr', 'D10attr', 'B14attr', 'Aattr', 'A13attr', 'E11attr', 'C27attr', 'A1attr', 'Cattr', 'B8attr']"
1,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,orderStd,"['F24attr', 'F18attr', 'Eattr', 'A7attr', 'E17attr', 'B20attr', 'E5attr', 'C15attr', 'A25attr', 'D22attr', 'D16attr', 'D4attr', 'C9attr', 'E23attr', 'Battr', 'B26attr', 'C21attr', 'F6attr', 'F30attr', 'A19attr', 'Fattr', 'E29attr', 'C3attr', 'B2attr', 'Dattr', 'F12attr', 'A13attr', 'Aattr', 'D28attr', 'B14attr', 'D10attr', 'A1attr', 'Cattr', 'E11attr', 'C27attr', 'B8attr']"
2,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_4,orderSum,"['F24attr', 'F18attr', 'Eattr', 'A7attr', 'D16attr', 'E17attr', 'B20attr', 'C15attr', 'A25attr', 'E5attr', 'E23attr', 'Battr', 'D4attr', 'B26attr', 'D22attr', 'Fattr', 'C9attr', 'A19attr', 'B2attr', 'F30attr', 'C3attr', 'E29attr', 'F6attr', 'C21attr', 'F12attr', 'Dattr', 'D28attr', 'D10attr', 'B14attr', 'Aattr', 'A13attr', 'E11attr', 'C27attr', 'A1attr', 'Cattr', 'B8attr']"
3,mlp_shap_list_ir_2,mlp_shap_list_ir_2_subset_14,orderMean,"['A7attr', 'C15attr', 'D10attr', 'Battr', 'C3attr', 'A19attr', 'E11attr', 'A13attr', 'C27attr', 'B2attr', 'B20attr', 'D4attr', 'A1attr', 'F24attr', 'Aattr', 'D16attr', 'B8attr', 'B14attr', 'D28attr', 'F30attr', 'E5attr', 'E29attr', 'F18attr', 'Cattr', 'B26attr', 'Dattr', 'C21attr', 'E23attr', 'E17attr', 'F6attr', 'Eattr', 'F12attr', 'C9attr', 'A25attr', 'D22attr', 'Fattr']"
4,mlp_shap_list_ir_2,mlp_shap_list_ir_2_subset_14,orderStd,"['C3attr', 'Battr', 'D4attr', 'A19attr', 'A7attr', 'E11attr', 'Aattr', 'B20attr', 'D10attr', 'A1attr', 'C27attr', 'A13attr', 'C15attr', 'F12attr', 'B8attr', 'D16attr', 'B2attr', 'E23attr', 'Dattr', 'B14attr', 'Cattr', 'C21attr', 'E29attr', 'F6attr', 'E5attr', 'D22attr', 'C9attr', 'F30attr', 'F24attr', 'F18attr', 'D28attr', 'B26attr', 'Eattr', 'E17attr', 'A25attr', 'Fattr']"
5,mlp_shap_list_ir_2,mlp_shap_list_ir_2_subset_14,orderSum,"['A7attr', 'C15attr', 'D10attr', 'Battr', 'C3attr', 'A19attr', 'E11attr', 'A13attr', 'C27attr', 'B2attr', 'B20attr', 'D4attr', 'A1attr', 'F24attr', 'Aattr', 'D16attr', 'B8attr', 'B14attr', 'D28attr', 'F30attr', 'E5attr', 'E29attr', 'F18attr', 'Cattr', 'B26attr', 'Dattr', 'C21attr', 'E23attr', 'E17attr', 'F6attr', 'Eattr', 'F12attr', 'C9attr', 'A25attr', 'D22attr', 'Fattr']"
6,mlp_shap_list_ir_3,mlp_shap_list_ir_3_subset_2,orderMean,"['B20attr', 'F18attr', 'F12attr', 'E5attr', 'F6attr', 'B8attr', 'D4attr', 'A19attr', 'C15attr', 'F24attr', 'Aattr', 'C3attr', 'A13attr', 'B2attr', 'Dattr', 'D10attr', 'A1attr', 'B14attr', 'E11attr', 'E23attr', 'C27attr', 'A7attr', 'E17attr', 'Eattr', 'Cattr', 'Fattr', 'A25attr', 'D28attr', 'C21attr', 'F30attr', 'D16attr', 'C9attr', 'Battr', 'B26attr', 'E29attr', 'D22attr']"
7,mlp_shap_list_ir_3,mlp_shap_list_ir_3_subset_2,orderStd,"['B20attr', 'F18attr', 'B8attr', 'E5attr', 'F12attr', 'F6attr', 'A19attr', 'D4attr', 'B2attr', 'Aattr', 'A1attr', 'A13attr', 'C3attr', 'E23attr', 'C27attr', 'Dattr', 'D10attr', 'B14attr', 'F24attr', 'F30attr', 'Eattr', 'E29attr', 'A7attr', 'C9attr', 'Battr', 'Cattr', 'Fattr', 'A25attr', 'E17attr', 'C15attr', 'D16attr', 'E11attr', 'C21attr', 'D28attr', 'B26attr', 'D22attr']"
8,mlp_shap_list_ir_3,mlp_shap_list_ir_3_subset_2,orderSum,"['B20attr', 'F18attr', 'F12attr', 'E5attr', 'F6attr', 'B8attr', 'D4attr', 'A19attr', 'C15attr', 'F24attr', 'Aattr', 'C3attr', 'A13attr', 'B2attr', 'Dattr', 'D10attr', 'A1attr', 'B14attr', 'E11attr', 'E23attr', 'C27attr', 'A7attr', 'E17attr', 'Eattr', 'Cattr', 'Fattr', 'A25attr', 'D28attr', 'C21attr', 'F30attr', 'D16attr', 'C9attr', 'Battr', 'B26attr', 'E29attr', 'D22attr']"
9,mlp_shap_list_ir_4,mlp_shap_list_ir_4_subset_90,orderMean,"['B20attr', 'D16attr', 'Eattr', 'E11attr', 'F12attr', 'B14attr', 'Fattr', 'A19attr', 'E5attr', 'F30attr', 'C21attr', 'Dattr', 'B26attr', 'F24attr', 'D4attr', 'C27attr', 'A25attr', 'C3attr', 'A13attr', 'A7attr', 'E23attr', 'Aattr', 'E29attr', 'Battr', 'E17attr', 'B8attr', 'B2attr', 'C15attr', 'D28attr', 'F6attr', 'D22attr', 'Cattr', 'A1attr', 'F18attr', 'C9attr', 'D10attr']"
10,mlp_shap_list_ir_4,mlp_shap_list_ir_4_subset_90,orderStd,"['D16attr', 'Eattr', 'C27attr', 'B20attr', 'A19attr', 'Fattr', 'B14attr', 'F24attr', 'D4attr', 'F12attr', 'E17attr', 'C21attr', 'E5attr', 'A13attr', 'E23attr', 'A25attr', 'C3attr', 'B26attr', 'E11attr', 'Dattr', 'C15attr', 'F30attr', 'D28attr', 'Battr', 'F6attr', 'E29attr', 'A1attr', 'C9attr', 'B8attr', 'A7attr', 'B2attr', 'Aattr', 'D22attr', 'Cattr', 'D10attr', 'F18attr']"
11,mlp_shap_list_ir_4,mlp_shap_list_ir_4_subset_90,orderSum,"['B20attr', 'D16attr', 'Eattr', 'E11attr', 'F12attr', 'B14attr', 'Fattr', 'A19attr', 'E5attr', 'F30attr', 'C21attr', 'Dattr', 'B26attr', 'F24attr', 'D4attr', 'C27attr', 'A25attr', 'C3attr', 'A13attr', 'A7attr', 'E23attr', 'Aattr', 'E29attr', 'Battr', 'E17attr', 'B8attr', 'B2attr', 'C15attr', 'D28attr', 'F6attr', 'D22attr', 'Cattr', 'A1attr', 'F18attr', 'C9attr', 'D10attr']"
12,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_44,orderMean,"['F24attr', 'E29attr', 'C15attr', 'A1attr', 'C9attr', 'F12attr', 'E17attr', 'F18attr', 'A7attr', 'A13attr', 'D28attr', 'Cattr', 'Dattr', 'D10attr', 'C21attr', 'A25attr', 'C3attr', 'E5attr', 'Eattr', 'D4attr', 'Aattr', 'B14attr', 'E11attr', 'F6attr', 'A19attr', 'D16attr', 'B2attr', 'B26attr', 'E23attr', 'B20attr', 'C27attr', 'D22attr', 'Battr', 'Fattr', 'F30attr', 'B8attr']"
13,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_44,orderStd,"['A13attr', 'C21attr', 'D10attr', 'F24attr', 'E17attr', 'C9attr', 'F12attr', 'F18attr', 'E29attr', 'A7attr', 'Cattr', 'B2attr', 'C15attr', 'E5attr', 'A1attr', 'D22attr', 'Dattr', 'A25attr', 'B20attr', 'Eattr', 'C3attr', 'B14attr', 'D4attr', 'A19attr', 'E11attr', 'D28attr', 'C27attr', 'B26attr', 'D16attr', 'F6attr', 'Aattr', 'E23attr', 'Battr', 'Fattr', 'B8attr', 'F30attr']"
14,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_44,orderSum,"['F24attr', 'E29attr', 'C15attr', 'A1attr', 'C9attr', 'F12attr', 'E17attr', 'F18attr', 'A7attr', 'A13attr', 'D28attr', 'Cattr', 'Dattr', 'D10attr', 'C21attr', 'A25attr', 'C3attr', 'E5attr', 'Eattr', 'D4attr', 'Aattr', 'B14attr', 'E11attr', 'F6attr', 'A19attr', 'D16attr', 'B2attr', 'B26attr', 'E23attr', 'B20attr', 'C27attr', 'D22attr', 'Battr', 'Fattr', 'F30attr', 'B8attr']"
15,mlp_shap_list_ir_5,mlp_shap_list_ir_5_subset_24,orderMean,"['B20attr', 'F12attr', 'D16attr', 'Eattr', 'A19attr', 'Battr', 'C3attr', 'E11attr', 'A7attr', 'F18attr', 'C27attr', 'E29attr', 'A25attr', 'F30attr', 'C15attr', 'Fattr', 'F6attr', 'Dattr', 'C21attr', 'E5attr', 'C9attr', 'D22attr', 'B2attr', 'F24attr', 'D4attr', 'A13attr', 'B14attr', 'A1attr', 'D28attr', 'E17attr', 'Aattr', 'B8attr', 'E23attr', 'D10attr', 'Cattr', 'B26attr']"
16,mlp_shap_list_ir_5,mlp_shap_list_ir_5_subset_24,orderStd,"['Battr', 'B20attr', 'F12attr', 'E29attr', 'B14attr', 'D16attr', 'Eattr', 'F18attr', 'F30attr', 'A19attr', 'B2attr', 'D28attr', 'Dattr', 'A7attr', 'E5attr', 'A13attr', 'C3attr', 'D4attr', 'C9attr', 'Fattr', 'B8attr', 'C21attr', 'Aattr', 'B26attr', 'A25attr', 'F24attr', 'C15attr', 'F6attr', 'A1attr', 'E11attr', 'C27attr', 'D22attr', 'D10attr', 'E23attr', 'E17attr', 'Cattr']"
