,imbalanceRatio,Subset,Indicator,Sorted_Features
0,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_35,orderMean,"['E17attr', 'C15attr', 'D16attr', 'C9attr', 'B2attr', 'A7attr', 'F6attr', 'F12attr', 'D28attr', 'B26attr', 'C21attr', 'D4attr', 'B20attr', 'Dattr', 'Aattr', 'Battr', 'Fattr', 'E5attr', 'A1attr', 'Cattr', 'D22attr', 'C3attr', 'A13attr', 'E11attr', 'Eattr', 'F18attr', 'A25attr', 'B8attr', 'B14attr', 'A19attr', 'E23attr', 'E29attr', 'D10attr', 'C27attr', 'F24attr', 'F30attr']"
1,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_35,orderStd,"['E17attr', 'C9attr', 'C15attr', 'D16attr', 'F12attr', 'B2attr', 'B20attr', 'B26attr', 'D28attr', 'A7attr', 'A13attr', 'F6attr', 'Dattr', 'C21attr', 'Battr', 'D4attr', 'D22attr', 'Aattr', 'Fattr', 'A1attr', 'A25attr', 'E5attr', 'Eattr', 'E23attr', 'Cattr', 'B8attr', 'E11attr', 'F24attr', 'A19attr', 'B14attr', 'C3attr', 'F18attr', 'E29attr', 'D10attr', 'C27attr', 'F30attr']"
2,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_35,orderSum,"['E17attr', 'C15attr', 'D16attr', 'C9attr', 'B2attr', 'A7attr', 'F6attr', 'F12attr', 'D28attr', 'B26attr', 'C21attr', 'D4attr', 'B20attr', 'Dattr', 'Aattr', 'Battr', 'Fattr', 'E5attr', 'A1attr', 'Cattr', 'D22attr', 'C3attr', 'A13attr', 'E11attr', 'Eattr', 'F18attr', 'A25attr', 'B8attr', 'B14attr', 'A19attr', 'E23attr', 'E29attr', 'D10attr', 'C27attr', 'F24attr', 'F30attr']"
3,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_88,orderMean,"['E11attr', 'A13attr', 'C15attr', 'F12attr', 'E17attr', 'Aattr', 'F18attr', 'B2attr', 'F6attr', 'Cattr', 'C27attr', 'C9attr', 'A7attr', 'B14attr', 'C21attr', 'B8attr', 'E23attr', 'E5attr', 'E29attr', 'A25attr', 'Dattr', 'A19attr', 'F30attr', 'D16attr', 'C3attr', 'Battr', 'Fattr', 'Eattr', 'B26attr', 'A1attr', 'D10attr', 'D4attr', 'B20attr', 'F24attr', 'D28attr', 'D22attr']"
4,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_88,orderStd,"['F12attr', 'E11attr', 'A13attr', 'Cattr', 'E17attr', 'F6attr', 'Dattr', 'F18attr', 'C21attr', 'Aattr', 'E29attr', 'C15attr', 'B8attr', 'A7attr', 'C9attr', 'B2attr', 'E5attr', 'A25attr', 'F30attr', 'C27attr', 'B14attr', 'C3attr', 'E23attr', 'B26attr', 'A19attr', 'D16attr', 'D4attr', 'A1attr', 'Battr', 'B20attr', 'Eattr', 'D10attr', 'Fattr', 'F24attr', 'D22attr', 'D28attr']"
5,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_88,orderSum,"['E11attr', 'A13attr', 'C15attr', 'F12attr', 'E17attr', 'Aattr', 'F18attr', 'B2attr', 'F6attr', 'Cattr', 'C27attr', 'C9attr', 'A7attr', 'B14attr', 'C21attr', 'B8attr', 'E23attr', 'E5attr', 'E29attr', 'A25attr', 'Dattr', 'A19attr', 'F30attr', 'D16attr', 'C3attr', 'Battr', 'Fattr', 'Eattr', 'B26attr', 'A1attr', 'D10attr', 'D4attr', 'B20attr', 'F24attr', 'D28attr', 'D22attr']"
6,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_94,orderMean,"['E29attr', 'F18attr', 'C15attr', 'D28attr', 'Aattr', 'C27attr', 'E17attr', 'A25attr', 'F30attr', 'B26attr', 'Dattr', 'A7attr', 'C21attr', 'Battr', 'A1attr', 'E11attr', 'E23attr', 'D16attr', 'B20attr', 'Cattr', 'Eattr', 'D4attr', 'A19attr', 'F12attr', 'E5attr', 'A13attr', 'F24attr', 'D22attr', 'Fattr', 'B8attr', 'B14attr', 'F6attr', 'B2attr', 'C3attr', 'D10attr', 'C9attr']"
7,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_94,orderStd,"['F18attr', 'C15attr', 'E29attr', 'Dattr', 'D28attr', 'Aattr', 'C27attr', 'A7attr', 'E17attr', 'C21attr', 'A1attr', 'F30attr', 'A25attr', 'D4attr', 'E23attr', 'B26attr', 'B20attr', 'D16attr', 'B14attr', 'Cattr', 'Battr', 'A13attr', 'F12attr', 'E5attr', 'D22attr', 'A19attr', 'E11attr', 'Eattr', 'B2attr', 'C3attr', 'F24attr', 'B8attr', 'F6attr', 'D10attr', 'Fattr', 'C9attr']"
8,rf_shap_list_ir_1,rf_shap_list_ir_1_subset_94,orderSum,"['E29attr', 'F18attr', 'C15attr', 'D28attr', 'Aattr', 'C27attr', 'E17attr', 'A25attr', 'F30attr', 'B26attr', 'Dattr', 'A7attr', 'C21attr', 'Battr', 'A1attr', 'E11attr', 'E23attr', 'D16attr', 'B20attr', 'Cattr', 'Eattr', 'D4attr', 'A19attr', 'F12attr', 'E5attr', 'A13attr', 'F24attr', 'D22attr', 'Fattr', 'B8attr', 'B14attr', 'F6attr', 'B2attr', 'C3attr', 'D10attr', 'C9attr']"
9,rf_shap_list_ir_3,rf_shap_list_ir_3_subset_68,orderMean,"['E11attr', 'C15attr', 'F18attr', 'F12attr', 'A13attr', 'D16attr', 'E29attr', 'E5attr', 'C21attr', 'C27attr', 'B14attr', 'C9attr', 'A7attr', 'E23attr', 'E17attr', 'A1attr', 'B20attr', 'C3attr', 'A19attr', 'A25attr', 'Aattr', 'F6attr', 'F30attr', 'Dattr', 'D28attr', 'Battr', 'Cattr', 'D10attr', 'Fattr', 'B8attr', 'F24attr', 'D4attr', 'Eattr', 'B26attr', 'D22attr', 'B2attr']"
