,imbalanceRatio,Subset,Indicator,Sorted_Features
0,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,orderMean,"['E11attr', 'C15attr', 'E17attr', 'F12attr', 'B14attr', 'A7attr', 'E5attr', 'A13attr', 'D16attr', 'Dattr', 'F18attr', 'C9attr', 'C21attr', 'F30attr', 'Battr', 'A25attr', 'B8attr', 'C27attr', 'D10attr', 'D4attr', 'B20attr', 'E29attr', 'A19attr', 'Fattr', 'F6attr', 'Cattr', 'C3attr', 'B2attr', 'E23attr', 'Aattr', 'D28attr', 'F24attr', 'Eattr', 'A1attr', 'B26attr', 'D22attr']"
1,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,orderStd,"['E11attr', 'C15attr', 'Dattr', 'E5attr', 'F12attr', 'E17attr', 'A7attr', 'B14attr', 'A13attr', 'D16attr', 'C21attr', 'F30attr', 'C9attr', 'D4attr', 'F18attr', 'D10attr', 'B8attr', 'Cattr', 'B20attr', 'Battr', 'C27attr', 'C3attr', 'A19attr', 'Fattr', 'A25attr', 'E29attr', 'F6attr', 'E23attr', 'B2attr', 'D28attr', 'Aattr', 'D22attr', 'F24attr', 'Eattr', 'B26attr', 'A1attr']"
2,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_85,orderSum,"['E11attr', 'C15attr', 'E17attr', 'F12attr', 'B14attr', 'A7attr', 'E5attr', 'A13attr', 'D16attr', 'Dattr', 'F18attr', 'C9attr', 'C21attr', 'F30attr', 'Battr', 'A25attr', 'B8attr', 'C27attr', 'D10attr', 'D4attr', 'B20attr', 'E29attr', 'A19attr', 'Fattr', 'F6attr', 'Cattr', 'C3attr', 'B2attr', 'E23attr', 'Aattr', 'D28attr', 'F24attr', 'Eattr', 'A1attr', 'B26attr', 'D22attr']"
3,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,orderMean,"['C15attr', 'B14attr', 'A7attr', 'E17attr', 'D16attr', 'E11attr', 'F18attr', 'F12attr', 'B2attr', 'Dattr', 'C21attr', 'D28attr', 'B8attr', 'A13attr', 'D10attr', 'D22attr', 'E5attr', 'E29attr', 'A25attr', 'B26attr', 'Eattr', 'Aattr', 'A1attr', 'F6attr', 'C3attr', 'C27attr', 'B20attr', 'Fattr', 'A19attr', 'F24attr', 'E23attr', 'Cattr', 'Battr', 'C9attr', 'D4attr', 'F30attr']"
4,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,orderStd,"['C15attr', 'B14attr', 'E17attr', 'B2attr', 'A7attr', 'D16attr', 'E11attr', 'Dattr', 'F18attr', 'F12attr', 'C21attr', 'E5attr', 'A1attr', 'A13attr', 'D28attr', 'B26attr', 'Aattr', 'B8attr', 'D22attr', 'A25attr', 'C3attr', 'C27attr', 'E29attr', 'Eattr', 'A19attr', 'F6attr', 'Cattr', 'B20attr', 'Fattr', 'D10attr', 'F24attr', 'D4attr', 'E23attr', 'Battr', 'C9attr', 'F30attr']"
5,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_79,orderSum,"['C15attr', 'B14attr', 'A7attr', 'E17attr', 'D16attr', 'E11attr', 'F18attr', 'F12attr', 'B2attr', 'Dattr', 'C21attr', 'D28attr', 'B8attr', 'A13attr', 'D10attr', 'D22attr', 'E5attr', 'E29attr', 'A25attr', 'B26attr', 'Eattr', 'Aattr', 'A1attr', 'F6attr', 'C3attr', 'C27attr', 'B20attr', 'Fattr', 'A19attr', 'F24attr', 'E23attr', 'Cattr', 'Battr', 'C9attr', 'D4attr', 'F30attr']"
6,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_50,orderMean,"['E11attr', 'F18attr', 'F12attr', 'Eattr', 'A7attr', 'B14attr', 'E17attr', 'C15attr', 'D16attr', 'E5attr', 'A13attr', 'B20attr', 'Cattr', 'Fattr', 'F30attr', 'A25attr', 'C21attr', 'E29attr', 'C3attr', 'C27attr', 'A19attr', 'Dattr', 'D28attr', 'B26attr', 'D10attr', 'C9attr', 'B8attr', 'F6attr', 'D4attr', 'E23attr', 'F24attr', 'A1attr', 'B2attr', 'Battr', 'Aattr', 'D22attr']"
7,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_50,orderStd,"['E11attr', 'F18attr', 'Eattr', 'B14attr', 'F12attr', 'E17attr', 'E5attr', 'A7attr', 'C15attr', 'B20attr', 'Cattr', 'D16attr', 'Fattr', 'F30attr', 'C3attr', 'C21attr', 'Dattr', 'F6attr', 'A25attr', 'A13attr', 'E29attr', 'B26attr', 'C27attr', 'D28attr', 'A19attr', 'D4attr', 'E23attr', 'C9attr', 'B8attr', 'D10attr', 'F24attr', 'Aattr', 'Battr', 'A1attr', 'B2attr', 'D22attr']"
8,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_50,orderSum,"['E11attr', 'F18attr', 'F12attr', 'Eattr', 'A7attr', 'B14attr', 'E17attr', 'C15attr', 'D16attr', 'E5attr', 'A13attr', 'B20attr', 'Cattr', 'Fattr', 'F30attr', 'A25attr', 'C21attr', 'E29attr', 'C3attr', 'C27attr', 'A19attr', 'Dattr', 'D28attr', 'B26attr', 'D10attr', 'C9attr', 'B8attr', 'F6attr', 'D4attr', 'E23attr', 'F24attr', 'A1attr', 'B2attr', 'Battr', 'Aattr', 'D22attr']"
9,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_65,orderMean,"['E11attr', 'A25attr', 'F12attr', 'B20attr', 'A7attr', 'B14attr', 'E17attr', 'D22attr', 'Aattr', 'F18attr', 'B8attr', 'F30attr', 'C21attr', 'C3attr', 'D10attr', 'C27attr', 'D16attr', 'B2attr', 'E5attr', 'A13attr', 'Dattr', 'D4attr', 'A19attr', 'B26attr', 'A1attr', 'D28attr', 'F6attr', 'E29attr', 'E23attr', 'Eattr', 'Fattr', 'Battr', 'C9attr', 'C15attr', 'F24attr', 'Cattr']"
10,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_65,orderStd,"['E11attr', 'D22attr', 'A25attr', 'A7attr', 'F12attr', 'B20attr', 'Dattr', 'E17attr', 'B14attr', 'F18attr', 'Aattr', 'F30attr', 'C27attr', 'B8attr', 'A13attr', 'B2attr', 'C3attr', 'E5attr', 'D28attr', 'C21attr', 'D4attr', 'D10attr', 'D16attr', 'A19attr', 'E29attr', 'A1attr', 'B26attr', 'E23attr', 'F6attr', 'Eattr', 'C9attr', 'Battr', 'Fattr', 'C15attr', 'Cattr', 'F24attr']"
11,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_65,orderSum,"['E11attr', 'A25attr', 'F12attr', 'B20attr', 'A7attr', 'B14attr', 'E17attr', 'D22attr', 'Aattr', 'F18attr', 'B8attr', 'F30attr', 'C21attr', 'C3attr', 'D10attr', 'C27attr', 'D16attr', 'B2attr', 'E5attr', 'A13attr', 'Dattr', 'D4attr', 'A19attr', 'B26attr', 'A1attr', 'D28attr', 'F6attr', 'E29attr', 'E23attr', 'Eattr', 'Fattr', 'Battr', 'C9attr', 'C15attr', 'F24attr', 'Cattr']"
12,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_19,orderMean,"['E11attr', 'D10attr', 'C15attr', 'F12attr', 'E5attr', 'A19attr', 'A7attr', 'E17attr', 'C27attr', 'Battr', 'C9attr', 'F6attr', 'F18attr', 'F30attr', 'E29attr', 'D22attr', 'B2attr', 'A1attr', 'C21attr', 'B8attr', 'E23attr', 'D4attr', 'D16attr', 'B20attr', 'B26attr', 'Aattr', 'Dattr', 'Cattr', 'A13attr', 'D28attr', 'Fattr', 'B14attr', 'Eattr', 'C3attr', 'F24attr', 'A25attr']"
13,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_19,orderStd,"['E11attr', 'D10attr', 'C15attr', 'F12attr', 'E5attr', 'D22attr', 'A19attr', 'A7attr', 'E17attr', 'C27attr', 'B2attr', 'E29attr', 'F30attr', 'F6attr', 'E23attr', 'C21attr', 'Battr', 'Cattr', 'F18attr', 'Dattr', 'B20attr', 'C9attr', 'B8attr', 'Aattr', 'D4attr', 'A1attr', 'D16attr', 'B26attr', 'D28attr', 'A13attr', 'B14attr', 'C3attr', 'Fattr', 'Eattr', 'F24attr', 'A25attr']"
14,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_19,orderSum,"['E11attr', 'D10attr', 'C15attr', 'F12attr', 'E5attr', 'A19attr', 'A7attr', 'E17attr', 'C27attr', 'Battr', 'C9attr', 'F6attr', 'F18attr', 'F30attr', 'E29attr', 'D22attr', 'B2attr', 'A1attr', 'C21attr', 'B8attr', 'E23attr', 'D4attr', 'D16attr', 'B20attr', 'B26attr', 'Aattr', 'Dattr', 'Cattr', 'A13attr', 'D28attr', 'Fattr', 'B14attr', 'Eattr', 'C3attr', 'F24attr', 'A25attr']"
15,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_15,orderMean,"['C3attr', 'A7attr', 'D22attr', 'Battr', 'E5attr', 'F12attr', 'F18attr', 'E29attr', 'B8attr', 'C27attr', 'A13attr', 'B14attr', 'Aattr', 'C9attr', 'Dattr', 'F30attr', 'C15attr', 'A1attr', 'D16attr', 'F6attr', 'C21attr', 'Fattr', 'E17attr', 'B20attr', 'F24attr', 'B2attr', 'E23attr', 'A25attr', 'Eattr', 'D4attr', 'B26attr', 'A19attr', 'E11attr', 'Cattr', 'D10attr', 'D28attr']"
16,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_15,orderStd,"['C3attr', 'A7attr', 'D22attr', 'E29attr', 'E5attr', 'Battr', 'C15attr', 'F18attr', 'F12attr', 'B8attr', 'Aattr', 'B14attr', 'C9attr', 'F30attr', 'A13attr', 'C21attr', 'C27attr', 'A1attr', 'Dattr', 'Fattr', 'B20attr', 'F24attr', 'D16attr', 'A25attr', 'F6attr', 'B2attr', 'E17attr', 'E23attr', 'B26attr', 'D4attr', 'Eattr', 'E11attr', 'A19attr', 'Cattr', 'D10attr', 'D28attr']"
17,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_15,orderSum,"['C3attr', 'A7attr', 'D22attr', 'Battr', 'E5attr', 'F12attr', 'F18attr', 'E29attr', 'B8attr', 'C27attr', 'A13attr', 'B14attr', 'Aattr', 'C9attr', 'Dattr', 'F30attr', 'C15attr', 'A1attr', 'D16attr', 'F6attr', 'C21attr', 'Fattr', 'E17attr', 'B20attr', 'F24attr', 'B2attr', 'E23attr', 'A25attr', 'Eattr', 'D4attr', 'B26attr', 'A19attr', 'E11attr', 'Cattr', 'D10attr', 'D28attr']"
18,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_67,orderMean,"['E11attr', 'C15attr', 'F18attr', 'F12attr', 'B26attr', 'E17attr', 'E5attr', 'D10attr', 'C9attr', 'C21attr', 'Dattr', 'C3attr', 'B20attr', 'F6attr', 'E23attr', 'A19attr', 'B14attr', 'Cattr', 'Eattr', 'F30attr', 'D16attr', 'A7attr', 'Battr', 'E29attr', 'Aattr', 'B2attr', 'A13attr', 'D4attr', 'C27attr', 'F24attr', 'D28attr', 'Fattr', 'B8attr', 'A25attr', 'A1attr', 'D22attr']"
19,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_67,orderStd,"['E11attr', 'F18attr', 'C15attr', 'F12attr', 'B26attr', 'Dattr', 'Cattr', 'E17attr', 'C9attr', 'B20attr', 'D10attr', 'E5attr', 'A19attr', 'A7attr', 'D4attr', 'C21attr', 'Battr', 'B14attr', 'Eattr', 'C3attr', 'F30attr', 'E29attr', 'D16attr', 'E23attr', 'F24attr', 'F6attr', 'Aattr', 'D28attr', 'B2attr', 'C27attr', 'A13attr', 'B8attr', 'A25attr', 'Fattr', 'A1attr', 'D22attr']"
20,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_67,orderSum,"['E11attr', 'C15attr', 'F18attr', 'F12attr', 'B26attr', 'E17attr', 'E5attr', 'D10attr', 'C9attr', 'C21attr', 'Dattr', 'C3attr', 'B20attr', 'F6attr', 'E23attr', 'A19attr', 'B14attr', 'Cattr', 'Eattr', 'F30attr', 'D16attr', 'A7attr', 'Battr', 'E29attr', 'Aattr', 'B2attr', 'A13attr', 'D4attr', 'C27attr', 'F24attr', 'D28attr', 'Fattr', 'B8attr', 'A25attr', 'A1attr', 'D22attr']"
21,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_81,orderMean,"['E11attr', 'B14attr', 'C15attr', 'F12attr', 'A7attr', 'F30attr', 'E17attr', 'F18attr', 'B20attr', 'E23attr', 'F6attr', 'A19attr', 'C21attr', 'C9attr', 'Battr', 'C27attr', 'D10attr', 'E29attr', 'E5attr', 'C3attr', 'D4attr', 'D16attr', 'Dattr', 'A13attr', 'Eattr', 'Cattr', 'F24attr', 'Aattr', 'Fattr', 'D28attr', 'B8attr', 'B26attr', 'D22attr', 'A25attr', 'B2attr', 'A1attr']"
