,index,shapMean,shapStd,shapSum,subset,imbalance_ratio
0,Aattr,0.09920105,0.08123721,248.00262,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
1,Battr,0.19957596,0.14869824,498.9399,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
2,Cattr,0.13207114,0.16056775,330.17786,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
3,Dattr,0.25212845,0.3704046,630.32117,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
4,Eattr,0.06881775,0.06129376,172.04437,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
5,Fattr,0.14179079,0.123697035,354.477,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
6,A1attr,0.06476243,0.04668727,161.90607,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
7,B2attr,0.11270245,0.10004966,281.75613,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
8,C3attr,0.12723148,0.14007226,318.0787,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
9,D4attr,0.17331405,0.18599206,433.28513,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
10,E5attr,0.32288986,0.33175397,807.2247,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
11,F6attr,0.1322936,0.1065432,330.734,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
12,A7attr,0.3610031,0.26979384,902.50775,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
13,B8attr,0.1784453,0.17258938,446.11325,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
14,C9attr,0.2229968,0.20710619,557.492,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
15,D10attr,0.17649104,0.17802657,441.2276,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
16,E11attr,1.1203595,0.9701155,2800.899,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
17,F12attr,0.43198985,0.31408837,1079.9746,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
18,A13attr,0.2700705,0.24170992,675.1763,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
19,B14attr,0.3639951,0.25399092,909.98773,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
20,C15attr,0.5802579,0.58683413,1450.6448,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
21,D16attr,0.25871676,0.2289874,646.7919,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
22,E17attr,0.44217882,0.27342585,1105.447,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
23,F18attr,0.25048688,0.18269874,626.2172,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
24,A19attr,0.16547036,0.12632892,413.6759,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
25,B20attr,0.17121355,0.15151703,428.03387,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
26,C21attr,0.22287504,0.22818722,557.1876,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
27,D22attr,0.052630823,0.062101133,131.57706,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
28,E23attr,0.10034101,0.10383928,250.85252,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
29,F24attr,0.06949412,0.061968792,173.7353,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
30,A25attr,0.18331048,0.11756169,458.2762,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
31,B26attr,0.06067124,0.061236616,151.6781,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
32,C27attr,0.17657486,0.14472343,441.43713,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
33,D28attr,0.09691848,0.091195546,242.29619,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
34,E29attr,0.17074615,0.114781424,426.86536,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
35,F30attr,0.20407145,0.21723296,510.17862,xgb_shap_list_ir_5_subset_85,xgb_shap_list_ir_5
36,Aattr,0.14758559,0.14534505,368.96396,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
37,Battr,0.062432073,0.047129177,156.08018,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
38,Cattr,0.076235145,0.08889304,190.58786,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
39,Dattr,0.2544471,0.23482025,636.11774,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
40,Eattr,0.15496106,0.10617028,387.40265,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
41,Fattr,0.095915236,0.08320383,239.78809,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
42,A1attr,0.14594425,0.17106614,364.86063,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
43,B2attr,0.28061503,0.30481774,701.5376,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
44,C3attr,0.12914503,0.12294894,322.86255,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
45,D4attr,0.04151867,0.053120594,103.79668,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
46,E5attr,0.19007029,0.17748447,475.17572,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
47,F6attr,0.14337647,0.09137455,358.44116,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
48,A7attr,0.5141606,0.2873205,1285.4014,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
49,B8attr,0.2135728,0.14497639,533.932,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
50,C9attr,0.047774754,0.04074659,119.43688,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
51,D10attr,0.19655032,0.07595178,491.3758,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
52,E11attr,0.32614002,0.24757397,815.35004,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
53,F12attr,0.2816696,0.18116695,704.17395,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
54,A13attr,0.19794278,0.1559795,494.85693,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
55,B14attr,0.55361575,0.43429235,1384.0393,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
56,C15attr,0.6562039,0.7132784,1640.5098,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
57,D16attr,0.34948415,0.27274293,873.7104,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
58,E17attr,0.50378317,0.35975525,1259.4579,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
59,F18attr,0.3199869,0.21164483,799.9673,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
60,A19attr,0.094290555,0.100989684,235.72638,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
61,B20attr,0.106387794,0.08717428,265.96948,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
62,C21attr,0.25291422,0.17830376,632.2855,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
63,D22attr,0.1922979,0.14406127,480.74475,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
64,E23attr,0.07796746,0.051680014,194.91864,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
65,F24attr,0.09399411,0.06330688,234.98528,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
66,A25attr,0.1708436,0.1399803,427.109,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
67,B26attr,0.1556197,0.14997306,389.04926,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
68,C27attr,0.12629601,0.122932576,315.74002,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
69,D28attr,0.24282695,0.15211579,607.0674,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
70,E29attr,0.17635335,0.10845442,440.88336,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
71,F30attr,0.0411396,0.03443675,102.849,xgb_shap_list_ir_2_subset_79,xgb_shap_list_ir_2
72,Aattr,0.060793787,0.06766243,151.98447,xgb_shap_list_ir_3_subset_50,xgb_shap_list_ir_3
73,Battr,0.062282268,0.060293578,155.70567,xgb_shap_list_ir_3_subset_50,xgb_shap_list_ir_3
74,Cattr,0.19679977,0.20751183,491.99942,xgb_shap_list_ir_3_subset_50,xgb_shap_list_ir_3
75,Dattr,0.14645238,0.14583196,366.13095,xgb_shap_list_ir_3_subset_50,xgb_shap_list_ir_3
76,Eattr,0.40601364,0.40327364,1015.0341,xgb_shap_list_ir_3_subset_50,xgb_shap_list_ir_3
77,Fattr,0.17000698,0.17250437,425.01746,xgb_shap_list_ir_3_subset_50,xgb_shap_list_ir_3
78,A1attr,0.07302853,0.056747597,182.57132,xgb_shap_list_ir_3_subset_50,xgb_shap_list_ir_3
79,B2attr,0.07150116,0.05649693,178.7529,xgb_shap_list_ir_3_subset_50,xgb_shap_list_ir_3
80,C3attr,0.15756437,0.16061114,393.91092,xgb_shap_list_ir_3_subset_50,xgb_shap_list_ir_3
81,D4attr,0.09369015,0.100500144,234.22537,xgb_shap_list_ir_3_subset_50,xgb_shap_list_ir_3
82,E5attr,0.28104064,0.28869602,702.6016,xgb_shap_list_ir_3_subset_50,xgb_shap_list_ir_3
83,F6attr,0.098128006,0.1410189,245.32,xgb_shap_list_ir_3_subset_50,xgb_shap_list_ir_3
84,A7attr,0.33922958,0.2775831,848.074,xgb_shap_list_ir_3_subset_50,xgb_shap_list_ir_3
85,B8attr,0.108807616,0.08128949,272.01904,xgb_shap_list_ir_3_subset_50,xgb_shap_list_ir_3
86,C9attr,0.1168872,0.087643474,292.218,xgb_shap_list_ir_3_subset_50,xgb_shap_list_ir_3
87,D10attr,0.12010482,0.07817358,300.26205,xgb_shap_list_ir_3_subset_50,xgb_shap_list_ir_3
88,E11attr,1.0311432,0.9695135,2577.858,xgb_shap_list_ir_3_subset_50,xgb_shap_list_ir_3
89,F12attr,0.49517384,0.31112334,1237.9346,xgb_shap_list_ir_3_subset_50,xgb_shap_list_ir_3
90,A13attr,0.23900442,0.13503775,597.51105,xgb_shap_list_ir_3_subset_50,xgb_shap_list_ir_3
91,B14attr,0.33209375,0.31862268,830.2344,xgb_shap_list_ir_3_subset_50,xgb_shap_list_ir_3
92,C15attr,0.30203065,0.25061628,755.07666,xgb_shap_list_ir_3_subset_50,xgb_shap_list_ir_3
93,D16attr,0.29371732,0.20190415,734.29333,xgb_shap_list_ir_3_subset_50,xgb_shap_list_ir_3
94,E17attr,0.3112213,0.3103445,778.0533,xgb_shap_list_ir_3_subset_50,xgb_shap_list_ir_3
